,date,actions,transactions
0,2019-01-03,"0    -0.222733
1     1.000000
2    -0.388308
3     0.659045
4    -1.000000
5     1.000000
6    -0.952477
7     0.188239
8    -0.075979
9     0.077291
10   -0.589194
11    0.045836
12    0.593061
13   -0.785382
14   -1.000000
15    0.490602
16   -1.000000
17   -0.726051
18    0.234844
19   -0.603502
20    0.424785
21   -0.772436
22    0.616997
23   -0.431585
24   -0.437891
25   -0.665818
26   -1.000000
27    0.714489
28    0.717344
29   -1.000000
30   -0.049082
31   -1.000000
32   -0.444107
33    1.000000
34   -0.202473
35    0.163056
36    1.000000
37   -1.000000
38    0.968936
39    1.000000
40   -0.434072
41    0.402222
42    0.829324
43    1.000000
44   -0.374138
45    1.000000
46    0.693070
47    1.000000
48    1.000000
49    0.080803
dtype: float32","[   0.          101.0221405     0.          752.18035889    0.
  645.23620605    0.           88.35335541    0.           16.93474197
    0.            6.26406765  112.92145538    0.            0.
   82.75205994    0.            0.           90.61044312    0.
  101.57258606    0.          144.36399841    0.            0.
    0.            0.          315.66772461  264.35525513    0.
    0.            0.            0.           95.3532486     0.
   20.66085052 1056.50170898    0.          248.93270874  953.45245361
    0.            0.         1252.90722656  744.269104      0.
   69.01368713   95.2802124    90.88677979  173.10261536    9.50507736]"
1,2019-01-04,"0    -0.862243
1     0.239653
2     0.576471
3     0.704636
4    -1.000000
5     0.515221
6     0.883639
7    -0.837874
8     0.083868
9     0.619263
10   -0.630421
11   -0.903994
12   -1.000000
13    0.560259
14    1.000000
15    0.090936
16    0.630897
17    0.349858
18    0.304234
19    0.707968
20   -0.036149
21    0.113384
22    1.000000
23    0.775060
24    0.403225
25   -0.930511
26    1.000000
27    1.000000
28   -1.000000
29   -0.056311
30    0.596105
31   -0.392006
32    0.284664
33    1.000000
34    0.526033
35   -0.474713
36    0.704120
37   -0.841120
38    0.150647
39   -0.227532
40    1.000000
41    0.487767
42   -1.000000
43    0.436305
44    0.242244
45    0.988650
46   -0.950287
47   -0.156881
48    0.617759
49    0.168893
dtype: float32","[    0.            24.54149246   570.35693359   799.43328857
     0.           337.46905518   187.98280334   -88.35335541
    83.09712982   138.20126343     0.            -6.26406765
  -112.92145538     4.87435579   316.57992554    15.17042542
   120.90361786   134.0329895    118.08136749   330.27078247
    -9.41772556    65.44970703   235.86685181     0.
   144.54377747     0.           320.1557312    444.87942505
  -264.35525513     0.           195.94288635     0.
   442.68466187    94.49687958   501.63397217   -20.66085052
   743.9041748      0.            38.29995346  -216.94073486
   310.79064941     0.         -1252.90722656   322.47689819
    21.4738369     68.7297287    -95.2802124    -14.77173901
   108.9265213     20.06876945]"
2,2019-01-07,"0    -0.201553
1     0.386611
2    -0.423785
3     0.317908
4    -0.314956
5     1.000000
6    -0.388703
7     1.000000
8     0.377411
9     0.007152
10    0.278521
11    1.000000
12   -0.932761
13   -0.072219
14    1.000000
15    0.510982
16    0.662495
17   -1.000000
18    0.677191
19    0.161621
20    1.000000
21   -0.350934
22   -0.514094
23   -0.750669
24    0.877024
25    0.427586
26   -0.355668
27    0.201792
28   -0.100016
29    0.383884
30    0.743924
31   -0.021623
32   -0.427037
33    0.122478
34   -0.325260
35    1.000000
36   -0.212013
37    0.992650
38    1.000000
39   -0.634401
40    0.012451
41   -0.312536
42    1.000000
43   -1.000000
44    1.000000
45   -0.234337
46    0.564016
47   -0.248424
48   -0.257700
49   -0.950489
dtype: float32","[ 0.00000000e+00  3.94952812e+01 -4.11305786e+02  3.56430664e+02
  0.00000000e+00  6.43633179e+02 -8.06492233e+01  4.49409912e+02
  3.70351654e+02  1.59798861e+00  6.52216873e+01  1.33192688e+02
  0.00000000e+00 -6.15791380e-01  3.17089874e+02  8.16645584e+01
  1.26199181e+02 -1.34032990e+02  2.60127747e+02  7.39794083e+01
  2.43182388e+02 -6.54497070e+01 -1.20072876e+02  0.00000000e+00
  3.06325989e+02  2.14576263e+02 -1.11474510e+02  8.87706909e+01
  0.00000000e+00  1.81073883e+02  2.30388428e+02  0.00000000e+00
 -4.42684662e+02  1.13877258e+01 -2.95901062e+02  1.19824768e+02
 -2.21017075e+02  1.83085663e+02  2.50142578e+02 -5.91152222e+02
  3.62254167e+00  0.00000000e+00  1.43599756e+03 -7.31004822e+02
  8.84592514e+01 -1.62728024e+01  7.68441620e+01 -2.32197971e+01
 -4.41065483e+01 -2.95738468e+01]"
3,2019-01-08,"0    -0.787002
1     1.000000
2    -1.000000
3    -0.918493
4    -1.000000
5     0.635279
6    -0.250139
7     0.695728
8    -0.626121
9    -0.742695
10    1.000000
11    1.000000
12   -1.000000
13    0.523813
14    0.891550
15   -0.019714
16   -0.884139
17   -0.879139
18    0.072997
19    0.905016
20   -1.000000
21    0.694945
22    0.412287
23   -1.000000
24   -0.840669
25    0.265685
26   -1.000000
27    1.000000
28    1.000000
29   -0.203803
30    0.870692
31    0.226727
32    0.015708
33   -0.826506
34   -1.000000
35   -0.298115
36    1.000000
37    0.178276
38   -0.585202
39   -1.000000
40   -1.000000
41    1.000000
42    0.209345
43    0.999214
44    0.231405
45    0.724118
46   -0.137347
47    0.692292
48    1.000000
49    0.702917
dtype: float32","[    0.           102.23966217  -159.05114746 -1013.87921143
     0.           405.3692627    -51.87935257   314.46734619
  -453.44878387  -156.73399401   234.38635254   135.13221741
     0.             4.44068575   283.98205566    -3.03948569
  -164.82162476     0.            28.3951664    405.54202271
  -238.31880188   373.56988525    95.2375946      0.
  -285.82131958   132.28536987  -208.68122101   436.54016113
   358.07385254   -95.35694122   269.16583252     0.
    24.2225666    -77.24225616  -205.73291016   -38.29640961
  1048.43786621    33.60033417  -148.26496887  -145.35949707
  -291.10217285     0.           300.61853027   727.4309082
    20.11761665    49.29832458   -18.81125259    63.85894394
   163.73043823    78.61130524]"
4,2019-01-09,"0    -1.000000
1     0.925632
2    -0.764507
3     0.751517
4     0.973178
5     1.000000
6     0.128543
7     0.608750
8     0.067762
9     0.256655
10    1.000000
11   -1.000000
12    0.674356
13    0.228490
14    1.000000
15   -0.484910
16   -1.000000
17    1.000000
18    0.039930
19   -1.000000
20   -1.000000
21   -0.310261
22    0.027746
23   -0.771928
24   -0.354343
25   -0.201052
26    0.273582
27   -0.667678
28   -1.000000
29   -0.193243
30   -0.298488
31    0.318307
32    0.929947
33   -0.352905
34   -1.000000
35    1.000000
36   -0.105902
37    0.268353
38   -1.000000
39    0.092676
40   -0.081257
41    0.040744
42   -0.241942
43    1.000000
44   -0.959208
45    0.690058
46    1.000000
47    1.000000
48    0.666422
49   -1.000000
dtype: float32","[   0.           94.52249146    0.          820.07543945    0.
  641.24761963   26.97712898  279.05355835   65.86130524   58.4092598
  231.51255798 -134.10578918  126.83927155    1.93929529  337.18624878
  -75.11720276  -82.28117371  356.34362793   15.71995068 -449.6807251
  -97.01844692 -167.65600586    6.45744753    0.         -120.01773071
  -95.96866608   84.11734772 -291.71768188 -356.66390991  -85.71694183
  -92.32933044    0.         1450.23266602  -33.2767601     0.
  132.31573486 -111.88547516   51.37438583 -256.39974976   86.50931549
  -23.31101823    0.         -349.24365234  727.00836182  -81.29158783
   46.5701828   138.24452209   93.65435791  111.58843994  -78.61130524]"
5,2019-01-10,"0    -0.220457
1     1.000000
2    -0.683670
3     0.875184
4    -0.475782
5    -0.027619
6     0.940378
7     0.873247
8     0.526399
9    -0.230308
10    1.000000
11    0.870263
12    1.000000
13    0.331484
14    1.000000
15   -1.000000
16   -1.000000
17    0.994433
18    0.045985
19    0.631068
20   -0.574834
21    0.028629
22    1.000000
23   -0.866966
24   -0.194036
25    1.000000
26    0.385015
27    0.631404
28   -1.000000
29   -0.508998
30    0.918966
31    0.658808
32    0.397908
33   -0.493652
34    0.176322
35    0.689475
36    0.981129
37    1.000000
38   -1.000000
39    0.923337
40   -0.788248
41    0.482681
42    0.754132
43   -1.000000
44   -0.516104
45   -0.372162
46   -0.991732
47    1.000000
48    0.058844
49    1.000000
dtype: float32","[   0.          100.40422821    0.          935.38562012    0.
  -17.6890316   193.66966248  395.35626221  507.7638855   -50.5414505
  228.81095886  113.4495697   176.0433197     2.76170588  333.75610352
 -101.43035531    0.          353.6239624    17.14699554  274.60186768
    0.           15.26262093  230.6943512     0.          -45.03071594
  455.92565918  118.05922699  266.99206543   -1.40994263    0.
  283.9206543     0.          617.04534912  -45.6083374   165.68461609
   90.65213013 1024.74206543  187.7454834  -132.7105217   863.40026855
    0.            0.         1074.53759766 -727.00836182  -42.8054924
  -25.13641167 -135.94235229   90.39009094    9.8236475   113.24002075]"
6,2019-01-11,"0     0.175939
1     1.000000
2     0.292930
3    -1.000000
4    -1.000000
5     0.071680
6     1.000000
7     0.188785
8     0.523715
9    -0.808913
10    1.000000
11    0.462235
12    0.620743
13   -1.000000
14    1.000000
15    0.263570
16   -0.099419
17   -1.000000
18    0.157687
19    0.510520
20   -0.525732
21    0.462311
22   -0.565280
23   -0.407093
24    0.483978
25    0.373598
26    1.000000
27   -0.168485
28    1.000000
29   -0.362257
30   -0.657649
31    0.091487
32    1.000000
33    1.000000
34   -1.000000
35    0.416386
36    0.238579
37    0.263705
38    0.101122
39    0.746098
40    0.692206
41    0.319503
42    0.179399
43   -1.000000
44   -0.611920
45    0.350940
46   -0.731888
47    0.218589
48   -0.222489
49   -0.518182
dtype: float32","[   96.03026581   102.19869995   286.28762817 -1078.86499023
     0.            46.30787659   204.7535553     86.46788788
   509.02471924    -7.8678093    227.58514404    59.46572495
   110.02883911    -8.29566956   322.91604614    40.88162994
     0.          -347.81158447    58.96659088   224.05387878
     0.           251.13313293  -128.71324158     0.
   144.8939209    175.85380554   306.80117798   -71.77754974
   354.33599854     0.          -205.50756836     0.
  1568.38146973    91.50587463  -165.68461609    55.34787369
   251.09402466    50.37642288    25.53156471   701.35217285
   203.22669983     0.           257.61651611  -725.0369873
    -5.95362473    23.74765396   -60.33507919    20.09666824
   -37.74551773   -59.63906097]"
7,2019-01-14,"0     0.502158
1     0.031800
2    -1.000000
3     1.000000
4     0.121293
5     0.023328
6    -0.790624
7    -1.000000
8     0.998069
9    -0.696271
10   -0.053785
11   -0.019527
12   -1.000000
13    0.697545
14    1.000000
15    0.823417
16   -1.000000
17    1.000000
18   -1.000000
19   -1.000000
20    0.091265
21    0.138653
22   -0.652864
23    1.000000
24   -0.458034
25   -1.000000
26    1.000000
27   -0.092667
28   -0.841254
29    0.495163
30   -0.239692
31    0.348745
32    0.870239
33    0.463892
34   -0.226330
35   -0.534318
36   -0.926624
37    0.001374
38   -1.000000
39    0.340868
40    0.307229
41   -0.094023
42   -0.843713
43   -0.426487
44   -0.084628
45   -1.000000
46    0.800100
47   -0.059209
48   -0.110820
49   -1.000000
dtype: float32","[ 2.71630768e+02  3.29622459e+00 -2.86287628e+02  1.06878711e+03
  3.68697052e+01  1.47949896e+01 -1.58151367e+02 -4.58404388e+02
  9.50161804e+02  0.00000000e+00 -1.23731546e+01 -2.52651930e+00
 -1.75189026e+02  5.63089895e+00  3.23233368e+02  1.25323021e+02
  0.00000000e+00  3.55161560e+02 -3.71024475e+02 -4.39630005e+02
  2.23134270e+01  7.48458099e+01 -1.46063004e+02  0.00000000e+00
 -1.43217148e+02 -4.73332458e+02  3.05973206e+02 -3.90235977e+01
 -2.96732269e+02  2.40062805e+02 -7.46758423e+01  0.00000000e+00
  1.35711877e+03  4.20322533e+01  0.00000000e+00 -7.04123383e+01
 -9.71507385e+02  2.63398260e-01 -2.55315647e+01  3.19865906e+02
  8.89817734e+01  0.00000000e+00 -1.20217834e+03 -3.07959381e+02
  0.00000000e+00 -6.76687012e+01  1.09325691e+02 -5.37568235e+00
 -1.86183033e+01 -5.36009598e+01]"
8,2019-01-15,"0    -1.000000
1     0.246414
2    -0.077653
3    -0.092973
4     0.827182
5    -0.714960
6     0.311228
7    -1.000000
8     0.096325
9     0.194790
10    0.682623
11   -0.480106
12    0.981711
13   -0.181033
14    1.000000
15    0.797446
16   -0.016131
17   -1.000000
18   -1.000000
19   -0.126531
20    0.516420
21   -0.022273
22   -1.000000
23    0.667196
24    0.865612
25   -0.779831
26   -0.591839
27    1.000000
28    0.929534
29    0.648402
30   -1.000000
31    0.697668
32    0.781301
33   -0.161327
34    0.766998
35    0.500544
36   -1.000000
37   -1.000000
38   -0.125904
39    0.843617
40    0.876768
41    0.600612
42   -0.467805
43   -0.966918
44    0.806643
45    0.008449
46   -0.816377
47    0.582758
48   -0.618079
49   -0.836203
dtype: float32","[-3.67661034e+02  2.61930370e+01  0.00000000e+00 -1.00495697e+02
  2.50995728e+02 -4.43149963e+02  6.26108971e+01 -4.66975494e+02
  9.18729172e+01  4.33143082e+01  1.62614456e+02 -6.39703064e+01
  1.70769730e+02 -1.48777604e+00  3.24513062e+02  1.22574211e+02
  0.00000000e+00 -3.53404358e+02 -2.18023786e+02 -5.70494041e+01
  1.30006638e+02 -1.19855204e+01 -2.26813950e+02  0.00000000e+00
  2.66665375e+02 -3.63367981e+02 -1.80017349e+02  4.23552917e+02
  3.31531128e+02  3.17893951e+02 -3.14950714e+02  0.00000000e+00
  1.22888623e+03 -1.48605318e+01  7.30070801e+02  6.64496918e+01
 -1.05650171e+03 -1.95576065e+02  0.00000000e+00  7.97234009e+02
  2.52374084e+02  0.00000000e+00 -6.68292847e+02 -3.01757202e+01
  6.95284424e+01  5.74586630e-01 -1.09325691e+02  5.32894211e+01
 -1.10182709e+02  0.00000000e+00]"
9,2019-01-16,"0    -0.472490
1    -0.365653
2    -0.691009
3     0.633754
4    -0.136884
5    -0.242426
6     0.280037
7     0.338760
8     1.000000
9     1.000000
10    1.000000
11   -0.955866
12   -1.000000
13   -1.000000
14    0.038131
15    0.976641
16   -1.000000
17    0.870566
18    1.000000
19    0.343968
20    0.521888
21    0.249782
22    1.000000
23    0.119232
24   -0.265726
25    0.919185
26    0.841286
27   -0.147575
28   -0.536449
29   -0.417937
30    1.000000
31   -1.000000
32   -0.132811
33    0.067347
34    0.072051
35    0.487435
36   -1.000000
37    0.532364
38   -0.434022
39    0.469573
40    1.000000
41    1.000000
42   -0.597530
43    0.209536
44    0.229166
45    1.000000
46    1.000000
47   -1.000000
48    0.442823
49   -1.000000
dtype: float32","[    0.           -38.47399139     0.           679.89111328
   -40.11940384  -149.3707428     55.3060379    159.41033936
   943.20043945   219.97554016   227.8901062   -122.60007477
  -169.11602783    -7.77767801    12.34558678   143.840271
     0.           300.84039307   356.09237671   151.60920715
   132.18048096   130.73092651   218.25007629     0.
   -77.37242126   389.39584351   255.20419312   -61.58987427
  -188.85205078  -201.13056946   310.24874878     0.
  -207.1151123      6.04799175    66.84863281    63.7019043
 -1050.44226074   100.08943939     0.           436.79562378
   279.10351562     0.          -844.85144043   152.12841797
    19.04448509    67.66870117   136.62098694   -85.86299896
    76.15493774     0.        ]"
