,date,actions,transactions
0,2019-01-03,"0    -1.0
1     1.0
2    -1.0
3     1.0
4     1.0
5     1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[   0.          101.0221405     0.         1141.31799316    0.
  645.23620605    0.          469.36898804  986.99145508  219.10316467
    0.            0.            0.            8.5697546   322.70349121
  168.67445374    0.          393.12194824  385.83224487    0.
    0.          589.10162354    0.            0.          360.73995972
  578.99853516    0.            0.            0.            0.
    0.            0.         1563.9173584    95.3532486   973.48236084
    0.            0.          195.07704163    0.            0.
  317.30517578    0.            0.          744.269104      0.
    0.          137.47557068   90.88677979  173.10261536    0.        ]"
1,2019-01-04,"0    -1.0
1     1.0
2    -1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[   0.          102.40424347    0.         1134.53295898    0.
  654.9989624     0.          461.87243652  990.80529785  223.17045593
    0.            0.            0.            8.70018864  316.57992554
  166.82571411    0.          383.10653687  388.12643433    0.
    0.          577.24053955    0.            0.          358.46920776
  551.96166992    0.            0.            0.            0.
    0.            0.         1555.11315918   94.49687958  953.61608887
    0.            0.          191.37510681    0.            0.
  310.79064941    0.            0.          739.10925293   88.64556885
    0.          138.08988953   94.15859222  176.32516479    0.        ]"
2,2019-01-07,"0    -1.0
1     1.0
2    -1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[   0.          102.15756989    0.         1121.17675781    0.
  643.63317871    0.          449.40991211  981.29650879  223.44171143
    0.            0.            0.            8.52676296  317.08987427
  159.81895447    0.          364.68399048  384.12783813    0.
    0.          539.24053955    0.            0.          349.27908325
  501.83169556    0.            0.            0.            0.
    0.            0.         1533.41308594   92.97741699  909.73602295
    0.            0.          184.44126892    0.            0.
  290.93786621    0.            0.          731.00482178   88.4592514
    0.          136.24461365   93.46842957  171.15492249    0.        ]"
3,2019-01-08,"0     1.0
1     1.0
2    -1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41    1.0
42   -1.0
43    1.0
44    1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[ 544.72161865  102.23966217    0.         1103.85021973    0.
  638.09692383    0.         -451.99783325  968.26043701  224.80397034
    0.          135.13221741    0.           -8.47761536  318.52612305
  154.18107605    0.          353.55178833  388.99304199    0.
    0.          537.5534668     0.            0.         -339.99264526
  497.90383911    0.            0.            0.            0.
    0.            0.         1542.02001953   93.45637512  924.45367432
    0.            0.          188.47370911    0.            0.
  291.10217285    0.            0.          728.00335693   86.93671417
    0.          136.96153259   92.24275208  163.73043823    0.        ]"
4,2019-01-09,"0     1.0
1     1.0
2    -1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[ 545.8157959   102.11667633    0.         1091.2265625     0.
  641.24761963    0.         -458.40438843  971.94952393  227.57891846
    0.          134.10578918    0.            8.48742867  337.18624878
  154.9095459     0.          356.34362793  393.68838501    0.
    0.          540.37115479    0.            0.         -338.7052002
  477.33151245    0.            0.            0.            0.
    0.            0.         1559.47851562   94.29372406  943.11151123
    0.            0.          191.44325256    0.            0.
  289.95425415    0.            0.          727.00836182  -84.74863434
    0.          138.24452209   93.65435791  167.44416809    0.        ]"
5,2019-01-10,"0    -1.0
1     1.0
2    -1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[-544.1762085   100.40422821    0.         1068.78710938    0.
  640.45910645    0.         -452.7427063   964.59918213  219.45127869
    0.         -130.36245728    0.            8.33135033  333.75610352
  156.21582031    0.          355.60360718  372.87832642    0.
    0.          533.11157227    0.            0.          329.27230835
  455.92565918    0.            0.            0.            0.
    0.            0.         1550.72424316   92.38967896  939.67297363
    0.            0.          187.7454834     0.            0.
 -286.72354126    0.            0.          727.00836182  -82.93964386
    0.          137.07568359   90.39009094  166.9432373     0.        ]"
6,2019-01-11,"0    -1.0
1    -1.0
2    -1.0
3     1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10    1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18   -1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25   -1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45   -1.0
46    1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[-545.8157959  -102.19869995    0.         1078.86499023  307.04797363
 -646.03656006    0.          458.02224731  971.94952393  222.63186646
  227.58514404  128.64813232    0.            8.29566956  322.91604614
  155.10705566    0.         -347.81158447 -373.94641113    0.
    0.          543.21258545    0.            0.          299.38146973
 -470.70343018    0.            0.            0.            0.
    0.            0.         1568.38146973   91.50587463  957.17596436
    0.            0.          191.03291321  252.48316956    0.
  293.59262085    0.            0.          725.0369873    84.04364014
    0.          136.71549988   91.93795776 -169.65139771    0.        ]"
7,2019-01-14,"0    -1.0
1    -1.0
2    -1.0
3     1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18   -1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25   -1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[-5.45410156e-01 -1.03655731e+02  0.00000000e+00  1.06878711e+03
  3.03971680e+02 -6.34203857e+02  0.00000000e+00  4.58404388e+02
  9.52000122e+02  2.19712616e+02 -2.27585144e+02 -1.29383850e+02
  0.00000000e+00  8.07245350e+00  3.23233368e+02  1.52198669e+02
  0.00000000e+00  3.55161560e+02 -3.71024475e+02  0.00000000e+00
  0.00000000e+00  5.39805237e+02  0.00000000e+00  0.00000000e+00
  3.12677826e+02 -4.73332458e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.11549774e+02  0.00000000e+00
  1.55947852e+03  9.06077805e+01  9.37963135e+02  0.00000000e+00
  0.00000000e+00  1.91718521e+02 -2.50631592e+02  0.00000000e+00
  2.89626740e+02  0.00000000e+00  0.00000000e+00  7.22084229e+02
 -8.32402420e+01  0.00000000e+00  1.36640015e+02  9.07923813e+01
  1.68004547e+02  0.00000000e+00]"
8,2019-01-15,"0    -1.0
1    -1.0
2    -1.0
3     1.0
4     1.0
5     1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18   -1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[   0.         -106.29681396    0.         1080.91748047  303.43487549
  619.82446289    0.          466.97549438  953.77984619  222.36354065
    0.         -133.24201965    0.            8.21823788  324.51306152
  153.70852661    0.          353.40435791 -374.21508789    0.
    0.          538.11468506    0.            0.          308.06576538
  465.95718384    0.            0.            0.            0.
 -311.54977417    0.         1572.87109375   92.11461639  951.85516357
    0.            0.          195.57606506   -1.85157776    0.
  287.84597778    0.            0.          729.00109863  -86.19486237
    0.          138.22502136   91.44345093  178.26646423    0.        ]"
9,2019-01-16,"0    -1.0
1    -1.0
2    -1.0
3     1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8     1.0
9     1.0
10    1.0
11   -1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18   -1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25   -1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45   -1.0
46    1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.         -105.21996307    0.         1072.8001709   293.09011841
 -616.1505127     0.          470.57052612  943.20043945  219.97554016
  227.8901062    -4.89781189    0.            7.77767801  323.76498413
  147.28060913    0.          345.56878662 -356.09237671    0.
    0.          523.3793335     0.            0.          291.17337036
 -423.63186646    0.            0.            0.            0.
    0.            0.         1559.47851562   89.80352783  927.79870605
    0.            0.          188.00950623  250.38684082    0.
  279.10351562    0.            0.          726.02661133   83.10327911
    0.          136.62098694   85.86299896 -171.97615051    0.        ]"
