,date,actions,transactions
0,2019-01-03,"0     0.600000
1    -0.486213
2    -0.321457
3     0.182648
4     0.054854
5     0.287028
6    -0.150607
7    -0.200000
8    -0.062268
9    -0.196755
10    0.317138
11   -0.352784
12   -0.621556
13    0.367659
14    0.162103
15    0.084473
16    0.023903
17   -0.175233
18   -0.140080
19   -0.352013
20    0.055999
21    0.473565
22   -0.722501
23    0.575469
24   -0.123853
25    0.580235
26    0.435929
27   -0.935764
28   -0.230498
29   -0.980803
30    0.027751
31    0.605654
32   -0.096375
33    0.187628
34    0.647450
35    0.131996
36    0.027579
37    0.187239
38    0.200000
39   -0.445821
40    0.051868
41   -0.625031
42   -0.193382
43    0.544869
44   -0.069858
45   -0.061822
46    0.143150
47    0.568084
48   -0.449508
49    0.378898
dtype: float32","[336.2663269    0.           0.         208.4589386    0.
 185.20111084   0.           0.           0.           0.
  75.0229187    0.           0.           3.15074873  52.31122971
  14.24842358   4.48699474   0.           0.           0.
  13.39012718 278.97796631   0.           0.           0.
 335.95535278 138.93710327   0.           0.           0.
   9.35877514   0.           0.          17.89097595 630.28076172
  16.72525406  29.13733292  36.52598572  51.3827095    0.
  16.45804977   0.           0.         405.52905273   0.
   0.          19.67962646  51.63129044   0.          44.5710144 ]"
1,2019-01-04,"0     0.045587
1    -0.329232
2    -0.298554
3    -0.053894
4    -0.246497
5    -0.518414
6     0.095042
7     0.162615
8    -0.113444
9     0.360751
10    0.099997
11    0.200000
12   -0.585701
13    0.836018
14    0.689768
15    0.148642
16   -0.461238
17    0.226355
18   -0.168100
19   -0.258107
20   -0.473918
21   -0.114729
22   -0.683142
23    0.248917
24   -0.374244
25    0.333561
26    0.183876
27   -0.618371
28   -0.168943
29   -0.073105
30   -0.394915
31    0.674039
32   -0.401720
33    0.657487
34    0.356742
35    0.097386
36   -0.200000
37   -0.188392
38    0.097398
39   -0.245842
40   -0.050590
41   -0.818912
42   -0.503021
43    0.200000
44    0.898234
45   -0.061210
46    0.500854
47    0.169802
48   -0.014744
49    0.178300
dtype: float32","[  25.26285362    0.            0.          -61.14415741    0.
 -185.20111084   20.21891594   75.10746765    0.           80.50896454
   24.28667068   28.34941292    0.            7.27351475  218.36685181
   24.79736328   -4.48699474   86.71816254    0.            0.
  -13.39012718  -66.22616577    0.            0.            0.
  184.11268616   58.86887741    0.            0.            0.
   -9.35877514    0.            0.           62.13051224  340.19445801
   12.16801739  -29.13733292  -36.05354691   24.76226997    0.
  -15.72299194    0.            0.          147.82183838   79.62444305
    0.           69.16280365   15.98832703    0.           21.18659782]"
2,2019-01-07,"0     0.558937
1     0.161348
2    -0.239639
3    -0.200000
4    -0.555341
5    -0.231692
6    -0.020160
7     0.185387
8    -0.060387
9     0.200000
10    0.034751
11    0.176812
12   -0.697826
13    0.596564
14    0.525432
15    0.529748
16   -0.041400
17    0.276734
18   -0.227565
19    0.323299
20   -0.402386
21    0.300379
22   -0.884438
23    0.195489
24   -0.255090
25    0.761390
26   -0.262381
27    0.200000
28    0.007269
29   -0.453982
30   -0.805046
31    0.600000
32    0.492541
33    0.878849
34    0.495025
35    0.217825
36    0.004483
37   -0.297472
38    0.120593
39   -0.596167
40    0.013386
41   -0.678135
42   -0.471436
43    0.856074
44    0.647780
45   -0.063985
46    0.200000
47    0.657346
48   -0.005961
49   -0.200000
dtype: float32","[ 3.05076813e+02  1.64828911e+01  0.00000000e+00 -1.47314781e+02
  0.00000000e+00  0.00000000e+00 -4.18278217e+00  8.33147812e+01
  0.00000000e+00  4.46883430e+01  8.13770199e+00  2.35501137e+01
  0.00000000e+00  5.08675861e+00  1.66609009e+02  8.46638260e+01
  0.00000000e+00  1.00920441e+02  0.00000000e+00  1.47984634e+02
  0.00000000e+00  1.61976517e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.82089813e+02 -8.22360001e+01  8.79824753e+01
  2.59773874e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.55269287e+02  8.17130966e+01  4.50341919e+02  2.61008892e+01
  4.67389965e+00 -4.72438812e-01  3.01654606e+01  0.00000000e+00
  3.89461184e+00  0.00000000e+00  0.00000000e+00  6.25793884e+02
  5.73021164e+01  0.00000000e+00  2.72489223e+01  6.14410858e+01
  0.00000000e+00 -2.31663818e+01]"
3,2019-01-08,"0     0.200000
1    -0.299461
2    -0.136519
3     0.102811
4    -0.329685
5     0.181615
6    -0.313166
7    -0.372739
8    -0.012280
9     0.030183
10   -0.173166
11    0.335841
12   -0.600000
13    0.356802
14    0.588047
15    0.097001
16   -0.240153
17    0.378956
18   -0.397088
19    0.215636
20   -0.409374
21    0.190042
22   -0.378480
23    0.033271
24   -0.647005
25    0.622838
26    0.011129
27   -0.182396
28   -0.051642
29    0.136096
30   -0.615860
31    0.718957
32   -0.163772
33    0.257158
34    0.540490
35    0.234953
36    0.058168
37   -0.172856
38   -0.600000
39   -0.024801
40    0.298949
41    0.085345
42    0.009485
43    0.354480
44    0.347278
45    0.031803
46    0.287276
47   -0.021233
48   -0.079915
49   -0.052146
dtype: float32","[ 108.94432831  -16.48289108    0.          113.48755646    0.
  115.88778687  -16.03613377 -158.42224884    0.            6.78525925
  -40.58769989   45.3829155     0.            3.02483249  187.30841064
   14.95576191    0.          133.98059082    0.           96.62778473
    0.          102.15764618    0.            0.            0.
  310.11328125    3.49183464  -79.62332153   -2.59773874   63.67765808
    0.            0.         -252.54037476   24.03300667  499.65786743
   30.18249321   60.98538971    0.         -106.31044006    0.
   87.02470398    0.           13.62112999  258.06262207   30.19124794
    2.16514444   39.34574509   -1.95863545    0.           -5.83173418]"
4,2019-01-09,"0     0.334423
1    -0.260326
2    -0.215007
3    -0.015850
4     0.104252
5     0.192472
6    -0.598258
7    -0.047594
8    -0.343669
9     0.549405
10    0.357348
11    0.500309
12   -0.478240
13    0.987098
14    0.363996
15    0.225204
16    0.059894
17   -0.097121
18   -0.073102
19   -0.014730
20   -0.253071
21    0.186511
22   -1.000000
23   -0.200000
24   -0.532662
25    0.210948
26   -0.001744
27   -0.197647
28   -0.307358
29   -0.093630
30   -0.984067
31    0.611882
32   -0.263105
33    0.200000
34   -0.113494
35    0.600000
36    0.506140
37   -0.264698
38   -0.394677
39    0.089729
40    0.326503
41   -0.840026
42   -0.170932
43    0.230772
44    0.076738
45    0.059008
46   -0.032636
47    0.247371
48   -0.384757
49    0.600000
dtype: float32","[ 182.53326416    0.            0.          -17.29637909    0.
  123.42234802    0.            0.            0.          125.03310394
   82.73057556   67.09431458    0.            8.37792587  122.73458099
   34.88625336   11.1539011   -34.60861969    0.           -6.62395859
    0.          100.78529358    0.            0.            0.
  100.69199371   -0.53634983   -8.35915375    0.          -43.80833054
    0.            0.         -410.30664062   18.85874367 -107.037323
   79.38944244  534.73828125    0.            0.           83.7589035
   94.67087555    0.          -13.62112999  167.77339172    6.50340891
    3.98229957   -4.51175594   23.16739845    0.           68.96535492]"
5,2019-01-10,"0     0.338092
1     0.014113
2     0.055491
3     0.118920
4     0.007307
5    -0.183076
6    -0.045944
7     0.129947
8    -0.350361
9     0.193349
10    0.080475
11    0.200000
12   -0.874730
13    0.733293
14    0.200000
15    0.178584
16    0.316082
17    0.162074
18   -0.244283
19    0.132137
20   -0.046468
21    0.563489
22   -0.600000
23    0.600000
24   -0.087786
25    0.466378
26    0.430707
27    0.055773
28   -0.483983
29   -0.350293
30   -0.144624
31    0.200000
32   -0.414908
33    0.223559
34    0.246470
35    0.072742
36    0.143840
37   -0.167847
38    0.048180
39   -0.042556
40   -0.164377
41   -0.012011
42    0.129876
43    0.494643
44    0.359039
45   -0.308810
46    0.161782
47    0.411086
48    0.085865
49    0.061900
dtype: float32","[ 183.98153687    1.41699016   54.04328537  127.09979248    0.
 -117.25280762    0.           58.83259964    0.           42.43063354
   18.41345215   26.0724926     0.            6.10932016   66.7512207
   27.89762688   58.58100891   57.63405609    0.           57.49777603
    0.          300.40264893    0.            0.            0.
  212.63366699  132.07002258   23.58397102    0.          -19.86932755
    0.            0.          -92.42227173   20.65455437  231.60087585
    9.56406307  150.23426819    0.           12.14681435  -39.79388809
  -47.13076019    0.          185.05653381  359.60940552   29.77856827
   -6.14744401   22.17640305   37.15805435   14.33459187    7.0095787 ]"
6,2019-01-11,"0     0.032136
1    -0.508896
2    -0.149231
3    -0.006779
4     0.106350
5    -0.090958
6    -0.051171
7     0.280859
8    -0.279148
9    -0.324070
10    0.047962
11    0.243496
12   -0.506568
13    0.200000
14    0.274686
15    0.316663
16   -0.111682
17   -0.782346
18   -0.749559
19   -0.200000
20   -0.919572
21    0.200357
22    0.324470
23    0.058434
24   -0.287012
25   -0.109531
26    0.309552
27   -0.578182
28    0.152127
29   -1.000000
30   -0.648249
31    0.420857
32   -0.205259
33    0.404385
34   -0.162431
35    0.093267
36    0.221931
37   -0.012054
38    0.106989
39   -0.200000
40   -0.169914
41   -0.112254
42   -0.095096
43    0.200000
44    0.653543
45    0.389077
46    0.326086
47    0.901359
48   -0.284671
49    0.423849
dtype: float32","[  17.54009438   -1.41699016  -54.04328537   -7.31311512   32.6546936
  -58.76241302    0.          128.63970947    0.          -72.14824677
   10.91553593   31.32528877    0.            1.65913391   88.70044708
   49.11668015  -20.59980392 -272.10913086    0.          -87.7747345
    0.          108.83654785   73.88115692    0.            0.
  -51.55682755   94.97091675  -23.58397102   53.90402985    0.
    0.            0.            0.           37.00361252 -155.4750824
   12.39750767  233.57267761    0.           27.01291084  -43.96501541
  -49.88541794    0.         -136.55807495  145.00740051   54.92616272
   26.32832909   44.58106995   82.869133    -14.33459187   48.78194046]"
7,2019-01-14,"0     0.200166
1    -0.705202
2    -0.504700
3     0.293145
4     0.155163
5     0.200000
6     0.029271
7     0.200000
8    -0.185552
9     0.071019
10   -0.276204
11   -0.432627
12   -0.649944
13    0.705986
14    0.242322
15    0.338540
16   -0.044168
17    0.183274
18   -0.374606
19   -0.395146
20   -0.567230
21    0.047244
22    0.561146
23    0.322685
24    0.200000
25    0.240094
26   -0.409681
27   -0.366970
28   -0.341403
29   -0.538596
30   -0.155922
31    0.446607
32   -0.387626
33    0.412161
34    0.326846
35    0.359686
36    0.141562
37    0.039376
38   -0.337352
39   -0.200470
40    0.235502
41   -0.713504
42   -0.557499
43    0.400213
44    0.312274
45    0.170609
46    0.131182
47    0.600000
48   -0.365252
49   -0.040340
dtype: float32","[ 108.27510834    0.            0.          313.31008911   47.16523361
  126.84077454    5.85519457   91.68087769    0.           15.60379887
  -63.54076004  -55.97488785    0.            5.69904232   78.32665253
   51.52531052   -8.05351448   65.09200287    0.         -173.71801758
    0.           25.50272751  125.54327393    0.           62.53556824
  113.64407349 -125.35139465    0.          -53.90402985    0.
    0.            0.            0.           37.34499741  306.56918335
   47.39933777  148.41946411    7.54911232  -39.15972519    0.
   68.20780182    0.          -48.49845886  288.9876709    25.99372292
   11.54489994   17.92471695   54.47542953    0.           -4.63453913]"
8,2019-01-15,"0     0.061003
1    -0.278313
2    -0.040845
3     0.064776
4     0.311501
5    -0.292143
6    -0.047726
7     0.138899
8     0.044977
9     0.123451
10   -0.439414
11   -0.427125
12   -0.844098
13    0.372066
14    0.054185
15   -0.027703
16   -0.200000
17   -0.050747
18   -0.503625
19   -0.011207
20   -0.799725
21    0.193565
22    0.076286
23    0.159960
24    0.177790
25    0.535620
26   -0.033202
27   -0.385372
28   -0.541552
29   -0.468638
30   -0.181585
31    0.363090
32   -0.200000
33   -0.200000
34    0.234077
35    0.600000
36    0.456629
37   -0.440945
38    0.172171
39   -0.200000
40    0.114639
41   -0.653702
42   -0.135399
43   -0.073930
44    0.383198
45    0.279626
46    0.228050
47    0.591505
48   -0.283653
49    0.231294
dtype: float32","[  32.96549225    0.            0.           70.01779938   94.52032471
 -181.07762146   -5.85519457   64.86238098   42.89820099   27.45089912
 -104.67712402  -56.91094971    0.            3.05772948   17.58378983
   -4.25817966  -36.46733475  -17.93437004    0.           -5.05304384
    0.          104.16043091   17.30282784    0.           54.77108002
  249.57580566  -10.09902477    0.            0.            0.
    0.            0.            0.          -18.42292404  222.80747986
   79.65292358  482.42977905   -7.54911232   43.75073242    0.
   32.99850464    0.            0.          -53.89476013   33.02968597
   19.01647758   31.5222435    54.08925629    0.           27.82200432]"
9,2019-01-16,"0     0.390392
1    -0.347689
2    -0.429734
3     0.171288
4     0.061110
5    -0.812024
6    -0.030204
7     0.191399
8    -0.190322
9    -0.454756
10   -0.532085
11   -0.356704
12   -0.390634
13    0.249709
14    0.239493
15    0.338688
16   -0.013883
17    0.054445
18   -1.000000
19   -0.280991
20   -1.000000
21    0.084171
22    0.030635
23    0.261200
24   -0.074020
25   -0.114658
26    0.352705
27   -0.717677
28   -0.112233
29   -0.651130
30   -0.016916
31    0.623455
32   -0.107387
33    0.214604
34    0.447226
35    0.079578
36   -0.180325
37    0.137949
38    0.264894
39    0.149458
40    0.176875
41   -0.171225
42   -0.600000
43   -0.301612
44    0.860269
45    0.200000
46   -0.168592
47    0.405766
48   -0.576736
49    0.481800
dtype: float32","[ 209.92214966    0.            0.          183.75775146   17.91086006
   -9.05806732    0.           90.06658936  -42.89820099 -100.03514099
  -10.70127106  -45.75107193    0.            1.94215906   77.53929138
   49.88220978   -2.47548556   18.81461716    0.          -28.94044065
    0.           44.05337906    6.6860652     0.          -21.5527935
  -48.57273102  106.99310303    0.            0.            0.
    0.            0.            0.           19.27220917  414.93557739
   10.39982796 -189.42112732   25.9356842    66.32593536  139.02537537
   49.36641312    0.            0.         -218.97839355   71.49120331
   13.533741    -23.03314972   34.84032059    0.           56.39286423]"
