,date,actions,transactions
0,2019-01-03,"0    -0.731319
1     1.000000
2    -0.013942
3     0.703451
4    -1.000000
5    -1.000000
6    -1.000000
7     0.239505
8     0.573796
9     1.000000
10    0.025142
11   -0.999528
12    0.698807
13    0.599951
14   -0.512381
15   -0.081059
16    1.000000
17   -0.064928
18    0.312543
19   -0.108649
20    0.264599
21    0.553565
22   -0.184423
23    0.705541
24   -1.000000
25   -0.346089
26    0.168546
27   -0.789015
28    0.708922
29    0.078708
30   -0.008480
31    1.000000
32    1.000000
33   -0.968824
34   -0.138727
35   -0.318859
36    1.000000
37    0.543360
38   -0.406292
39   -0.505956
40   -0.177834
41   -0.472599
42    0.107167
43    0.555697
44    0.011471
45   -0.286740
46    0.681770
47    0.614049
48   -0.460590
49   -0.452549
dtype: float32","[0.00000000e+00 1.01022141e+02 0.00000000e+00 8.02860901e+02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.12416229e+02
 5.66332092e+02 2.19103165e+02 5.94766045e+00 0.00000000e+00
 1.33055832e+02 5.14143658e+00 0.00000000e+00 0.00000000e+00
 1.87714462e+02 0.00000000e+00 1.20588997e+02 0.00000000e+00
 6.32696266e+01 3.26106049e+02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.37182541e+01 0.00000000e+00
 2.61251709e+02 3.84084015e+01 0.00000000e+00 0.00000000e+00
 1.56391736e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.05650171e+03 1.05997108e+02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.61902908e+02 4.13587769e+02
 9.68882024e-01 0.00000000e+00 9.37267761e+01 5.58089180e+01
 0.00000000e+00 0.00000000e+00]"
1,2019-01-04,"0     0.980493
1    -0.019334
2     0.070802
3     1.000000
4    -0.181636
5     0.778455
6    -0.051873
7    -0.006105
8    -0.889407
9    -1.000000
10    0.276766
11   -0.501501
12   -0.234167
13    0.141725
14    0.007671
15   -1.000000
16    0.576764
17   -0.045397
18    0.104354
19   -0.666165
20   -0.858126
21   -0.652468
22    0.891228
23   -1.000000
24   -1.000000
25    0.269704
26    1.000000
27    0.442795
28    1.000000
29   -0.689588
30   -0.668704
31   -1.000000
32   -1.000000
33   -0.131260
34   -0.298041
35   -0.740362
36    0.027226
37   -1.000000
38   -0.520687
39    0.005583
40   -0.382862
41    0.603972
42   -1.000000
43   -0.415720
44    1.000000
45    0.191518
46   -0.429157
47    1.000000
48   -0.177067
49    0.281006
dtype: float32","[ 5.43353882e+02 -1.97985685e+00  7.00511475e+01  1.13453296e+03
  0.00000000e+00  5.09887390e+02  0.00000000e+00 -2.81973910e+00
 -5.66332092e+02 -2.19103165e+02  6.72190094e+01  0.00000000e+00
 -4.60267487e+01  1.23303306e+00  2.42852163e+00  0.00000000e+00
  1.10529747e+02  0.00000000e+00  4.05024681e+01  0.00000000e+00
 -6.32696266e+01 -3.26106049e+02  2.10211136e+02  0.00000000e+00
  0.00000000e+00  1.48866104e+02  3.20155731e+02  1.96990341e+02
  3.65791199e+02 -3.84084015e+01  0.00000000e+00  0.00000000e+00
 -1.55511316e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.87648163e+01 -1.05997108e+02  0.00000000e+00  5.32359457e+00
  0.00000000e+00  0.00000000e+00 -1.61902908e+02 -3.07262451e+02
  8.86455688e+01  1.33141127e+01 -5.92622032e+01  9.41585922e+01
  0.00000000e+00  3.33906860e+01]"
2,2019-01-07,"0    -0.120694
1    -0.431881
2     1.000000
3     0.781583
4    -1.000000
5    -0.618749
6    -0.332545
7     1.000000
8     1.000000
9     0.102612
10   -0.631979
11    1.000000
12   -0.937775
13    0.275422
14    0.894725
15    0.251750
16   -0.127857
17   -0.516933
18    1.000000
19   -0.604861
20   -1.000000
21    0.953473
22   -1.000000
23   -0.271062
24   -1.000000
25    0.812369
26    0.715052
27   -0.582316
28   -0.040138
29    0.047596
30   -1.000000
31    0.162353
32   -0.332572
33    1.000000
34   -1.000000
35   -0.341251
36    1.000000
37   -1.000000
38    0.696942
39    0.310203
40    0.176473
41   -1.000000
42   -0.236709
43    1.000000
44   -1.000000
45    0.343578
46    0.462276
47    0.923254
48    0.096295
49   -0.166831
dtype: float32","[ -65.87662506  -44.11994171  970.55340576  876.29321289    0.
 -398.24728394    0.          449.40991211  981.29650879   22.92770004
  -73.16666985  133.19268799  -87.02908325    2.34845757  283.70834351
   40.23447418  -24.35558891    0.          384.12783813    0.
    0.          514.15112305 -210.21113586    0.            0.
  407.67254639  224.11358643 -196.99034119  -14.34412289   22.45033646
    0.            0.           -8.80419922   92.97741699    0.
    0.         1042.47021484    0.          174.33491516  289.05596924
   51.34256363    0.            0.          731.00482178  -88.4592514
   23.85878754   62.98261642   86.29514313   16.48130417  -19.32429886]"
3,2019-01-08,"0     0.693631
1     0.709574
2     0.005929
3    -0.030454
4    -1.000000
5    -0.882252
6     0.585188
7    -0.282778
8    -1.000000
9     0.360780
10   -0.232884
11   -0.269182
12   -0.755730
13   -0.779094
14    0.826398
15    0.932523
16   -0.994894
17   -0.608700
18   -0.129408
19   -1.000000
20    1.000000
21    0.268948
22    0.557643
23    0.138299
24   -0.161969
25   -1.000000
26    1.000000
27    1.000000
28    0.008009
29   -0.189698
30    1.000000
31    0.407787
32    1.000000
33    0.898508
34    1.000000
35   -0.516534
36    1.000000
37   -1.000000
38    0.559504
39   -0.675460
40    0.546658
41   -1.000000
42    1.000000
43    0.165995
44   -0.334665
45    0.630934
46   -0.736037
47    0.376401
48   -0.098152
49    0.389623
dtype: float32","[ 3.77835754e+02  7.25466003e+01  5.77466059e+00 -3.36169853e+01
  0.00000000e+00 -1.11640106e+02  1.21369064e+02 -1.27815186e+02
 -9.68260437e+02  8.11046829e+01  0.00000000e+00 -3.63751640e+01
  0.00000000e+00 -6.60485506e+00  2.63229340e+02  1.43777420e+02
 -1.85468521e+02  0.00000000e+00 -5.03387794e+01  0.00000000e+00
  2.38318802e+02  1.44574173e+02  1.28814499e+02  0.00000000e+00
  0.00000000e+00 -4.97903839e+02  3.13770782e+02  4.36540161e+02
  2.86794138e+00 -2.24503365e+01  3.09140045e+02  0.00000000e+00
  1.54202002e+03  8.39712906e+01  9.24453674e+02  0.00000000e+00
  1.04843787e+03  0.00000000e+00  1.41754135e+02 -2.94379564e+02
  1.59133377e+02  0.00000000e+00  1.43599756e+03  1.20844856e+02
 -1.15519947e+00  4.29542847e+01 -9.74471893e+01  3.47202225e+01
 -1.60704746e+01  4.35738068e+01]"
4,2019-01-09,"0    -1.000000
1     1.000000
2    -0.335397
3    -1.000000
4     0.690651
5    -1.000000
6     0.783155
7    -0.306025
8    -0.535139
9    -0.293623
10   -0.077273
11   -1.000000
12    0.046435
13   -1.000000
14   -0.663555
15    0.338073
16    1.000000
17   -1.000000
18   -0.848187
19    0.264169
20    0.392585
21   -1.000000
22   -1.000000
23   -0.275004
24   -0.662486
25   -1.000000
26    0.113408
27   -1.000000
28   -1.000000
29    0.414464
30   -0.551725
31    0.069578
32   -0.449113
33   -0.565573
34    1.000000
35    0.137461
36   -0.709019
37    1.000000
38   -1.000000
39   -1.000000
40    0.450534
41   -1.000000
42   -0.270897
43   -0.578268
44   -0.289108
45   -0.693009
46    0.438196
47   -0.422780
48    0.278968
49   -0.776043
dtype: float32","[ -545.8157959    102.11667633  -327.22283936 -1091.2265625
     0.             0.           164.35993958  -140.28315735
   -13.03607178   -66.82247162     0.           -96.81752396
     8.73394585    -2.11807215  -223.74176025    52.37075806
   186.22805786     0.          -333.92147827   118.79161835
    95.65594482  -540.37115479  -128.8144989      0.
     0.           -58.6348114     34.86932755  -436.54016113
  -356.66390991   193.92318726  -170.66169739     0.
  -700.38244629   -53.33000183   943.11151123    18.18820953
  -749.07965088   191.44325256  -256.39974976     0.
   130.63418579     0.          -391.040802    -420.40600586
     0.           -46.76931763    60.57823563   -39.59516907
    46.71150208   -57.64019394]"
5,2019-01-10,"0    -0.748300
1    -0.543983
2     0.106293
3     1.000000
4    -1.000000
5     0.259904
6     1.000000
7    -1.000000
8     1.000000
9     0.722091
10   -1.000000
11   -0.760281
12    0.276622
13   -0.435627
14   -0.453164
15    0.622814
16   -0.334773
17    0.710630
18    0.202513
19    1.000000
20    0.908120
21    0.247558
22    0.577945
23   -0.342182
24   -1.000000
25    0.223077
26   -0.787589
27    0.328995
28   -1.000000
29   -0.058687
30   -1.000000
31    1.000000
32   -0.399928
33    1.000000
34    0.213844
35    0.054587
36   -0.576638
37    1.000000
38   -0.676118
39    1.000000
40   -0.116447
41   -1.000000
42    0.349519
43   -1.000000
44    0.906508
45   -1.000000
46   -0.416747
47    1.000000
48   -1.000000
49   -1.000000
dtype: float32","[-309.49721527  -54.61820984  103.52114868 1068.78710938    0.
  166.45783997  205.94862366 -290.90805936  964.59918213  158.46391296
    0.            0.           48.69749451    0.         -151.24620056
   97.29347229  -62.04515839  252.70254517   75.51269531  435.13827515
  214.38056946  131.9758606   133.3285675     0.            0.
  101.70652008 -241.50274658  139.11717224 -258.9028163   -27.90864944
 -138.47834778    0.         -620.17755127   92.38967896  200.94322205
    7.17703819 -602.27087402  187.7454834   -59.68930054  935.08630371
  -33.38799286    0.          498.01843262 -537.76898956   75.18544006
  -33.35786724  -57.12591553   90.39009094  -47.12233162    0.        ]"
6,2019-01-11,"0     0.177699
1     0.517437
2    -0.421152
3    -0.794320
4    -0.220540
5    -0.573433
6    -0.449871
7    -0.662696
8    -1.000000
9    -1.000000
10    0.095388
11   -0.560426
12   -1.000000
13   -1.000000
14    0.233689
15   -0.528792
16   -0.830438
17   -0.441187
18    1.000000
19   -0.062918
20    1.000000
21    1.000000
22   -0.085534
23   -1.000000
24   -0.170244
25    0.432435
26   -1.000000
27    0.573305
28    0.427205
29   -1.000000
30    0.143577
31    0.962545
32    1.000000
33   -1.000000
34    1.000000
35   -0.974333
36    0.788172
37   -0.786355
38    1.000000
39   -0.859429
40   -1.000000
41   -0.267501
42    1.000000
43    0.251171
44   -0.089578
45    0.025907
46   -1.000000
47   -0.029495
48    0.289640
49   -0.556734
dtype: float32","[  96.99073792   52.88137817 -411.60321045 -856.96429443    0.
 -166.45783997  -92.11260986    0.         -964.59918213 -195.67382431
   21.70887184    0.          -57.43144035    0.           75.4618988
  -82.0193634  -153.17436218 -153.44979858  373.94641113  -27.61304855
  243.06416321  543.21258545  -19.47584534    0.            0.
  203.54844666 -306.80117798  244.23831177  151.37399292 -166.01453781
   44.86615753    0.         1568.38146973  -91.50587463  957.17596436
  -25.36524773  829.51538086 -150.21969604  252.48316956 -807.88580322
 -293.59262085    0.         1435.99755859  182.108078     -7.52846146
    1.75311017   -3.4523201    -2.71166825   49.13784409    0.        ]"
7,2019-01-14,"0    -0.418884
1    -0.006582
2    -0.090363
3     0.293793
4     1.000000
5    -0.657797
6     0.692774
7    -1.000000
8     1.000000
9     1.000000
10   -0.086595
11    1.000000
12    0.355352
13    0.605746
14    0.754288
15   -0.882344
16   -0.512438
17    0.160252
18    1.000000
19   -0.762242
20    0.016111
21   -0.858895
22   -0.681431
23   -1.000000
24   -0.932678
25   -0.867012
26   -0.971353
27   -0.737004
28   -0.014510
29   -0.512167
30   -0.878636
31   -1.000000
32   -0.767092
33    1.000000
34    0.578120
35    0.569367
36   -1.000000
37   -0.565718
38    0.811183
39   -1.000000
40    0.020252
41    0.064095
42    0.697642
43   -0.997502
44   -0.065162
45    0.188343
46   -0.044990
47   -1.000000
48    1.000000
49   -1.000000
dtype: float32","[-9.69907379e+01 -6.82310939e-01 -8.78542786e+01  3.14002441e+02
  3.03971680e+02  0.00000000e+00  1.38578094e+02  0.00000000e+00
  9.52000122e+02  2.19712616e+02 -1.99212666e+01  1.29383850e+02
  6.22538033e+01  4.88985729e+00  2.43811035e+02 -1.34291595e+02
 -5.94286366e+01  5.69154472e+01  3.71024475e+02 -3.35104462e+02
  3.93900752e+00 -4.63635773e+02 -1.13852722e+02  0.00000000e+00
  0.00000000e+00 -3.05254967e+02 -2.97208038e+02 -3.10364655e+02
 -5.11796713e+00  0.00000000e+00 -4.48661575e+01  0.00000000e+00
 -1.19626355e+03  9.06077805e+01  5.42255310e+02  7.50309982e+01
 -1.04843787e+03 -1.08458595e+02  2.03308044e+02 -1.27200500e+02
  5.86554432e+00  0.00000000e+00  9.94047180e+02 -1.82108078e+02
 -5.42410469e+00  1.27449169e+01  0.00000000e+00 -9.07923813e+01
  1.68004547e+02  0.00000000e+00]"
8,2019-01-15,"0    -0.466546
1     1.000000
2     0.318181
3    -0.123742
4     1.000000
5     0.240285
6    -0.697186
7     0.505685
8    -0.846801
9    -0.692069
10    1.000000
11    1.000000
12   -0.399639
13   -0.258824
14   -0.593855
15   -1.000000
16    0.259721
17    1.000000
18    1.000000
19   -0.539269
20    0.301745
21   -0.433101
22    1.000000
23    0.078868
24    1.000000
25   -0.784676
26   -0.406779
27   -0.110284
28   -0.828525
29   -1.000000
30    0.506870
31   -0.999567
32   -0.939969
33    0.658924
34    0.390115
35    0.233018
36   -0.309375
37    0.789391
38    0.097948
39   -1.000000
40    1.000000
41   -1.000000
42   -0.283450
43    0.735312
44   -0.103413
45   -0.408333
46   -0.728686
47   -1.000000
48   -0.429062
49    1.000000
dtype: float32","[   0.          106.29681396  311.50820923 -133.75454712  303.43487549
  148.93443298 -140.25576782  236.14230347 -807.66186523 -153.89089966
  238.22001648  133.24201965  -62.25380325   -2.1270752  -192.71360779
 -117.36516571   47.35657883  353.40435791  374.21508789 -191.21238327
   75.96304321 -233.05787659  226.81394958    0.          308.06576538
    0.         -101.11571884  -46.71113968 -146.25602579    0.
  159.63916016    0.         -593.57794189   60.69652176  371.33319092
   30.93424797 -326.85516357  154.38606262   24.88964272    0.
  287.84597778    0.         -404.92840576  536.0435791    -8.91366959
  -14.49802709    0.          -91.44345093  -76.48738861  120.28859711]"
9,2019-01-16,"0    -0.440825
1     0.478098
2     1.000000
3     0.969113
4     1.000000
5    -0.713774
6     1.000000
7     0.069783
8     1.000000
9    -0.341305
10   -0.294944
11    1.000000
12   -1.000000
13   -1.000000
14    0.454816
15    0.671124
16   -0.402960
17   -0.241215
18   -0.862857
19    1.000000
20   -0.914682
21   -0.055266
22   -1.000000
23    1.000000
24    0.475241
25    0.303770
26   -1.000000
27   -0.373709
28    1.000000
29   -0.614190
30   -0.271103
31    1.000000
32    0.684930
33   -0.150823
34   -0.041080
35    1.000000
36    1.000000
37   -0.234616
38    0.286656
39   -0.017567
40    1.000000
41   -0.709542
42   -0.880507
43    0.044462
44    1.000000
45   -0.677407
46   -1.000000
47   -1.000000
48   -0.121596
49    1.000000
dtype: float32","[    0.            50.30547333   968.87957764  1039.66479492
   293.09011841  -148.93443298   197.49575806    32.83779526
   943.20043945   -65.82171631   -67.21490479   128.26071167
     0.            -2.7627821    147.25357056    98.84355927
   -47.35657883   -83.35639954  -307.25680542   440.76553345
  -231.66470337   -28.92532539  -218.25007629     0.
   138.37745667   128.68652344     0.           -26.27968979
   352.04077148     0.           -84.10934448     0.
  1068.13317871   -13.54445839   -38.1142807    130.68786621
  1050.44226074   -44.11009216    71.77484894     0.
   279.10351562     0.         -1244.9552002     32.28059387
    83.10327911     0.             0.           -85.86299896
   -20.91157913   117.04612732]"
