,date,actions,transactions
0,2019-01-03,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44   -1.0
45   -1.0
46    1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.          469.36898804    0.            0.
  236.56208801    0.          190.40438843    0.            0.
  168.67445374  187.71446228  393.12194824  385.83224487  459.3772583
  239.11546326    0.            0.            0.          360.73995972
  578.99853516  318.7149353     0.          368.51959229  487.98577881
    0.            0.            0.           95.3532486   973.48236084
    0.         1056.50170898  195.07704163    0.          953.45245361
  317.30517578    0.         1510.7565918     0.            0.
    0.          137.47557068   90.88677979  173.10261536  117.63321686]"
1,2019-01-04,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13    1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44   -1.0
45   -1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.             0.             0.             0.
     0.             0.             0.           461.87243652
     0.             0.           242.87289429     0.
   196.55555725     8.70018864     0.           166.82571411
   191.63769531   383.10653687   388.12643433   466.50494385
   260.52520752     0.             0.             0.
   358.46920776   551.96166992   320.1557312      0.
   365.79119873   485.71984863     0.             0.
     0.            94.49687958   953.61608887     0.
 -1056.50170898   191.37510681     0.           953.45245361
   310.79064941     0.          1470.45849609     0.
     0.             0.           138.08988953   -90.88677979
   176.32516479   118.82553101]"
2,2019-01-07,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14    1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44   -1.0
45   -1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.          449.40991211    0.            0.
  234.17120361    0.          190.33769226   -8.52676296  317.08987427
  159.81895447  190.4907074   364.68399048  384.12783813  457.73294067
  243.18238831    0.            0.            0.          349.27908325
  501.83169556  313.42263794    0.          357.36749268  471.68920898
  309.69338989    0.            0.           92.97741699  909.73602295
    0.            0.          184.44126892    0.          931.82751465
  290.93786621    0.         1435.99755859    0.            0.
    0.          136.24461365    0.          171.15492249  115.83190155]"
3,2019-01-08,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9     1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14    1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51997833e+02
  0.00000000e+00  2.24803970e+02  2.34386353e+02  0.00000000e+00
  1.88351578e+02 -1.73425674e-01  3.18526123e+02  1.54181076e+02
  1.86420395e+02  3.53551788e+02  3.88993042e+02  4.48104950e+02
  2.38318802e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.39992645e+02  4.97903839e+02 -3.13770782e+02  0.00000000e+00
  3.58073853e+02  4.67888794e+02 -3.09140045e+02  0.00000000e+00
  0.00000000e+00 -9.34563751e+01 -9.24453674e+02  0.00000000e+00
  0.00000000e+00  1.88473709e+02  2.53356979e+02 -9.30197937e+02
  2.91102173e+02  0.00000000e+00 -1.43599756e+03  0.00000000e+00
  0.00000000e+00  6.80804749e+01 -1.36961533e+02  0.00000000e+00
  1.63730438e+02  1.11835808e+02]"
4,2019-01-09,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.58404388e+02
  0.00000000e+00 -2.24803970e+02  2.31512558e+02  0.00000000e+00
  1.88089432e+02  0.00000000e+00 -3.37186249e+02  1.54909546e+02
  1.86228058e+02  3.56343628e+02  3.93688385e+02  4.49680725e+02
  2.43656403e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.38705200e+02  4.77331512e+02  3.07467133e+02  0.00000000e+00
  3.56663910e+02  4.67888794e+02 -5.53344727e-01  0.00000000e+00
  0.00000000e+00  9.42937241e+01  9.43111511e+02  0.00000000e+00
  0.00000000e+00  1.91443253e+02 -2.53356979e+02  9.33462769e+02
  2.89954254e+02  0.00000000e+00 -1.44350134e+03  0.00000000e+00
  0.00000000e+00  6.74873123e+01  1.38244522e+02  0.00000000e+00
  1.67444168e+02  1.14942261e+02]"
5,2019-01-10,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.          452.7427063     0.            0.
  228.81095886    0.          176.0433197     0.         -298.42974854
  156.21582031  185.33482361  355.60360718  372.87832642  435.13827515
  236.07064819    0.            0.            0.          329.27230835
  455.92565918  306.6355896     0.          353.64431763  475.55187988
    0.            0.            0.          -92.38967896 -939.67297363
    0.         1044.4519043   187.7454834     0.         -935.08630371
  286.72354126    0.         1424.86682129    0.            0.
   67.54155731 -137.07568359    0.          166.9432373   113.24002075]"
6,2019-01-11,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22    1.0
23   -1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33   -1.0
34    1.0
35   -1.0
36    1.0
37   -1.0
38    1.0
39    1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.             0.             0.             0.
   307.04797363     0.             0.          -458.02224731
     0.             0.           227.58514404     0.
   177.25341797     0.             0.           155.10705566
   184.45011902   347.81158447   373.94641113   438.87368774
   243.06416321     0.           227.69810486     0.
   299.38146973   470.70343018   306.80117798     0.
   354.33599854   486.6227417    312.48828125     0.
     0.           -91.50587463   957.17596436     0.
  1052.4543457   -191.03291321   252.48316956   940.02630615
   293.59262085     0.         -1435.99755859     0.
     0.            67.66870117   136.71549988     0.
   169.65139771   115.09281158]"
7,2019-01-14,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33   -1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.             0.             0.             0.
   303.97167969     0.             0.           458.40438843
     0.             0.           230.05006409     0.
   175.18902588     0.             0.           152.19866943
   182.33668518   355.16156006   371.0244751    439.63000488
   244.48921204     0.          -223.72665405     0.
   312.67782593   473.3324585    305.97320557     0.
   352.72622681   484.81558228   311.54977417     0.
     0.           -90.60778046   937.96313477     0.
  1048.43786621   191.71852112  -250.6315918    938.38562012
   289.6267395      0.         -1424.86682129     0.
     0.            67.66870117   136.64001465     0.
   168.00454712   114.88600922]"
8,2019-01-15,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16    1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33   -1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.          303.43487549
    0.            0.          466.97549438    0.            0.
  238.22001648    0.          173.95115662    0.            0.
  153.70852661  182.33668518  353.40435791  374.21508789  450.87289429
  251.74586487    0.           -3.97145081    0.          308.06576538
  465.95718384  304.16586304    0.          356.66390991  490.27297974
  314.95071411    0.            0.           -9.16156006  951.85516357
    0.         1056.50170898  195.57606506   -1.85157776  945.01879883
  287.84597778    0.         -101.71618652    0.            0.
   68.00685883  138.22502136    0.          178.26646423  120.28859711]"
9,2019-01-16,"0    -1.0
1    -1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11   -1.0
12    1.0
13   -1.0
14   -1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27   -1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34    1.0
35   -1.0
36   -1.0
37    1.0
38   -1.0
39    1.0
40    1.0
41    1.0
42   -1.0
43   -1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.             0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
  -178.31033325     0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.             0.          -310.24874878     0.
     0.             0.             0.             0.
 -1050.44226074     0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.             0.        ]"
