,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,925294.7185320327,74073.32882991958,999368.0473619523,-0.000631952638047717,2019-01-04
2,900371.6226149889,101407.46264700175,1001779.0852619907,0.001779085261990776,2019-01-07
3,865166.6096341141,137163.9159950516,1002330.5256291657,0.0023305256291656917,2019-01-08
4,804388.3545746881,196581.9540294975,1000970.3086041856,0.0009703086041856768,2019-01-09
5,770303.827499185,233585.13617591755,1003888.9636751026,0.003888963675102497,2019-01-10
6,722155.4032930998,280922.1627143373,1003077.5660074372,0.003077566007437138,2019-01-11
7,680573.7946837867,323940.5565940765,1004514.3512778631,0.004514351277863149,2019-01-14
8,634323.3009975303,366185.5549455269,1000508.8559430572,0.0005088559430572737,2019-01-15
9,604475.2971959573,405482.5911940597,1009957.888390017,0.009957888390016878,2019-01-16
10,599940.8833500601,409420.46386820613,1009361.3472182662,0.009361347218266314,2019-01-17
11,592978.7093095784,413836.0399277829,1006814.7492373614,0.006814749237361362,2019-01-18
12,586659.8191302485,427175.9925980706,1013835.8117283192,0.013835811728319047,2019-01-21
13,592985.316509136,424239.5318191833,1017224.8483283194,0.017224848328319275,2019-01-22
14,531170.2793100474,478708.6855769224,1009878.9648869698,0.00987896488696971,2019-01-23
15,546670.7200722164,462544.86260887707,1009215.5826810934,0.009215582681093348,2019-01-24
16,548933.050372669,463559.5696023603,1012492.6199750293,0.012492619975029262,2019-01-25
17,498167.9064487743,519238.98905706307,1017406.8955058374,0.017406895505837294,2019-01-28
18,455004.25337200315,558937.9763335187,1013942.2297055218,0.013942229705521836,2019-01-29
19,482942.34496182046,533721.5306950613,1016663.8756568818,0.016663875656881766,2019-01-30
20,506268.9159932963,506677.5063909104,1012946.4223842067,0.012946422384206624,2019-01-31
21,469936.42053232255,549073.6671821837,1019010.0877145063,0.019010087714506296,2019-02-01
22,486393.33670337143,540162.1986039927,1026555.5353073641,0.026555535307364098,2019-02-11
23,467948.0673730745,566300.8953196135,1034248.962692688,0.03424896269268807,2019-02-12
24,476952.83051189745,559481.3985611387,1036434.2290730361,0.03643422907303617,2019-02-13
25,454323.37730153877,596012.126268681,1050335.5035702197,0.050335503570219764,2019-02-14
26,415860.4672430228,635162.6260133982,1051023.093256421,0.05102309325642085,2019-02-15
27,377523.80602397665,658192.516739668,1035716.3227636446,0.03571632276364456,2019-02-18
28,280552.8947745313,780807.530825992,1061360.4256005234,0.06136042560052335,2019-02-19
29,274041.1043402071,789689.1956657704,1063730.3000059775,0.06373030000597746,2019-02-20
30,254265.13149527812,815783.2004417628,1070048.331937041,0.07004833193704085,2019-02-21
31,233787.28905079875,837667.7045180377,1071454.9935688365,0.07145499356883644,2019-02-22
32,208032.3927059855,890076.5375109644,1098108.93021695,0.09810893021695,2019-02-25
33,201071.48081258388,946780.5504266317,1147852.0312392155,0.14785203123921553,2019-02-26
34,193595.93775060345,942957.8248667277,1136553.7626173312,0.1365537626173312,2019-02-27
35,190545.90506218938,946311.8653361369,1136857.7703983262,0.13685777039832625,2019-02-28
36,198102.19536415813,931870.7165654874,1129972.9119296456,0.12997291192964555,2019-03-01
37,218386.0685557748,939563.954074319,1157950.0226300939,0.15795002263009383,2019-03-04
38,260010.34521858042,910316.384928878,1170326.7301474584,0.17032673014745847,2019-03-05
39,245415.59116958603,932822.0151203844,1178237.6062899705,0.17823760628997043,2019-03-06
40,237151.56077074897,953473.1014730838,1190624.6622438328,0.1906246622438328,2019-03-07
41,249159.55132793813,937837.3426700312,1186996.8939979693,0.18699689399796937,2019-03-08
42,262293.5000185009,883965.5503053218,1146259.0503238228,0.1462590503238228,2019-03-11
43,269637.84591974365,886304.6252279198,1155942.4711476634,0.15594247114766335,2019-03-12
44,245874.5984351179,916141.109466016,1162015.707901134,0.16201570790113395,2019-03-13
45,205579.02517387306,942770.1800163259,1148349.205190199,0.1483492051901989,2019-03-14
46,218671.5578893572,923835.2751178754,1142506.8330072328,0.14250683300723277,2019-03-15
47,187798.789944144,965003.4091812724,1152802.1991254163,0.15280219912541626,2019-03-18
48,209040.35572597833,970735.9318083229,1179776.2875343012,0.1797762875343012,2019-03-19
49,208854.5107653082,960192.8852654648,1169047.396030773,0.169047396030773,2019-03-20
50,180416.0874532388,987331.6825072168,1167747.7699604556,0.1677477699604557,2019-03-21
51,180281.490486998,989210.9729168045,1169492.4634038024,0.16949246340380242,2019-03-22
52,181108.68112423024,980815.7555311624,1161924.4366553926,0.1619244366553927,2019-03-25
53,137971.83223529544,992079.6402450746,1130051.4724803702,0.1300514724803703,2019-03-26
54,166090.73137410736,956390.1251356183,1122480.8565097256,0.12248085650972551,2019-03-27
55,137442.6576232251,993636.9637048542,1131079.6213280794,0.13107962132807938,2019-03-28
56,117410.7142334749,1012100.0964491754,1129510.8106826502,0.12951081068265013,2019-03-29
57,131196.3193468689,1042339.5734308264,1173535.8927776953,0.17353589277769532,2019-04-01
58,129602.73020602652,1070603.4662188208,1200206.1964248472,0.20020619642484716,2019-04-02
59,166168.60780864253,1030476.0880864946,1196644.695895137,0.1966446958951371,2019-04-03
60,110082.20146682,1091500.1726174043,1201582.3740842242,0.2015823740842242,2019-04-04
61,87609.04730379643,1129771.0120259745,1217380.059329771,0.217380059329771,2019-04-08
62,80924.02219567086,1131985.7979047918,1212909.8201004625,0.21290982010046244,2019-04-09
63,56715.54347768303,1074751.2863942033,1131466.8298718864,0.1314668298718864,2019-04-10
64,61178.812322713304,1074134.8636798183,1135313.6760025315,0.13531367600253152,2019-04-11
65,69970.68592667281,1037597.9486112293,1107568.6345379022,0.10756863453790211,2019-04-12
66,57134.736856238196,1048952.8825366783,1106087.6193929166,0.10608761939291655,2019-04-15
67,41609.16597337114,1060406.3098266076,1102015.4757999787,0.10201547579997872,2019-04-16
68,62245.27794638566,1069106.6300429956,1131351.907989381,0.131351907989381,2019-04-17
69,62365.46886298662,1152162.7292409143,1214528.198103901,0.2145281981039009,2019-04-18
70,39815.42263767504,1174276.3246358181,1214091.747273493,0.21409174727349312,2019-04-19
71,82197.64766274465,1141913.391219668,1224111.0388824127,0.2241110388824128,2019-04-22
72,78008.79151623737,1123560.346353773,1201569.1378700105,0.2015691378700104,2019-04-23
73,74396.76364936547,1130604.2168216777,1205000.9804710431,0.2050009804710431,2019-04-24
74,89024.37970429394,1118214.388866849,1207238.768571143,0.20723876857114298,2019-04-25
75,30357.41423221874,1160868.8421530926,1191226.2563853113,0.19122625638531132,2019-04-26
76,4257.698627909931,1176254.9180727205,1180512.6167006304,0.18051261670063035,2019-04-29
77,14681.350838890152,1169116.2371077272,1183797.5879466173,0.18379758794661738,2019-04-30
78,14843.254288805567,1159584.2827710086,1174427.5370598142,0.17442753705981429,2019-05-06
79,59818.38469132965,1052911.317559023,1112729.7022503526,0.11272970225035261,2019-05-07
80,60295.05672617768,1067342.2255165782,1127637.2822427559,0.12763728224275583,2019-05-08
81,97199.20073642771,1008916.949242722,1106116.1499791497,0.10611614997914964,2019-05-09
82,56396.560609944776,1030347.3986240906,1086743.9592340353,0.08674395923403533,2019-05-10
83,56622.83185544538,1071490.140749492,1128112.9726049374,0.12811297260493748,2019-05-13
84,38642.98054100405,1072322.7328409697,1110965.7133819738,0.1109657133819737,2019-05-14
85,52525.49258997361,1051144.7250153963,1103670.2176053699,0.10367021760536987,2019-05-15
86,23770.1382954775,1110620.7021984425,1134390.84049392,0.13439084049392003,2019-05-16
87,74373.38615169165,1060547.9250798873,1134921.311231579,0.13492131123157902,2019-05-17
88,59511.67513087204,1046710.459078896,1106222.134209768,0.106222134209768,2019-05-20
89,48707.32057341326,1051876.2842577847,1100583.604831198,0.1005836048311981,2019-05-21
90,24549.5984351476,1086268.9662952854,1110818.564730433,0.11081856473043294,2019-05-22
91,74704.75030951148,1034664.1741795553,1109368.9244890667,0.10936892448906677,2019-05-23
92,29549.8294321165,1065883.1052819858,1095432.9347141024,0.09543293471410252,2019-05-24
93,67959.6770386057,1029386.3941488386,1097346.0711874443,0.09734607118744432,2019-05-27
94,53021.12301923025,1060446.7131905742,1113467.8362098045,0.1134678362098045,2019-05-28
95,45927.30390838106,1077120.9512017744,1123048.2551101556,0.12304825511015549,2019-05-29
96,7752.259139095818,1113842.9774356121,1121595.236574708,0.12159523657470794,2019-05-30
97,49478.07050038285,1065293.0978175865,1114771.1683179694,0.11477116831796952,2019-05-31
98,23978.343941335068,1085710.1975419205,1109688.5414832556,0.10968854148325557,2019-06-03
99,77154.74835917338,1036565.6182837173,1113720.3666428907,0.11372036664289076,2019-06-04
100,77633.91914350125,1028691.5740849192,1106325.4932284204,0.10632549322842033,2019-06-05
101,34010.83915132865,1071822.1665863013,1105833.00573763,0.10583300573762999,2019-06-06
102,9452.812336863079,1083943.4317932248,1093396.2441300878,0.09339624413008774,2019-06-10
103,3659.7063886304168,1099617.5814012894,1103277.2877899199,0.10327728778991996,2019-06-11
104,61325.56235604347,1077019.14054994,1138344.7029059834,0.13834470290598344,2019-06-12
105,88724.9962355843,1038436.0265082819,1127161.0227438663,0.1271610227438662,2019-06-13
106,83240.42271462308,1044001.8607354126,1127242.2834500356,0.12724228345003552,2019-06-14
107,103241.9775252895,1016143.5846218927,1119385.5621471822,0.11938556214718221,2019-06-17
108,107795.71073137273,1011877.247023043,1119672.9577544157,0.11967295775441578,2019-06-18
109,116241.10293522313,1005134.2817573822,1121375.3846926054,0.12137538469260534,2019-06-19
110,127647.58470707937,1008740.1503682376,1136387.735075317,0.1363877350753171,2019-06-20
111,132479.8619648384,1040433.7041721386,1172913.566136977,0.17291356613697695,2019-06-21
