,date,actions,transactions
0,2019-01-03,"0     1.000000
1     0.266193
2    -0.991572
3     0.675708
4     0.349784
5     0.624069
6    -0.793897
7     0.161909
8     1.000000
9    -0.354815
10    0.256181
11    0.195309
12    0.170581
13    0.826254
14    0.628522
15    0.150213
16    0.252020
17    0.899288
18   -1.000000
19    1.000000
20   -0.153684
21   -0.872996
22   -0.917833
23    0.468135
24    0.472808
25    0.011589
26    0.690019
27    0.140469
28   -1.000000
29   -0.078495
30    1.000000
31    0.047338
32    1.000000
33   -1.000000
34    0.170061
35    0.517603
36    1.000000
37    1.000000
38    1.000000
39    0.833032
40   -0.568681
41    1.000000
42    1.000000
43   -0.789681
44   -0.439837
45    0.233348
46    1.000000
47    0.556431
48   -0.408614
49    0.635736
dtype: float32","[ 560.44384766   26.8913517     0.          771.19812012    0.
  402.67208862    0.           75.99511719  986.99145508    0.
   60.60261154   26.69145775   32.47935104    7.08079624  202.82620239
   25.33711815   47.30771255  353.52984619    0.          459.3772583
    0.            0.            0.            0.          170.56082153
    6.70996809  219.91926575   62.06058884    0.            0.
  337.24310303    0.         1563.9173584     0.          165.55126953
   65.58558655 1056.50170898  195.07704163  256.9135437   794.25634766
    0.            0.         1510.7565918     0.            0.
   16.10422134  137.47557068   50.57223129    0.           74.783638  ]"
1,2019-01-04,"0     0.847453
1     0.636073
2     0.202107
3    -1.000000
4    -1.000000
5     0.030123
6    -0.346439
7    -0.376179
8     0.273428
9     0.690038
10   -1.000000
11   -1.000000
12   -0.212688
13   -0.216407
14   -1.000000
15   -1.000000
16    0.799060
17   -0.115227
18   -0.591250
19   -1.000000
20   -1.000000
21   -1.000000
22   -0.467937
23    1.000000
24    0.011905
25   -0.553844
26   -1.000000
27   -0.891597
28   -0.659899
29   -0.114183
30   -0.768117
31   -1.000000
32   -1.000000
33   -0.121926
34   -0.039698
35   -1.000000
36    1.000000
37    0.017686
38    1.000000
39   -0.880208
40    1.000000
41   -0.062836
42   -1.000000
43    0.896303
44    1.000000
45   -0.978019
46    0.836912
47   -1.000000
48    0.255381
49    0.055471
dtype: float32","[  469.62768555    65.13658142   199.96304321  -771.19812012
     0.            19.73025513     0.           -75.99511719
   270.91412354   153.99598694   -60.60261154   -26.69145775
   -32.47935104    -1.88277912  -202.82620239   -25.33711815
   153.13008118   -44.14415359     0.          -459.3772583
     0.             0.             0.             0.
     4.26758003    -6.70996809  -219.91926575   -62.06058884
     0.             0.          -252.48397827     0.
 -1555.11315918     0.           -37.85651779   -65.58558655
  1056.50170898     3.38473988   254.23686218  -794.25634766
   310.79064941     0.         -1470.45849609   662.46575928
    88.64556885   -16.10422134   115.56913757   -50.57223129
    45.0301857      6.59135389]"
2,2019-01-07,"0     1.000000
1     0.057565
2     0.558560
3    -0.146128
4     0.931298
5     1.000000
6     0.270394
7    -1.000000
8    -0.813725
9    -0.204964
10   -1.000000
11   -1.000000
12    0.118222
13   -0.877291
14   -0.867574
15   -0.183377
16   -0.210820
17    0.097686
18    0.672444
19    0.872475
20    0.067004
21    0.209871
22    0.346183
23    0.979941
24    0.956778
25   -0.007434
26    1.000000
27    1.000000
28    0.958608
29   -0.026075
30   -0.679917
31   -0.896175
32   -1.000000
33    0.668835
34    0.958824
35   -0.134664
36    1.000000
37    0.925900
38    1.000000
39    1.000000
40   -0.120098
41   -1.000000
42   -1.000000
43   -0.688240
44   -1.000000
45   -0.001174
46    0.989626
47   -1.000000
48    0.289151
49    0.480660
dtype: float32","[ 545.8157959     5.88072205  542.11224365    0.            0.
  643.63317871   56.1020546     0.         -798.50524902  -45.7975769
    0.            0.           22.50203323   -5.19801712    0.
    0.          -40.15927887   35.62443924  258.30459595  399.36044312
   16.29419518  113.17089844   80.85507202    0.          334.18258667
    0.          313.42263794  439.91238403  342.57543945    0.
  -84.75912476    0.           -8.80419922   62.18658447  872.2767334
    0.         1042.47021484  170.77415466  250.14257812  931.82751465
  -34.94106674    0.          -40.2980957  -503.10668945  -88.4592514
    0.          134.83123779    0.           49.48958206   55.67572021]"
3,2019-01-08,"0     0.413001
1     1.000000
2     0.387164
3     1.000000
4     0.033468
5     1.000000
6    -1.000000
7    -1.000000
8     0.522807
9    -0.810973
10   -0.676105
11    0.945763
12   -0.422890
13    0.865125
14    1.000000
15   -0.823453
16    0.014887
17    1.000000
18    1.000000
19   -0.441420
20   -0.284463
21    0.544487
22   -0.172357
23    1.000000
24   -0.206884
25   -0.578754
26    0.827430
27    0.015928
28   -0.467221
29   -0.192573
30    0.520427
31    0.944902
32    0.719820
33    0.743204
34    0.696988
35    1.000000
36   -0.646258
37   -0.600482
38   -0.304004
39   -0.273718
40   -0.044807
41   -0.574178
42    1.000000
43   -0.144821
44    0.130972
45   -1.000000
46   -1.000000
47   -1.000000
48   -0.747775
49    1.000000
dtype: float32","[ 224.97080994  102.23966217  377.06576538 1103.85021973    0.
  638.09692383  -56.1020546     0.          506.21331787 -108.19841003
    0.          127.80301666  -22.50203323    7.33419371  318.52612305
    0.            2.77525687  353.55178833  388.99304199 -197.80256653
  -16.29419518  292.69091797  -39.81404114    0.          -70.33907318
    0.          259.62350464    6.95312786 -167.29956055    0.
  160.8848114     0.         1109.97753906   69.45713806  644.33270264
  128.4617157  -677.56170654 -113.17506409  -77.02162933 -254.61175537
  -13.04340267    0.         1435.99755859 -105.43022156   11.38631535
    0.         -136.96153259    0.          -94.51976776  111.8358078 ]"
4,2019-01-09,"0    -0.978103
1     0.079475
2     1.000000
3    -0.776267
4     1.000000
5    -0.171796
6    -0.270024
7    -1.000000
8    -0.505965
9    -1.000000
10   -0.014763
11    0.670161
12   -0.835978
13   -0.860260
14    0.238624
15   -0.087640
16   -0.715497
17    0.289651
18   -1.000000
19    0.855861
20   -0.078337
21    0.008550
22    0.148286
23   -0.094965
24    0.066846
25    0.320519
26   -0.576583
27    0.221006
28   -0.266239
29    0.481508
30    1.000000
31    1.000000
32    1.000000
33   -0.830904
34    1.000000
35   -0.359789
36   -0.558209
37   -1.000000
38   -0.953821
39    0.481243
40    0.781483
41    0.727140
42    1.000000
43    0.480683
44    0.591130
45   -1.000000
46    0.864951
47   -1.000000
48    1.000000
49   -1.000000
dtype: float32","[-533.86383057    8.11575699  975.62878418 -847.0826416     0.
 -110.16407776    0.            0.         -491.77267456    0.
    0.           89.87240601    0.           -7.3013978    80.46064758
    0.         -133.24557495  103.21537781 -393.68838501  384.86416626
    0.            4.62039089   34.51143646    0.           22.64121819
  152.99385071 -177.28038025   96.56045532  -94.95767975  225.29202271
  309.32363892    0.         1559.47851562  -78.34898376  943.11151123
  -47.60581207 -589.74841309 -191.44325256 -244.55940247  449.22198486
  226.59439087    0.         1443.50134277  349.46063232   50.09743881
    0.          119.57479858    0.          167.44416809 -114.94226074]"
5,2019-01-10,"0    -0.639508
1     0.164734
2    -0.324584
3     0.282659
4     1.000000
5     1.000000
6    -1.000000
7     1.000000
8     1.000000
9    -0.772981
10    1.000000
11    1.000000
12    1.000000
13    0.188154
14    1.000000
15    1.000000
16   -0.435197
17   -1.000000
18    0.967172
19    0.408556
20    1.000000
21   -1.000000
22    0.632738
23    1.000000
24    0.123001
25    0.097027
26   -0.771302
27    0.914855
28    1.000000
29   -1.000000
30    0.379528
31    0.273330
32   -0.264837
33   -0.659030
34   -0.511432
35   -1.000000
36   -0.405148
37   -0.582046
38    0.540374
39    0.959717
40   -0.405598
41    1.000000
42    0.564787
43   -0.488315
44    0.889761
45   -0.926916
46   -0.528653
47    0.015986
48    0.996782
49    1.000000
dtype: float32","[-348.00482178   16.53996658 -316.11801147  302.10229492    0.
  640.45910645    0.          452.7427063   964.59918213    0.
  228.81095886  130.36245728  176.0433197     1.56758046  333.75610352
  156.21582031  -29.80819678 -355.60360718  360.63739014  177.77827454
  236.07064819 -410.4822073   145.96902466    0.           40.5009346
   44.23721313 -236.50872803  386.85049438  353.64431763 -225.29202271
  117.25759888    0.         -410.68844604  -53.29473877 -480.57928467
  -80.85590363 -423.15795898  -64.61761951  136.23432922  897.41815186
 -116.29459381    0.          804.74591064 -355.00924683   73.79645538
    0.          -72.46551514    1.44494069  166.40602112  113.24002075]"
6,2019-01-11,"0    -1.000000
1    -0.902160
2     1.000000
3    -1.000000
4     1.000000
5    -0.407617
6     0.245750
7     1.000000
8     0.079520
9     0.644148
10   -0.576030
11   -1.000000
12   -1.000000
13    0.169628
14    1.000000
15   -0.764380
16    0.217375
17   -1.000000
18    0.581161
19    0.596956
20   -0.116452
21   -0.405685
22   -0.423293
23    1.000000
24   -0.633048
25    1.000000
26   -0.094239
27   -0.068490
28    0.244795
29    1.000000
30    0.384111
31   -1.000000
32    0.770965
33    0.431864
34    0.752655
35   -0.386856
36    0.698608
37    0.295398
38   -1.000000
39    1.000000
40    0.636605
41    1.000000
42   -1.000000
43    0.388901
44   -0.354789
45   -0.120061
46    1.000000
47   -0.404097
48   -0.695011
49   -0.505935
dtype: float32","[-5.45815796e+02 -9.21995316e+01  9.77326050e+02 -5.58869873e+02
  3.07047974e+02 -2.63335693e+02  5.03182259e+01  4.58022247e+02
  7.72898636e+01  1.43407959e+02 -1.31095963e+02 -1.28648132e+02
 -1.76043320e+02  1.40718138e+00  3.22916046e+02 -1.18560692e+02
  4.00947952e+01 -3.47811584e+02  2.17322937e+02  2.61988220e+02
 -2.83052197e+01  0.00000000e+00 -9.63830872e+01  0.00000000e+00
 -1.89522842e+02  4.70703430e+02 -2.89125881e+01 -2.91777515e+01
  8.67396927e+01  4.86622742e+02  1.20030167e+02  0.00000000e+00
  1.20916711e+03  3.95181007e+01  7.20423279e+02  0.00000000e+00
  7.35253357e+02  5.64306564e+01 -2.52483170e+02  9.40026306e+02
  1.86902649e+02  0.00000000e+00 -1.43599756e+03  2.81967621e+02
 -2.98177776e+01  0.00000000e+00  1.36715500e+02 -1.44494069e+00
 -1.17909554e+02 -5.82295151e+01]"
7,2019-01-14,"0     0.608875
1    -0.824943
2     0.551486
3     1.000000
4    -1.000000
5    -0.330344
6    -0.175622
7    -0.363772
8    -0.752990
9    -1.000000
10    0.486194
11    1.000000
12    0.107781
13    0.837143
14   -0.638234
15    0.611763
16   -0.824653
17    0.794360
18   -1.000000
19   -0.824601
20   -0.883611
21   -0.299538
22    0.067848
23    1.000000
24   -0.134952
25    0.719767
26   -0.154221
27   -0.833500
28    0.553009
29    0.274810
30    0.597872
31   -0.371761
32   -1.000000
33   -1.000000
34    0.640975
35   -0.316923
36    1.000000
37   -0.714240
38   -0.056858
39    0.779259
40   -0.729267
41   -0.642167
42    1.000000
43    1.000000
44    0.190554
45   -1.000000
46    0.032161
47   -0.371102
48    0.250648
49   -0.889144
dtype: float32","[  329.35668945   -85.51002502   536.1730957   1068.78710938
  -303.97167969  -209.50543213   -35.13039017  -166.75450134
  -716.84667969  -143.40795898   111.84886932   129.3838501
    18.88208008     6.75779486  -206.29867554    93.10955048
   -40.09479523   282.12628174  -371.0244751   -362.51947021
  -207.76542854     0.            15.17929554     0.
   -42.19662094   340.68896484   -47.18740463  -351.0005188
   195.06071472   133.23216248   186.26681519     0.
 -1559.47851562   -39.51810074   601.21081543     0.
  1048.43786621   -56.43065643   -14.25045776   731.2456665
  -211.21513367     0.          1424.86682129   722.08422852
    15.8617897      0.             4.39454269     0.
    42.11008072  -102.15019226]"
8,2019-01-15,"0    -0.103390
1     0.095147
2    -0.890488
3    -0.307176
4    -0.523939
5    -0.653076
6    -1.000000
7     0.183894
8    -1.000000
9     0.613580
10   -0.268773
11   -1.000000
12    0.534056
13    0.184761
14    0.417287
15    0.481214
16    0.236956
17    1.000000
18   -0.958468
19   -0.231783
20    1.000000
21   -1.000000
22    0.694993
23   -0.329613
24   -0.445747
25    0.781031
26    0.113616
27    1.000000
28   -1.000000
29    0.156590
30   -0.289162
31    1.000000
32    0.929125
33   -1.000000
34   -1.000000
35   -1.000000
36    0.687813
37   -1.000000
38   -0.082393
39    0.892595
40    0.990259
41    0.229956
42   -0.418649
43    0.589338
44    1.000000
45    1.000000
46    1.000000
47   -1.000000
48    1.000000
49    0.597786
dtype: float32","[ -55.8710289    10.11387062 -871.81420898 -332.03170776   -3.07629395
 -404.7925415   -15.18783569   85.8739624  -798.88333893  136.43771362
  -64.02710724 -133.24201965   92.89961243    1.51840866  135.41508484
   73.96670532   43.20572281  353.40435791 -358.67306519 -104.50469971
  251.74586487    0.          157.63420105    0.         -137.31939697
  363.92721558   34.55800247  423.55291748 -356.66390991   76.77181244
  -91.07175446    0.         1461.3939209     0.         -951.85516357
    0.          726.67608643    0.          -20.93697739  843.51861572
  285.04214478    0.         -598.07012939  429.62817383   86.19486237
   68.00685883  138.22502136    0.          178.26646423   71.9068222 ]"
9,2019-01-16,"0    -0.910252
1    -0.436297
2     0.679216
3     0.962163
4     0.063449
5     1.000000
6     1.000000
7    -0.306837
8     1.000000
9     0.304276
10   -0.507786
11    0.764218
12   -0.791405
13   -0.018610
14   -0.924510
15    1.000000
16    1.000000
17   -0.742140
18    0.677602
19    0.485333
20   -0.112980
21    0.092323
22    1.000000
23    0.213931
24   -0.721973
25   -1.000000
26   -1.000000
27   -0.461578
28   -0.126285
29   -0.287861
30    0.465363
31   -0.329355
32   -0.109630
33   -0.622318
34   -1.000000
35    0.322216
36   -1.000000
37    0.102047
38   -0.408133
39   -0.696163
40    0.356293
41    0.496834
42    1.000000
43    0.173005
44   -0.028632
45   -0.408177
46    0.928442
47   -0.462126
48   -1.000000
49   -0.324649
dtype: float32","[-4.89461517e+02 -4.59071350e+01  6.58078064e+02  1.03220862e+03
  1.85961971e+01  6.16150513e+02  1.97495758e+02 -1.44388596e+02
  9.43200439e+02  6.69332352e+01 -1.15719437e+02  9.80191345e+01
 -1.11781693e+02 -1.44744232e-01 -2.99323944e+02  1.47280609e+02
  1.78310333e+02 -2.56460327e+02  2.41288773e+02  2.13918228e+02
 -2.86147423e+01  4.83201866e+01  2.18250076e+02  0.00000000e+00
 -1.32775208e+02 -4.23631866e+02 -1.17715044e+02 -1.92637268e+02
 -4.44576378e+01 -1.38531891e+02  1.44378311e+02  0.00000000e+00
 -1.70965942e+02  0.00000000e+00 -9.27798706e+02  4.21097336e+01
 -1.05044226e+03  1.91857357e+01 -1.02191071e+02 -6.47569336e+02
  9.94427643e+01  0.00000000e+00  1.41390723e+03  1.25606171e+02
 -2.37941003e+00 -2.76208248e+01  1.26844658e+02  0.00000000e+00
 -1.71976151e+02 -3.79989052e+01]"
