,date,actions,transactions
0,2019-01-03,"0     0.020187
1     0.902159
2     0.704761
3     0.995409
4     0.815934
5     0.132991
6     0.488651
7     0.212234
8     0.210981
9     0.690477
10    0.654395
11    0.533188
12    0.044205
13    0.442488
14    0.377268
15    0.656559
16    0.942474
17    0.374245
18    0.175099
19    0.767476
20    0.098572
21    0.690158
22    0.237115
23    0.985385
24    0.713804
25    0.990483
26    0.323148
27    0.996542
28    0.131720
29    0.934431
30    0.279209
31    0.108618
32    0.688741
33    0.676032
34    0.196146
35    0.892819
36    0.036426
37    0.272266
38    0.662440
39    0.811946
40    0.018484
41    0.100018
42    0.529470
43    0.877074
44    0.013547
45    0.274251
46    0.152272
47    0.454910
48    0.757153
49    0.119742
dtype: float32","[  11.31379795   91.13804626  699.75079346 1136.07800293    0.
   85.81085205  105.26559448   99.61614227  208.23640442  151.28565979
  154.80493164   72.86689758    8.41674232    3.79201245  121.74564362
  110.74468994  176.91593933  147.1239624    67.558815    352.56103516
   23.57005882  406.57321167   55.47977066    0.          257.49768066
  573.48834229  102.99198151  440.28173828   48.54143906  455.98883057
   94.1611557     0.         1077.1340332    64.46182251  190.94432068
  113.12934113   38.48429871   53.11277008  170.18977356  774.15222168
    5.86519575    0.          799.90014648  652.77923584    1.14427578
   18.92710304   20.9337101    41.34528351  131.06510925   14.08557892]"
1,2019-01-04,"0     0.051916
1     0.923288
2     0.673438
3     0.965790
4     0.359762
5     0.008792
6     0.575536
7     0.235731
8     0.078230
9     0.388633
10    0.618861
11    0.339127
12    0.137113
13    0.268757
14    0.464906
15    0.739318
16    0.985414
17    0.443785
18    0.028915
19    0.917814
20    0.696001
21    0.933765
22    0.314706
23    0.779879
24    0.205340
25    0.948974
26    0.014409
27    0.944020
28    0.236943
29    0.992634
30    0.631384
31    0.254529
32    0.201408
33    0.754146
34    0.425148
35    0.992577
36    0.065835
37    0.226253
38    0.097327
39    0.972137
40    0.232515
41    0.221287
42    0.627988
43    0.989319
44    0.015455
45    0.786145
46    0.203567
47    0.302988
48    0.834538
49    0.262867
dtype: float32","[  28.76980972   94.54856873  666.29571533 1095.72070312    0.
    5.75867033  122.43780518  108.87779999   77.51040649   86.73136139
  150.30445862   48.07022858   26.95023918    2.33824086  147.17988586
  123.33728027  188.84242249  170.01679993   11.22278786  428.16497803
  181.32591248  539.0067749    74.22880554    0.           73.60820007
  523.79754639    4.61316299  419.97488403   86.67159271  482.14187622
  207.53921509    0.          313.212677     71.26444244  405.42840576
  124.01819611   69.55439758   43.29925919   24.74408531  926.88635254
   72.26358795    0.          923.43029785  731.21502686    1.37004364
   54.65188217   28.11056709   28.52889824  147.15002441   31.2352562 ]"
2,2019-01-07,"0     0.118627
1     0.936534
2     0.686922
3     0.921855
4     0.245076
5     0.012128
6     0.319809
7     0.253734
8     0.025310
9     0.460913
10    0.868755
11    0.462151
12    0.208380
13    0.024139
14    0.451152
15    0.864004
16    0.866492
17    0.395035
18    0.025623
19    0.939132
20    0.201175
21    0.406924
22    0.132378
23    0.926864
24    0.708991
25    0.981037
26    0.149905
27    0.869370
28    0.283076
29    0.982982
30    0.720707
31    0.250665
32    0.108190
33    0.599090
34    0.158400
35    0.905473
36    0.330503
37    0.174710
38    0.203820
39    0.542937
40    0.243983
41    0.131588
42    0.277487
43    0.923263
44    0.006455
45    0.706383
46    0.143839
47    0.032465
48    0.679928
49    0.409381
dtype: float32","[6.47484360e+01 9.56740570e+01 6.66694580e+02 1.03356213e+03
 0.00000000e+00 7.80568314e+00 6.63547287e+01 1.14030571e+02
 2.48367519e+01 1.02987091e+02 2.03437485e+02 6.15550957e+01
 3.96625137e+01 2.05826864e-01 1.43055695e+02 1.38084198e+02
 1.65058762e+02 1.44062805e+02 9.84246731e+00 4.29871521e+02
 4.89222870e+01 2.19429886e+02 3.09185429e+01 0.00000000e+00
 2.47635666e+02 4.92315643e+02 4.69836731e+01 3.82446655e+02
 1.01162048e+02 4.63662109e+02 2.23198120e+02 0.00000000e+00
 1.65899887e+02 5.57018356e+01 1.44101913e+02 1.08498108e+02
 3.44539917e+02 3.22237778e+01 5.09841194e+01 5.05924042e+02
 7.09838638e+01 0.00000000e+00 3.98471344e+02 6.74909668e+02
 5.70961177e-01 4.90526505e+01 1.95973358e+01 3.03446841e+00
 1.16372940e+02 4.74194183e+01]"
3,2019-01-08,"0     0.053012
1     0.989244
2     0.234486
3     0.981803
4     0.697703
5     0.031763
6     0.396302
7     0.010726
8     0.116340
9     0.608285
10    0.967960
11    0.927342
12    0.001239
13    0.537354
14    0.549024
15    0.837179
16    0.652698
17    0.340714
18    0.001120
19    0.950871
20    0.062164
21    0.483508
22    0.336880
23    0.858043
24    0.842164
25    0.983774
26    0.410128
27    0.858557
28    0.107526
29    0.908812
30    0.463703
31    0.061062
32    0.432194
33    0.918917
34    0.038788
35    0.945077
36    0.056181
37    0.138520
38    0.454950
39    0.414545
40    0.020637
41    0.392771
42    0.344971
43    0.574739
44    0.091811
45    0.214893
46    0.135381
47    0.101062
48    0.906321
49    0.310442
dtype: float32","[2.88769932e+01 1.01140007e+02 2.28370346e+02 1.08376367e+03
 0.00000000e+00 2.02681313e+01 8.21937408e+01 4.84799385e+00
 1.12647896e+02 1.36744934e+02 2.26876724e+02 1.25313721e+02
 2.33359516e-01 4.55548239e+00 1.74878632e+02 1.29077103e+02
 1.21676277e+02 1.20459900e+02 4.35643792e-01 4.26089783e+02
 1.48147345e+01 2.59911194e+02 7.78186417e+01 0.00000000e+00
 2.86329620e+02 4.89824738e+02 1.28686203e+02 3.74794678e+02
 3.85023460e+01 4.25222900e+02 1.43349274e+02 0.00000000e+00
 6.66451416e+02 8.58786316e+01 3.58576088e+01 1.21406189e+02
 5.89019394e+01 2.61073437e+01 1.15264687e+02 3.85608917e+02
 6.00760889e+00 0.00000000e+00 4.95377075e+02 4.18412018e+02
 7.98170471e+00 1.46299849e+01 1.85419979e+01 9.32220268e+00
 1.48392273e+02 3.47184868e+01]"
4,2019-01-09,"0     0.159742
1     0.963605
2     0.882612
3     0.958129
4     0.956985
5     0.097485
6     0.400929
7     0.143651
8     0.032102
9     0.657289
10    0.567574
11    0.777078
12    0.068830
13    0.051198
14    0.569435
15    0.808765
16    0.934100
17    0.249293
18    0.134070
19    0.843255
20    0.293972
21    0.914319
22    0.075878
23    0.978749
24    0.554712
25    0.980277
26    0.154779
27    0.828681
28    0.245224
29    0.944607
30    0.377084
31    0.271020
32    0.639398
33    0.978264
34    0.178116
35    0.877612
36    0.209327
37    0.741994
38    0.790875
39    0.846289
40    0.031845
41    0.085851
42    0.558534
43    0.879688
44    0.054565
45    0.783294
46    0.345387
47    0.542935
48    0.765594
49    0.132871
dtype: float32","[8.71896515e+01 9.84001694e+01 8.61101685e+02 1.04553589e+03
 0.00000000e+00 6.25118713e+01 8.41425400e+01 6.58504639e+01
 3.12015553e+01 1.49585220e+02 1.31400513e+02 1.04210655e+02
 1.29462662e+01 4.34536517e-01 1.92005707e+02 1.25285347e+02
 1.73955612e+02 8.88340454e+01 5.27816734e+01 3.79195374e+02
 7.16282120e+01 4.94071564e+02 1.76595325e+01 0.00000000e+00
 1.87883942e+02 4.67916901e+02 4.75893326e+01 3.62062378e+02
 8.74626999e+01 4.41971130e+02 1.16641113e+02 0.00000000e+00
 9.97126648e+02 9.22441101e+01 1.67983398e+02 1.16121826e+02
 2.21153824e+02 1.42049820e+02 2.02780106e+02 7.89978882e+02
 9.23366451e+00 0.00000000e+00 8.06244568e+02 6.39540588e+02
 4.62432384e+00 5.28624115e+01 4.77478447e+01 5.08482018e+01
 1.28194214e+02 1.52725115e+01]"
5,2019-01-10,"0     0.026656
1     0.832981
2     0.869377
3     0.963672
4     0.443015
5     0.064265
6     0.366010
7     0.247474
8     0.036830
9     0.496159
10    0.871024
11    0.803023
12    0.032761
13    0.187545
14    0.441880
15    0.718044
16    0.706829
17    0.572746
18    0.186061
19    0.477719
20    0.455954
21    0.763157
22    0.314563
23    0.972390
24    0.338524
25    0.959736
26    0.104616
27    0.684572
28    0.425671
29    0.834088
30    0.743207
31    0.101391
32    0.756125
33    0.821195
34    0.018150
35    0.967802
36    0.213866
37    0.609738
38    0.882154
39    0.549216
40    0.126896
41    0.066507
42    0.431313
43    0.939172
44    0.004606
45    0.043647
46    0.177132
47    0.069566
48    0.779461
49    0.204574
dtype: float32","[1.45054188e+01 8.36347885e+01 8.46702148e+02 1.02995996e+03
 0.00000000e+00 4.11593132e+01 7.53791733e+01 1.12041832e+02
 3.55262794e+01 1.08882652e+02 1.99299728e+02 1.04684059e+02
 5.76729918e+00 1.56250286e+00 1.47480072e+02 1.12169861e+02
 1.31000061e+02 2.03670395e+02 6.93782654e+01 2.07873993e+02
 1.07637245e+02 4.06847748e+02 7.25679016e+01 0.00000000e+00
 1.11466507e+02 4.37568329e+02 3.20789070e+01 2.89474487e+02
 1.50536087e+02 3.96652344e+02 2.29618759e+02 0.00000000e+00
 1.17254065e+03 7.58699646e+01 1.70553150e+01 1.27246529e+02
 2.23372330e+02 1.14475601e+02 2.22401093e+02 5.13564026e+02
 3.63840523e+01 0.00000000e+00 6.14564026e+02 6.82785828e+02
 3.82051468e-01 2.94799733e+00 2.42805176e+01 6.28805351e+00
 1.30125793e+02 2.31660080e+01]"
6,2019-01-11,"0     0.059271
1     0.926183
2     0.772256
3     0.958817
4     0.667644
5     0.074081
6     0.200715
7     0.175141
8     0.016508
9     0.267591
10    0.479708
11    0.200891
12    0.314723
13    0.478233
14    0.424739
15    0.829306
16    0.873775
17    0.334183
18    0.131819
19    0.669892
20    0.409519
21    0.944805
22    0.148855
23    0.931848
24    0.881825
25    0.747096
26    0.049949
27    0.986313
28    0.272815
29    0.895752
30    0.753061
31    0.020526
32    0.198629
33    0.835401
34    0.013668
35    0.959700
36    0.072393
37    0.048334
38    0.899253
39    0.775299
40    0.034365
41    0.125045
42    0.338556
43    0.951283
44    0.029190
45    0.508926
46    0.042816
47    0.222454
48    0.548293
49    0.256734
dtype: float32","[  32.35103226   94.65467072  754.74639893 1034.43395996  204.99887085
   47.85907364   41.09710312   80.21847534   16.04540634   59.57420349
  109.17430115   25.84429741   55.78567505    3.96726179  137.15490723
  128.63114929  161.16783142  116.23258972   49.29306412  293.99786377
   99.53945923  513.22991943   33.89395142    0.          264.00198364
  351.66046143   15.32453251  420.1867981    96.66811371  435.89349365
  235.32289124    0.          311.52658081   76.44409943   13.08248138
  127.56744385   76.19016266    9.23330402  227.04618835  728.80151367
   10.08923817    0.          486.16625977  689.71514893    2.45325255
   34.43836594    5.85362959   20.45198441   93.0187149    29.5481987 ]"
7,2019-01-14,"0     0.065984
1     0.927532
2     0.629656
3     0.870943
4     0.785247
5     0.051188
6     0.439451
7     0.031152
8     0.080404
9     0.540530
10    0.037738
11    0.845593
12    0.087644
13    0.239310
14    0.282558
15    0.882518
16    0.886474
17    0.818119
18    0.256073
19    0.775406
20    0.530446
21    0.703797
22    0.031038
23    0.990596
24    0.328820
25    0.973321
26    0.557774
27    0.884641
28    0.198626
29    0.898098
30    0.506317
31    0.111708
32    0.444418
33    0.915351
34    0.437955
35    0.963658
36    0.005866
37    0.685420
38    0.288994
39    0.922085
40    0.114524
41    0.323733
42    0.770063
43    0.941098
44    0.099934
45    0.209756
46    0.134619
47    0.010119
48    0.682814
49    0.026600
dtype: float32","[3.56923637e+01 9.61440125e+01 6.12172119e+02 9.30852722e+02
 2.38692871e+02 3.24633865e+01 8.79048691e+01 1.42801638e+01
 7.65449142e+01 1.18761162e+02 8.68161774e+00 1.09406036e+02
 1.53542814e+01 1.93181860e+00 9.13320847e+01 1.34318008e+02
 1.61636719e+02 2.90564301e+02 9.50092621e+01 3.40891846e+02
 1.29688370e+02 3.79913147e+02 6.94412661e+00 0.00000000e+00
 1.02814690e+02 4.60704559e+02 1.70663818e+02 3.72536865e+02
 7.00606995e+01 4.35411926e+02 1.57742920e+02 0.00000000e+00
 6.93060364e+02 8.29379272e+01 4.10785614e+02 1.26990578e+02
 6.15040588e+00 1.31407654e+02 7.24309845e+01 8.65271729e+02
 3.31693459e+01 0.00000000e+00 1.09723669e+03 6.79552307e+02
 8.31851006e+00 1.41939468e+01 1.83943119e+01 9.18768644e-01
 1.14715919e+02 3.05597138e+00]"
8,2019-01-15,"0     0.186195
1     0.924815
2     0.515993
3     0.957372
4     0.687972
5     0.009293
6     0.134719
7     0.110229
8     0.039554
9     0.504271
10    0.060907
11    0.795714
12    0.120118
13    0.140344
14    0.595206
15    0.666332
16    0.988348
17    0.609055
18    0.382494
19    0.661592
20    0.432914
21    0.719949
22    0.092266
23    0.877737
24    0.162721
25    0.826547
26    0.208644
27    0.885354
28    0.267541
29    0.784876
30    0.559126
31    0.061368
32    0.656531
33    0.662357
34    0.132377
35    0.998697
36    0.047131
37    0.314208
38    0.456923
39    0.527782
40    0.081171
41    0.045494
42    0.540996
43    0.812769
44    0.184752
45    0.003980
46    0.131161
47    0.331133
48    0.829368
49    0.238908
dtype: float32","[1.00617783e+02 9.83048553e+01 5.05172455e+02 1.03484009e+03
 2.08754639e+02 5.76008081e+00 2.71018848e+01 5.14743500e+01
 3.77253914e+01 1.12131523e+02 1.45093584e+01 1.06022499e+02
 2.08946819e+01 1.15337873e+00 1.93152130e+02 1.02420898e+02
 1.80212128e+02 2.15242706e+02 1.43135101e+02 2.98293793e+02
 1.08984421e+02 3.87415344e+02 2.09271164e+01 0.00000000e+00
 5.01286163e+01 3.85135590e+02 6.34623337e+01 3.74994415e+02
 9.54220428e+01 3.84803680e+02 1.76097046e+02 0.00000000e+00
 1.03263855e+03 6.10127487e+01 1.26004044e+02 1.32581924e+02
 4.97937775e+01 6.14515190e+01 1.16109497e+02 4.98764313e+02
 2.33646927e+01 0.00000000e+00 7.72851990e+02 5.92509521e+02
 1.59247036e+01 2.70662218e-01 1.81297016e+01 3.02799129e+01
 1.47848434e+02 2.87379208e+01]"
9,2019-01-16,"0     0.182453
1     0.997585
2     0.955698
3     0.865581
4     0.473534
5     0.027503
6     0.305480
7     0.012112
8     0.100547
9     0.392786
10    0.550384
11    0.863562
12    0.192841
13    0.048315
14    0.580219
15    0.464412
16    0.990001
17    0.344402
18    0.162591
19    0.534422
20    0.277466
21    0.837684
22    0.040495
23    0.923667
24    0.645793
25    0.905954
26    0.342145
27    0.983056
28    0.242262
29    0.930278
30    0.445712
31    0.098824
32    0.934874
33    0.792437
34    0.081629
35    0.873076
36    0.118301
37    0.119705
38    0.299308
39    0.845481
40    0.019109
41    0.036436
42    0.531370
43    0.967079
44    0.009966
45    0.172942
46    0.441270
47    0.229660
48    0.824381
49    0.041246
dtype: float32","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
