trade_date,ts_code,date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2019/1/3,000016.SH,20190103,2269.243,2259.4825,2287.7778,2253.9433,2262.7908,6.4522,0.2851,18895240,24534925.49
2019/1/4,000016.SH,20190104,2314.6466,2252.7449,2316.3528,2249.3658,2269.243,45.4036,2.0008,25900596,34317942.56
2019/1/7,000016.SH,20190107,2314.3193,2329.0316,2331.6031,2306.8979,2314.6466,-0.3273,-0.0141,25278948,31955994.37
2019/1/8,000016.SH,20190108,2305.1708,2312.1705,2312.1705,2298.9548,2314.3193,-9.1485,-0.3953,18131160,22329122.13
2019/1/9,000016.SH,20190109,2332.7192,2320.9119,2360.3601,2318.4352,2305.1708,27.5484,1.1951,28747596,37485405.83
2019/1/10,000016.SH,20190110,2331.8507,2333.2162,2345.3313,2321.3049,2332.7192,-0.8685,-0.0372,22280507,28880603.07
2019/1/11,000016.SH,20190111,2354.4987,2342.0236,2360.0609,2334.9145,2331.8507,22.648,0.9712,18417693,24514111.75
2019/1/14,000016.SH,20190114,2331.1358,2350.256,2354.3082,2330.0042,2354.4987,-23.3629,-0.9923,16462252,20643865.54
2019/1/15,000016.SH,20190115,2378.3696,2337.7021,2380.5995,2332.4095,2331.1358,47.2338,2.0262,22466336,32220714.37
2019/1/16,000016.SH,20190116,2381.2178,2375.1705,2385.216,2366.3446,2378.3696,2.8482,0.1198,18097039,25235752.77
2019/1/17,000016.SH,20190117,2371.3481,2388.5925,2396.7993,2370.5809,2381.2178,-9.8697,-0.4145,21555000,26964929.42
2019/1/18,000016.SH,20190118,2417.363,2385.6219,2422.029,2380.5624,2371.3481,46.0149,1.9405,30088200,37495330.1
2019/1/21,000016.SH,20190121,2432.487,2418.0047,2443.2254,2418.0047,2417.363,15.124,0.6256,26237236,33912529.4
2019/1/22,000016.SH,20190122,2401.233,2430.4346,2430.4346,2394.1847,2432.487,-31.254,-1.2849,19373137,25702750.01
2019/1/23,000016.SH,20190123,2397.0493,2397.4091,2414.024,2392.6418,2401.233,-4.1837,-0.1742,16290135,20185057.24
