,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,917263.9250727479,82032.08026043767,999296.0053331855,-0.0007039946668144781,2019-01-04
2,847755.0714824222,154032.55140222225,1001787.6228846444,0.001787622884644513,2019-01-07
3,792388.1021731838,209970.31955284005,1002358.4217260239,0.0023584217260239626,2019-01-08
4,755075.1100895288,245375.6487598398,1000450.7588493687,0.00045075884936873756,2019-01-09
5,730378.1522546706,273479.4824527129,1003857.6347073836,0.0038576347073835393,2019-01-10
6,649560.4926625986,352541.6536973316,1002102.1463599303,0.0021021463599302237,2019-01-11
7,604510.5931242474,398661.76327008894,1003172.3563943363,0.0031723563943362176,2019-01-14
8,615186.8678823672,383623.06889596087,998809.9367783281,-0.001190063221671811,2019-01-15
9,605124.3812094403,401576.27563575684,1006700.6568451971,0.0067006568451970505,2019-01-16
10,556117.3657900599,449695.2143989419,1005812.5801890017,0.005812580189001659,2019-01-17
11,533193.33340436,469570.1753588659,1002763.5087632259,0.0027635087632258415,2019-01-18
12,517395.05564990133,492473.71814011317,1009868.7737900144,0.009868773790014496,2019-01-21
13,519806.26980732067,495011.9568487407,1014818.2266560614,0.014818226656061473,2019-01-22
14,511871.65205545677,495933.1141670566,1007804.7662225134,0.00780476622251336,2019-01-23
15,492535.7587420108,512934.7633052562,1005470.5220472671,0.005470522047267057,2019-01-24
16,487555.07011124986,520491.2845584163,1008046.3546696662,0.008046354669666078,2019-01-25
17,470961.2001160771,542433.2086655007,1013394.4087815778,0.013394408781577827,2019-01-28
18,439500.4139604173,574613.5763909181,1014113.9903513354,0.014113990351335426,2019-01-29
19,475920.79521164316,539320.1017193964,1015240.8969310396,0.015240896931039583,2019-01-30
20,489923.35570326145,520986.9654545211,1010910.3211577826,0.010910321157782565,2019-01-31
21,510869.7292912367,505839.9802472003,1016709.709538437,0.01670970953843698,2019-02-01
22,485967.7433792924,538161.6491055565,1024129.392484849,0.02412939248484891,2019-02-11
23,482733.686158983,550715.589172761,1033449.275331744,0.03344927533174391,2019-02-12
24,466358.92513094365,571884.6865677082,1038243.6116986518,0.03824361169865176,2019-02-13
25,427357.35993548343,624667.6468470554,1052025.0067825387,0.05202500678253874,2019-02-14
26,413541.2330416297,638625.1578238992,1052166.390865529,0.05216639086552899,2019-02-15
27,364333.4264661143,672847.714632704,1037181.1410988183,0.037181141098818316,2019-02-18
28,329382.22389518586,731180.9819905539,1060563.2058857398,0.06056320588573971,2019-02-19
29,322507.2742892443,739943.4030027725,1062450.6772920168,0.06245067729201681,2019-02-20
30,333614.5198800067,730638.8163248468,1064253.3362048534,0.0642533362048534,2019-02-21
31,322477.45179887535,741751.0505408978,1064228.502339773,0.06422850233977306,2019-02-22
32,306461.11583165784,781393.2141995316,1087854.3300311894,0.08785433003118936,2019-02-25
33,309932.5489542596,827074.0619827043,1137006.610936964,0.13700661093696387,2019-02-26
34,320743.7833164599,809405.4340732951,1130149.217389755,0.13014921738975493,2019-02-27
35,352606.72785290424,771150.192769659,1123756.9206225632,0.12375692062256327,2019-02-28
36,332539.96548166435,786074.8416810541,1118614.8071627184,0.11861480716271844,2019-03-01
37,277922.8800222604,861128.7258292149,1139051.6058514754,0.13905160585147547,2019-03-04
38,235359.30197203005,915613.0751639762,1150972.3771360063,0.1509723771360063,2019-03-05
39,202728.10323941402,965815.5143329026,1168543.6175723167,0.16854361757231673,2019-03-06
40,189344.11477346494,989265.0125466716,1178609.1273201364,0.17860912732013645,2019-03-07
41,170061.6276878986,1007347.4666068794,1177409.094294778,0.17740909429477814,2019-03-08
42,172435.93626666718,975174.3280584494,1147610.2643251165,0.14761026432511648,2019-03-11
43,154328.35521101436,1004991.9906883179,1159320.3458993323,0.15932034589933242,2019-03-12
44,129453.95886041467,1046513.4685387642,1175967.4273991787,0.1759674273991787,2019-03-13
45,115398.53222834447,1033792.547856247,1149191.0800845916,0.1491910800845917,2019-03-14
46,139058.84536281967,995863.5382891353,1134922.383651955,0.13492238365195508,2019-03-15
47,107667.42484279725,1038150.6217910459,1145818.046633843,0.145818046633843,2019-03-18
48,85096.97038444097,1094993.231627722,1180090.2020121631,0.18009020201216308,2019-03-19
49,59469.09467268516,1116324.6898197036,1175793.7844923888,0.17579378449238892,2019-03-20
50,54606.32382058447,1112965.224285153,1167571.5481057374,0.16757154810573738,2019-03-21
51,49241.660314158886,1128148.093042547,1177389.753356706,0.17738975335670593,2019-03-22
52,27112.764674534512,1148750.1616067616,1175862.9262812962,0.17586292628129607,2019-03-25
53,17378.143870985223,1133700.647008459,1151078.7908794442,0.1510787908794442,2019-03-26
54,28344.88308825509,1111284.9470196415,1139629.8301078966,0.13962983010789665,2019-03-27
55,8299.305555182757,1140329.8369968275,1148629.1425520102,0.14862914255201032,2019-03-28
56,20136.966459815816,1113649.7576541284,1133786.7241139442,0.13378672411394432,2019-03-29
57,8935.579519512292,1166074.5668731718,1175010.1463926842,0.1750101463926843,2019-04-01
58,1747.3046254037074,1211402.7340147726,1213150.0386401762,0.21315003864017612,2019-04-02
59,51231.75265640049,1164896.3097346337,1216128.062391034,0.216128062391034,2019-04-03
60,71096.78841605953,1158201.599061741,1229298.3874778005,0.2292983874778005,2019-04-04
61,60471.58846280749,1176867.5651121214,1237339.1535749289,0.23733915357492896,2019-04-08
62,63582.589359319645,1159850.5215010485,1223433.110860368,0.223433110860368,2019-04-09
63,13459.058207935519,1206939.4110273798,1220398.4692353152,0.22039846923531514,2019-04-10
64,6122.801392705865,1211922.5215245988,1218045.3229173047,0.21804532291730472,2019-04-11
65,28640.867923692585,1158652.8916414785,1187293.759565171,0.18729375956517114,2019-04-12
66,22946.693990187214,1159857.7962529394,1182804.4902431266,0.18280449024312673,2019-04-15
67,5652.306092086713,1174812.502904547,1180464.8089966336,0.18046480899663364,2019-04-16
68,47240.64363153348,1173439.7434441114,1220680.387075645,0.22068038707564486,2019-04-17
69,84017.71149879806,1137628.7623359007,1221646.4738346988,0.22164647383469882,2019-04-18
70,74124.27361488066,1144736.307236256,1218860.5808511367,0.2188605808511368,2019-04-19
71,44528.33666332569,1179563.2304861443,1224091.56714947,0.2240915671494701,2019-04-22
72,38706.97042023713,1165406.5069297787,1204113.477350016,0.20411347735001595,2019-04-23
73,50728.287155367805,1159228.7750268877,1209957.0621822556,0.20995706218225552,2019-04-24
74,33648.3398162794,1186064.3012998474,1219712.641116127,0.21971264111612698,2019-04-25
75,83054.56601133355,1115569.4547615522,1198624.0207728858,0.19862402077288577,2019-04-26
76,63571.35864119869,1127852.9741673903,1191424.3328085889,0.19142433280858895,2019-04-29
77,61881.774480781794,1119422.1107876578,1181303.8852684395,0.18130388526843944,2019-04-30
78,69079.08063123246,1110732.0004062997,1179811.081037532,0.17981108103753218,2019-05-06
79,32694.972031361613,971883.4601323507,1004578.4321637123,0.004578432163712343,2019-05-07
80,10419.938439592428,1115606.1210707005,1126026.059510293,0.1260260595102929,2019-05-08
81,24210.625311087293,1088638.8631034396,1112849.488414527,0.11284948841452702,2019-05-09
82,69702.68921971404,1027139.1580275147,1096841.8472472287,0.09684184724722877,2019-05-10
83,77584.16248354292,1067588.6069942133,1145172.7694777562,0.14517276947775626,2019-05-13
84,59783.76307547991,1060810.0909396883,1120593.8540151683,0.12059385401516831,2019-05-14
85,58391.3274648939,1055626.8352734786,1114018.1627383726,0.11401816273837251,2019-05-15
86,50625.82368982127,1078002.1308580032,1128627.9545478243,0.12862795454782439,2019-05-16
87,15479.67563686145,1113162.9707414361,1128642.6463782976,0.1286426463782977,2019-05-17
88,38097.23127890754,1061609.2731601815,1099706.504439089,0.09970650443908902,2019-05-20
89,28449.33736222818,1055856.307060161,1084305.644422389,0.08430564442238908,2019-05-21
90,25643.659591749783,1068706.545980665,1094350.2055724147,0.09435020557241458,2019-05-22
91,15301.423305889872,1081061.516276407,1096362.9395822969,0.09636293958229691,2019-05-23
92,13502.489048827729,1058660.6006885269,1072163.0897373545,0.07216308973735464,2019-05-24
93,15840.551163293258,1049936.1510087731,1065776.7021720663,0.06577670217206633,2019-05-27
94,76302.93710099401,1010843.4373027429,1087146.3744037368,0.08714637440373685,2019-05-28
95,81667.49979221889,1016015.845271799,1097683.345064018,0.09768334506401799,2019-05-29
96,67758.82373236779,1028569.7504468833,1096328.574179251,0.096328574179251,2019-05-30
97,37276.29789720613,1050327.0846551843,1087603.3825523905,0.08760338255239053,2019-05-31
98,76732.28397243324,1005727.645951716,1082459.9299241493,0.0824599299241493,2019-06-03
99,97611.37608861797,994158.5914542455,1091769.9675428635,0.09176996754286337,2019-06-04
100,114046.1949876023,965508.4909249172,1079554.6859125195,0.07955468591251935,2019-06-05
101,110348.38794138163,973148.4090931552,1083496.7970345367,0.08349679703453683,2019-06-06
102,71897.17433420474,999405.09755026,1071302.2718844647,0.0713022718844647,2019-06-10
103,34391.064277601174,1054646.5208111834,1089037.5850887846,0.08903758508878457,2019-06-11
104,24373.886892904542,1105127.5140758527,1129501.4009687572,0.12950140096875717,2019-06-12
105,63046.76239696013,1059540.8019970742,1122587.5643940342,0.12258756439403418,2019-06-13
106,56420.67337906941,1071937.7590589386,1128358.432438008,0.12835843243800804,2019-06-14
107,88770.94312935903,1028128.2456853142,1116899.188814673,0.1168991888146731,2019-06-17
108,138119.5803881015,984251.0086711814,1122370.5890592828,0.12237058905928277,2019-06-18
109,102961.55423445867,1023786.1736325957,1126747.7278670543,0.12674772786705435,2019-06-19
110,80665.29219781523,1072094.9152903762,1152760.2074881913,0.1527602074881913,2019-06-20
111,61982.978112223194,1133824.7890258303,1195807.7671380534,0.19580776713805337,2019-06-21
112,67937.51895338437,1141197.6905809708,1209135.2095343552,0.20913520953435527,2019-06-24
113,46454.668384175624,1161131.8802175708,1207586.5486017463,0.2075865486017463,2019-06-25
114,63002.56177111561,1142428.1121950175,1205430.673966133,0.20543067396613313,2019-06-26
115,61937.83799567299,1137665.6094147707,1199603.4474104438,0.19960344741044378,2019-06-27
116,34096.50039807265,1189686.6466318537,1223783.1470299263,0.2237831470299263,2019-06-28
117,83502.68971049144,1139813.0868668265,1223315.7765773179,0.22331577657731794,2019-07-01
