,date,actions,transactions
0,2019-01-03,"0     0.532710
1     1.000000
2    -0.665310
3     0.245141
4     1.000000
5     0.372420
6    -1.000000
7     1.000000
8    -0.889231
9    -0.412060
10   -0.179994
11    0.449748
12    1.000000
13    0.514341
14    1.000000
15    0.537198
16    0.022955
17    1.000000
18   -1.000000
19   -0.192557
20   -1.000000
21   -0.053742
22   -1.000000
23   -0.581035
24   -1.000000
25   -0.762739
26   -0.431697
27    0.582206
28   -0.514641
29    0.803405
30   -1.000000
31   -0.076649
32    1.000000
33   -1.000000
34   -0.068029
35   -0.739960
36   -0.500166
37   -0.923670
38   -0.627989
39   -0.118314
40   -0.734885
41   -0.114334
42    0.034880
43   -1.000000
44    1.000000
45   -0.709248
46    0.757775
47   -0.249140
48    0.662050
49    0.164773
dtype: float32","[ 298.55422974  101.0221405     0.          279.78424072    0.
  240.29902649    0.          469.36898804    0.            0.
    0.           61.46379089  190.40438843    4.40777779  322.70349121
   90.61151123    4.30904818  393.12194824    0.            0.
    0.            0.            0.            0.            0.
    0.            0.          257.22399902    0.          392.05032349
    0.            0.         1563.9173584     0.            0.
    0.            0.            0.            0.            0.
    0.            0.           52.69504166    0.           84.46516418
    0.          104.17555237    0.          114.60262299   19.38282204]"
1,2019-01-04,"0     0.554362
1    -0.790603
2    -0.720335
3     0.376688
4    -0.604795
5    -0.688368
6    -0.511956
7    -0.386835
8    -0.730918
9    -0.641600
10   -0.942192
11   -0.793578
12    1.000000
13   -0.993490
14   -0.606088
15    1.000000
16   -0.568613
17    1.000000
18   -1.000000
19    0.955712
20    1.000000
21    0.567622
22   -0.580772
23    1.000000
24   -0.293884
25    0.718548
26   -0.547225
27   -1.000000
28    0.048383
29    0.783497
30   -1.000000
31    0.434661
32   -0.307232
33   -0.450108
34    1.000000
35   -0.841959
36   -0.675907
37   -0.541920
38   -0.228595
39   -0.758888
40   -0.494534
41    0.634658
42   -0.521127
43   -0.071476
44    1.000000
45    0.492797
46    0.730047
47    1.000000
48   -0.086248
49    0.642942
dtype: float32","[ 307.20755005  -80.96110535    0.          427.36529541    0.
 -240.29902649    0.         -178.66864014    0.            0.
    0.          -61.46379089  196.55555725   -4.40777779 -191.87521362
  166.82571411   -4.30904818  383.10653687    0.          445.84423828
  260.52520752  327.65463257    0.            0.            0.
  396.61099243    0.         -257.22399902   17.69820595  380.55999756
    0.            0.         -477.78094482    0.          953.61608887
    0.            0.            0.            0.            0.
    0.            0.          -52.69504166    0.           88.64556885
   34.25862122  100.81215668   94.15859222  -15.20775032   76.39789581]"
2,2019-01-07,"0    -0.425885
1     0.840597
2     0.117275
3     0.256634
4    -1.000000
5     1.000000
6    -0.319875
7     0.907463
8     1.000000
9     0.280110
10    0.523522
11    0.652385
12   -0.653964
13   -0.999452
14    1.000000
15    0.658818
16    0.393127
17   -0.109892
18    1.000000
19   -0.166511
20   -0.219128
21    0.753773
22   -0.344557
23    1.000000
24    1.000000
25   -1.000000
26    1.000000
27   -1.000000
28    1.000000
29   -0.090031
30    1.000000
31    0.452543
32    0.603589
33    0.937961
34    0.750212
35    1.000000
36   -0.513962
37    1.000000
38   -0.407563
39    0.595914
40    0.430586
41   -0.256449
42    1.000000
43    0.608476
44   -0.800954
45   -0.907563
46    0.252375
47    0.004323
48    0.930048
49    1.000000
dtype: float32","[-2.32454834e+02  8.58732986e+01  1.13821899e+02  2.87732544e+02
  0.00000000e+00  6.43633179e+02  0.00000000e+00  4.07822998e+02
  9.81296509e+02  6.25883064e+01  1.22593834e+02  8.68929214e+01
 -1.24473991e+02  0.00000000e+00  3.17089874e+02  1.05291550e+02
  7.48869476e+01 -4.00759239e+01  3.84127838e+02 -7.62175217e+01
 -5.32879562e+01  4.06464783e+02  0.00000000e+00  0.00000000e+00
  3.49279083e+02 -3.96610992e+02  3.13422638e+02  0.00000000e+00
  3.57367493e+02 -4.24665565e+01  3.09693390e+02  0.00000000e+00
  9.25551147e+02  8.72092285e+01  6.82495117e+02  1.19824768e+02
  0.00000000e+00  1.84441269e+02  0.00000000e+00  5.55289429e+02
  1.25273827e+02  0.00000000e+00  1.43599756e+03  4.44799011e+02
 -7.08518295e+01 -3.42586212e+01  3.43847237e+01  4.04100835e-01
  1.59182297e+02  1.15831902e+02]"
3,2019-01-08,"0     1.000000
1    -1.000000
2    -0.554122
3     0.301945
4     0.743505
5     1.000000
6    -1.000000
7    -1.000000
8     0.093082
9     0.231007
10    0.134477
11   -1.000000
12   -0.218565
13   -1.000000
14   -1.000000
15   -0.171393
16    1.000000
17   -1.000000
18    0.320358
19   -0.509965
20   -0.961721
21    0.037500
22   -0.254260
23    0.060838
24    0.253063
25   -1.000000
26   -0.884405
27    0.148277
28    0.847759
29   -0.668144
30   -0.109868
31   -0.045939
32   -0.743324
33    0.611374
34   -1.000000
35   -0.841530
36    1.000000
37   -1.000000
38   -0.436853
39    0.582060
40   -1.000000
41   -0.353079
42   -0.367105
43   -0.854625
44    0.428141
45   -1.000000
46    0.327569
47    1.000000
48    0.547493
49    0.179402
dtype: float32","[  544.72161865  -102.23966217  -113.82189941   333.30187988
     0.           638.09692383     0.          -451.99783325
    90.12797546    51.9312973     31.51968193   -86.89292145
   -41.16702652     0.          -318.52612305   -26.42557526
   186.4203949   -353.55178833   124.61705017  -228.51768494
  -207.23725128    20.15814018     0.             0.
    86.03964996     0.          -277.50039673    64.72872925
   303.56045532  -312.61700439   -33.9646225      0.
 -1146.22021484    57.13683319  -924.45367432  -108.10435486
  1048.43786621  -184.44126892     0.           541.4309082
  -125.2738266      0.          -527.16204834  -444.79901123
    37.22117615     0.            44.86441803    92.24275208
    89.64122009    20.06354332]"
4,2019-01-09,"0    -1.000000
1    -1.000000
2     0.574540
3    -1.000000
4    -0.732064
5    -1.000000
6    -1.000000
7     0.704813
8    -0.310772
9    -1.000000
10    1.000000
11   -0.685290
12   -1.000000
13    1.000000
14   -0.312384
15   -1.000000
16   -0.535694
17   -0.081887
18    1.000000
19    0.155252
20    0.322813
21   -1.000000
22   -0.828793
23   -1.000000
24   -1.000000
25    1.000000
26   -1.000000
27    0.592143
28   -1.000000
29   -0.602307
30   -0.492616
31    0.863380
32   -0.494521
33   -0.303269
34   -0.636918
35    0.857239
36   -0.544415
37    0.817268
38   -0.291968
39   -0.572439
40    1.000000
41   -1.000000
42    0.576577
43   -1.000000
44   -1.000000
45   -1.000000
46   -0.027933
47    0.400417
48    1.000000
49   -0.829053
dtype: float32","[ -545.8157959     -3.69467163   560.53771973 -1091.2265625
     0.          -641.24761963     0.           323.08917236
  -302.05453491  -114.51960373   231.51255798     0.
  -188.08943176     8.48742867  -105.33163452  -154.9095459
   -99.76119232   -29.18004608   393.68838501    69.81387329
    78.65538025  -540.37115479     0.             0.
  -338.7052002    477.33151245   -35.92224121   258.7154541
  -356.66390991  -281.81292725  -152.37768555     0.
  -771.19488525   -28.59640884  -600.68469238   113.42619324
  -575.17541504   156.46046448     0.          -534.35040283
   289.95425415     0.           832.29034424     0.
   -84.74863434     0.            -3.86163163    37.50083923
   167.44416809   -95.29327393]"
5,2019-01-10,"0     0.181481
1    -1.000000
2     0.551519
3    -1.000000
4    -0.071316
5    -0.178275
6     0.605641
7    -0.683601
8    -0.191834
9    -0.619475
10    1.000000
11   -0.464798
12   -1.000000
13    1.000000
14   -0.896472
15    1.000000
16    0.442977
17    0.662519
18   -0.930618
19   -0.656432
20    0.030167
21   -0.871790
22    0.677227
23   -0.252927
24   -1.000000
25    1.000000
26    0.873454
27   -0.703285
28   -0.521134
29    0.753034
30   -1.000000
31    0.607580
32    0.814499
33    0.188893
34   -0.968120
35    1.000000
36    0.106147
37   -0.664211
38   -0.146946
39   -1.000000
40   -0.384193
41   -1.000000
42   -0.597247
43    0.583800
44    0.218315
45    1.000000
46   -0.655778
47    0.648593
48   -1.000000
49   -0.733393
dtype: float32","[  98.75759888    0.          537.13421631 -236.95739746    0.
 -114.17760468  124.73093414 -309.49530029 -185.04277039    0.
  228.81095886    0.          -33.229496      8.33135033  -24.06039429
  156.21582031   82.09909058  235.59408569 -347.00738525 -210.92290497
    7.12164402 -213.90640068  156.23243713    0.          -96.61353302
  455.92565918  267.83221436 -297.38699341 -184.29621887  358.10684204
 -123.35108185    0.         1263.06262207   17.45179939 -110.97283936
  131.47999573  110.86492157 -124.70259857    0.         -562.36993408
 -110.15723419    0.         -850.99731445  424.42724609   18.10693359
   67.54155731  -89.89125061   58.62638474 -166.9432373   -83.0493927 ]"
6,2019-01-11,"0     0.365539
1    -0.035079
2     1.000000
3     0.232506
4    -1.000000
5     0.100827
6    -1.000000
7    -0.559903
8    -1.000000
9    -0.760609
10    1.000000
11    0.084869
12   -0.133763
13   -1.000000
14    1.000000
15   -1.000000
16   -0.770608
17   -1.000000
18    0.606167
19   -1.000000
20   -0.929750
21    0.810236
22   -0.010507
23   -0.569092
24   -0.612122
25   -0.911665
26   -0.067106
27   -0.398811
28    0.994134
29    1.000000
30    1.000000
31   -0.320983
32    1.000000
33    1.000000
34    0.008637
35    0.305792
36    0.970733
37    0.371204
38   -0.618867
39   -0.962278
40    0.481142
41   -0.119580
42   -1.000000
43   -1.000000
44    1.000000
45   -0.805672
46    1.000000
47   -0.578010
48    0.641218
49    0.864371
dtype: float32","[ 199.51698303    0.          977.3260498   250.84254456    0.
   65.13821411 -124.73093414 -256.44815063 -584.32717896    0.
  227.58514404   10.91819859    0.           -8.29566956  322.91604614
 -155.10705566 -142.13874817 -347.81158447  226.67391968    0.
  -85.77702427  440.13049316   -2.39247084    0.            0.
 -429.12380981  -20.58831215  -26.05718994  352.25735474  486.6227417
  312.48828125    0.         1568.38146973   91.50587463    8.26742268
   40.64717484 1021.65264893   70.91225433    0.            0.
  141.25964355    0.         -890.12854004 -424.42724609   84.04364014
  -54.5187912   136.71549988  -53.14110565  108.78346252   99.48286438]"
7,2019-01-14,"0     1.000000
1    -0.370321
2    -1.000000
3    -0.171877
4     1.000000
5    -0.635742
6    -0.730334
7     1.000000
8     0.949225
9     0.585470
10   -1.000000
11    1.000000
12   -0.147440
13    0.427308
14   -1.000000
15    0.171371
16   -1.000000
17    0.562350
18   -0.018948
19    1.000000
20   -1.000000
21    0.221450
22   -1.000000
23    0.513583
24    1.000000
25    0.327402
26    0.558230
27    0.872119
28   -0.079125
29    0.115882
30   -1.000000
31    0.438641
32   -1.000000
33   -0.203894
34    1.000000
35   -0.538823
36   -0.447331
37    0.327779
38    0.273225
39    0.732346
40    0.811051
41    0.265895
42    0.092104
43    0.462708
44    0.152639
45   -0.251076
46   -0.060835
47   -1.000000
48    0.773165
49    0.419316
dtype: float32","[  540.92651367     0.          -972.23303223  -183.69961548
   303.97167969  -403.19015503     0.           458.40438843
   903.66253662   128.63520813  -230.05006409   129.3838501
     0.             3.44942617  -322.91604614    26.08237267
  -101.50649261   199.72503662    -7.03000116   439.63000488
     0.           119.54010773  -153.8399663      0.
   312.67782593   154.96975708   170.80335999   367.2635498
   -27.90934753    56.1813736   -311.54977417     0.
 -1559.47851562   -18.47440147   937.96313477   -71.00598145
  -468.99874878    62.84126663    68.47881317   687.22332764
   234.9021759      0.           131.23626709   334.11450195
    12.70572758   -13.02276611    -8.31252575   -90.79238129
   129.89526367    48.17359543]"
8,2019-01-15,"0     0.010798
1     0.707337
2    -1.000000
3     0.059789
4    -0.860723
5    -0.175372
6     0.960528
7    -1.000000
8    -0.202519
9     0.078728
10   -0.628791
11    0.741345
12    0.164900
13   -0.603912
14    0.652739
15    1.000000
16   -0.273107
17   -1.000000
18    1.000000
19   -1.000000
20    0.863526
21   -0.308058
22   -0.243567
23   -1.000000
24    0.570148
25    1.000000
26    1.000000
27   -1.000000
28    0.821499
29    0.001334
30   -0.271227
31    0.390095
32    1.000000
33    0.195499
34   -0.599744
35    1.000000
36   -1.000000
37   -0.223014
38   -1.000000
39    1.000000
40   -1.000000
41    1.000000
42   -0.816181
43    0.523341
44   -1.000000
45    0.749178
46    1.000000
47    0.297797
48   -0.993630
49    0.471642
dtype: float32","[ 5.83503151e+00  7.51876984e+01 -9.79029175e+02  6.46264725e+01
 -2.61173340e+02 -1.08699944e+02  1.93233322e+02 -4.62075623e+02
 -1.93158386e+02  1.75061951e+01 -1.49790604e+02  9.87783356e+01
  2.86844749e+01 -4.96309137e+00  2.11822174e+02  1.53708527e+02
  0.00000000e+00 -3.53404358e+02  3.74215088e+02 -4.39630005e+02
  2.17389160e+02 -1.65770493e+02  0.00000000e+00  0.00000000e+00
  1.75643234e+02  4.65957184e+02  3.04165863e+02 -3.67263550e+02
  2.92999084e+02  6.54107928e-01 -9.38507080e-01  0.00000000e+00
  1.57287109e+03  1.80083370e+01 -5.70869507e+02  1.32754883e+02
 -1.05650171e+03 -4.36162224e+01 -6.84788132e+01  9.45018799e+02
 -2.87845978e+02  0.00000000e+00 -1.31236267e+02  3.81516510e+02
 -8.61948624e+01  5.09492531e+01  1.38225021e+02  2.72315998e+01
 -1.77130890e+02  5.67331009e+01]"
9,2019-01-16,"0     0.280120
1     0.595642
2     0.689330
3    -1.000000
4     0.914301
5    -0.034327
6    -1.000000
7    -0.364621
8     0.060444
9    -1.000000
10   -0.494886
11    0.037676
12    1.000000
13   -1.000000
14    0.444283
15    0.302120
16    0.967409
17    1.000000
18   -1.000000
19   -0.262945
20   -0.268351
21    0.492224
22   -0.958696
23   -0.206730
24   -1.000000
25    0.235024
26    1.000000
27    0.297782
28    1.000000
29    1.000000
30    0.564699
31    0.325786
32   -1.000000
33    0.280712
34   -0.027118
35   -0.080764
36   -0.816239
37    0.528772
38    1.000000
39    0.105613
40    1.000000
41   -0.834178
42    0.722973
43   -1.000000
44   -0.576523
45   -0.238289
46   -0.843271
47    0.946271
48    0.128665
49   -0.907395
dtype: float32","[  150.6265564     62.67343903   667.87756348  -131.76940155
   267.97244263   -21.15055466  -193.23332214     0.
    57.0110321   -146.1414032   -112.77973175     4.8324008
   169.11602783    -7.00944424   143.84315491    44.49639893
   172.49897766   345.56878662  -356.09237671     0.
   -67.96611786   257.62011719     0.             0.
  -291.17337036    99.56349182   303.35018921   124.27783203
   352.04077148   481.24584961   175.19729614     0.
 -1559.47851562    25.20888519   -25.15981293   -10.55493355
   -80.2795639     99.41412354   250.38684082    98.24146271
   279.10351562     0.          1022.21691895  -715.63101196
   -47.91095352   -16.12473869  -115.20852661    81.24965668
    22.12731361  -106.2071228 ]"
