,date,actions,transactions
0,2019-01-03,"0     0.777427
1     0.650594
2     0.810493
3     0.900271
4     0.932409
5     0.109073
6     0.813148
7     0.558330
8     0.995163
9     0.998088
10    0.921467
11    0.953046
12    0.015903
13    0.252104
14    0.300088
15    0.973158
16    0.051937
17    0.256502
18    0.417816
19    0.901856
20    0.812694
21    0.989147
22    0.316036
23    0.139799
24    0.963445
25    0.067649
26    0.322814
27    0.182899
28    0.011693
29    0.156414
30    0.469968
31    0.219208
32    0.814201
33    0.111741
34    0.296751
35    0.087659
36    0.584416
37    0.159583
38    0.941516
39    0.229779
40    0.984576
41    0.117053
42    0.171824
43    0.454519
44    0.400987
45    0.912802
46    0.025850
47    0.038151
48    0.422317
49    0.212297
dtype: float32","[ 435.70425415   65.72442627  804.730896   1027.49609375    0.
   70.37779236  175.16891479  262.06259155  982.21734619  218.68431091
  217.98406982  130.24589539    3.02803302    2.16046643   96.83946991
  164.14697266    9.74924564  100.83641052  161.20675659  414.2923584
  194.32775879  582.70800781   73.94554138    0.          347.55297852
   39.16857147  102.88575745   80.80669403    4.30897999   76.32794952
  158.49357605    0.         1273.3425293    10.65484715  288.88156128
   11.10725498  617.43701172   31.13101387  241.88809204  219.08311462
  312.41110229    0.          259.58444214  338.28457642   33.86939621
   62.99579239    3.55380511    3.46745706   73.10413361   24.97316551]"
1,2019-01-04,"0     0.701557
1     0.699672
2     0.954081
3     0.375535
4     0.892260
5     0.042330
6     0.904735
7     0.652858
8     0.738403
9     0.927250
10    0.198689
11    0.850656
12    0.663191
13    0.215034
14    0.374734
15    0.962094
16    0.023715
17    0.223298
18    0.445293
19    0.939341
20    0.701358
21    0.813700
22    0.216232
23    0.000158
24    0.819389
25    0.011386
26    0.484295
27    0.174730
28    0.006336
29    0.051425
30    0.512132
31    0.025343
32    0.977633
33    0.104492
34    0.079117
35    0.332562
36    0.066282
37    0.224962
38    0.916654
39    0.078378
40    0.504630
41    0.118722
42    0.897586
43    0.725673
44    0.324630
45    0.946537
46    0.133565
47    0.043323
48    0.942865
49    0.161751
dtype: float32","[ 388.77758789   71.64933014  943.9621582   426.056427      0.
   27.72638702  192.47065735  301.53723145  731.61340332  206.93473816
   48.25621033  120.57803345  130.3538208     1.87083209  118.63315582
  160.50210571    4.54461527   85.54689789  172.82997131  438.20706177
  182.72135925  469.70043945   51.00203323    0.          293.72558594
    6.28478384  155.04966736   77.73375702    2.31778908   24.97805977
  168.34039307    0.         1520.33032227    9.87420845   75.44735718
   41.55221939   70.02670288   43.05218506  233.0471344    74.7297821
  156.834198      0.         1319.86352539  536.35131836   28.77701378
   65.80207825   18.44397354    4.07925844  166.25074768   19.22012901]"
2,2019-01-07,"0     0.932161
1     0.317026
2     0.945022
3     0.767849
4     0.855700
5     0.029742
6     0.842162
7     0.604365
8     0.994047
9     0.970377
10    0.383153
11    0.864210
12    0.878627
13    0.150682
14    0.142529
15    0.985162
16    0.037620
17    0.090151
18    0.567900
19    0.987323
20    0.833880
21    0.840481
22    0.629203
23    0.065773
24    0.740992
25    0.064611
26    0.462996
27    0.374797
28    0.000841
29    0.071817
30    0.702860
31    0.429725
32    0.881922
33    0.035052
34    0.001791
35    0.035688
36    0.847667
37    0.193143
38    0.950974
39    0.045506
40    0.761467
41    0.009439
42    0.302697
43    0.630620
44    0.312382
45    0.914751
46    0.046757
47    0.102552
48    0.379887
49    0.741782
dtype: float32","[5.08788025e+02 3.23865662e+01 9.17194397e+02 8.60894165e+02
 0.00000000e+00 1.91426258e+01 1.74734085e+02 2.71607574e+02
 9.75455078e+02 2.16822708e+02 8.97234726e+01 1.15106468e+02
 1.67235870e+02 1.28483093e+00 4.51945801e+01 1.57447571e+02
 7.16629553e+00 3.28767052e+01 2.18146072e+02 4.51930267e+02
 2.02784897e+02 4.53221649e+02 1.46957916e+02 0.00000000e+00
 2.58812897e+02 3.24236336e+01 1.45113571e+02 1.64877762e+02
 3.00608248e-01 3.38753395e+01 2.17671127e+02 0.00000000e+00
 1.35235083e+03 3.25902176e+00 1.62941682e+00 4.27627182e+00
 8.83667603e+02 3.56236038e+01 2.37878998e+02 4.24035378e+01
 2.21539474e+02 0.00000000e+00 4.34672424e+02 4.60986206e+02
 2.76330986e+01 6.35221329e+01 6.37037992e+00 9.58539486e+00
 6.50195541e+01 8.59220734e+01]"
3,2019-01-08,"0     0.250214
1     0.722244
2     0.999245
3     0.791452
4     0.908054
5     0.069798
6     0.987741
7     0.572864
8     0.951146
9     0.871712
10    0.842252
11    0.684427
12    0.088148
13    0.020205
14    0.212245
15    0.970683
16    0.005538
17    0.178890
18    0.940543
19    0.887868
20    0.996237
21    0.781126
22    0.353456
23    0.109571
24    0.944292
25    0.116459
26    0.925560
27    0.162570
28    0.143095
29    0.265533
30    0.378415
31    0.192188
32    0.948786
33    0.184540
34    0.493644
35    0.049290
36    0.166256
37    0.327440
38    0.861928
39    0.222508
40    0.491539
41    0.059887
42    0.324234
43    0.448619
44    0.414080
45    0.943207
46    0.333888
47    0.093811
48    0.895043
49    0.444722
dtype: float32","[1.36297150e+02 7.38419647e+01 9.73182800e+02 8.73644592e+02
 0.00000000e+00 4.45381927e+01 2.04859238e+02 2.58933105e+02
 9.20956665e+02 1.95964386e+02 1.97412415e+02 9.24881134e+01
 1.66029034e+01 1.71293914e-01 6.76054306e+01 1.49660889e+02
 1.03245819e+00 6.32469025e+01 3.65864716e+02 3.97858215e+02
 2.37421967e+02 4.19896820e+02 8.16477051e+01 0.00000000e+00
 3.21052216e+02 5.79854698e+01 2.90413788e+02 7.09683990e+01
 5.12384529e+01 1.24239769e+02 1.16983337e+02 0.00000000e+00
 1.46304651e+03 1.72463932e+01 4.56350677e+02 6.33182287e+00
 1.74308777e+02 6.17138901e+01 2.18375351e+02 2.06976837e+02
 1.43088165e+02 0.00000000e+00 4.65599091e+02 3.26596222e+02
 3.59987373e+01 6.42139587e+01 4.57297859e+01 8.65340996e+00
 1.46545776e+02 4.97358856e+01]"
4,2019-01-09,"0     0.819705
1     0.751698
2     0.880811
3     0.798902
4     0.776228
5     0.085615
6     0.820717
7     0.545737
8     0.681114
9     0.941275
10    0.842562
11    0.723340
12    0.768559
13    0.061018
14    0.257487
15    0.909177
16    0.093817
17    0.039966
18    0.660593
19    0.777839
20    0.978780
21    0.989383
22    0.449374
23    0.052570
24    0.847616
25    0.035486
26    0.712712
27    0.278540
28    0.018144
29    0.023218
30    0.914198
31    0.549929
32    0.994363
33    0.108248
34    0.177999
35    0.081476
36    0.495050
37    0.140756
38    0.838209
39    0.181285
40    0.988432
41    0.130308
42    0.864173
43    0.534381
44    0.418287
45    0.982714
46    0.470876
47    0.100169
48    0.413190
49    0.657681
dtype: float32","[4.47408020e+02 7.67609329e+01 8.59344238e+02 8.71782959e+02
 0.00000000e+00 5.49004555e+01 1.72242874e+02 2.50168060e+02
 6.62008057e+02 2.14214401e+02 1.95063599e+02 9.70041046e+01
 1.44557770e+02 5.17882407e-01 8.68210526e+01 1.40840195e+02
 1.74713268e+01 1.42416611e+01 2.60067963e+02 3.49779327e+02
 2.38486053e+02 5.34634155e+02 1.04585388e+02 0.00000000e+00
 2.87091827e+02 1.69387951e+01 2.19135452e+02 1.21697807e+02
 6.47146034e+00 1.08635082e+01 2.82782928e+02 0.00000000e+00
 1.55068774e+03 1.02070770e+01 1.67873062e+02 1.07805004e+01
 5.23020935e+02 2.69467945e+01 2.14916534e+02 1.69222382e+02
 2.86600067e+02 0.00000000e+00 1.24743445e+03 3.88499603e+02
 3.54492607e+01 6.63207474e+01 6.50960922e+01 9.38125992e+00
 6.91862106e+01 7.55953751e+01]"
5,2019-01-10,"0     0.776868
1     0.443419
2     0.850300
3     0.499948
4     0.864703
5     0.018810
6     0.990421
7     0.478742
8     0.893594
9     0.991164
10    0.582634
11    0.958684
12    0.910617
13    0.042580
14    0.153072
15    0.946310
16    0.014545
17    0.189821
18    0.718080
19    0.581778
20    0.845247
21    0.696782
22    0.661730
23    0.045388
24    0.854199
25    0.068094
26    0.392876
27    0.048868
28    0.049385
29    0.031985
30    0.632825
31    0.464812
32    0.727350
33    0.170017
34    0.216975
35    0.138299
36    0.265266
37    0.241662
38    0.920244
39    0.099806
40    0.285105
41    0.156283
42    0.515120
43    0.742137
44    0.368940
45    0.991492
46    0.030420
47    0.020677
48    0.349677
49    0.651321
dtype: float32","[4.22752869e+02 4.45211334e+01 8.28123352e+02 5.34337769e+02
 0.00000000e+00 1.20469284e+01 2.03975815e+02 2.16747131e+02
 8.61960388e+02 2.17512177e+02 1.33313080e+02 1.24976456e+02
 1.60308029e+02 3.54751050e-01 5.10887375e+01 1.47828598e+02
 2.69571996e+00 6.75010529e+01 2.67756622e+02 2.53153717e+02
 1.99537964e+02 3.71462769e+02 1.52657333e+02 0.00000000e+00
 2.81264191e+02 3.10457058e+01 1.20469772e+02 2.06641712e+01
 1.74646587e+01 1.52105312e+01 1.95515518e+02 0.00000000e+00
 1.12791858e+03 1.57077780e+01 2.03885452e+02 1.81835423e+01
 2.77057526e+02 4.53708611e+01 2.32003967e+02 9.33276596e+01
 8.17463913e+01 0.00000000e+00 7.33977051e+02 5.39540161e+02
 3.05997715e+01 6.69669037e+01 4.16982126e+00 1.86903882e+00
 5.83762207e+01 7.37555923e+01]"
6,2019-01-11,"0     0.881488
1     0.693865
2     0.911078
3     0.625057
4     0.903298
5     0.229856
6     0.904435
7     0.492674
8     0.943773
9     0.997204
10    0.888462
11    0.854715
12    0.187124
13    0.166527
14    0.363289
15    0.954955
16    0.008458
17    0.281316
18    0.578122
19    0.950776
20    0.887631
21    0.819521
22    0.586043
23    0.009965
24    0.752324
25    0.140824
26    0.568443
27    0.219347
28    0.042061
29    0.075773
30    0.541685
31    0.413806
32    0.656431
33    0.051897
34    0.008832
35    0.080778
36    0.424279
37    0.269648
38    0.955488
39    0.066085
40    0.479787
41    0.096177
42    0.609133
43    0.774040
44    0.745589
45    0.942117
46    0.031253
47    0.002472
48    0.047961
49    0.503267
dtype: float32","[4.81130005e+02 7.09121094e+01 8.90420288e+02 6.74351624e+02
 2.77355682e+02 1.48495483e+02 1.85186218e+02 2.25655869e+02
 9.17299988e+02 2.22009293e+02 2.02200867e+02 1.09957527e+02
 3.31683769e+01 1.38145351e+00 1.17311958e+02 1.48120300e+02
 1.56014192e+00 9.78449020e+01 2.16186493e+02 4.17270721e+02
 2.15751389e+02 4.45174164e+02 1.33440826e+02 0.00000000e+00
 2.25231873e+02 6.62861328e+01 1.74398956e+02 9.34458389e+01
 1.49036551e+01 3.68729286e+01 1.69270111e+02 0.00000000e+00
 1.02953418e+03 4.74890518e+00 8.45345783e+00 1.07373219e+01
 4.46534332e+02 5.15116234e+01 2.41244568e+02 6.21212883e+01
 1.40861969e+02 0.00000000e+00 8.74714233e+02 5.61207703e+02
 6.26620407e+01 6.37518120e+01 4.27275324e+00 2.27304384e-01
 8.13669205e+00 5.79224052e+01]"
7,2019-01-14,"0     0.954430
1     0.682891
2     0.987754
3     0.592125
4     0.716334
5     0.009548
6     0.896458
7     0.600581
8     0.957271
9     0.954629
10    0.266777
11    0.991528
12    0.091311
13    0.060057
14    0.409115
15    0.947719
16    0.025934
17    0.115931
18    0.663091
19    0.911523
20    0.972405
21    0.839415
22    0.427071
23    0.167633
24    0.756882
25    0.041357
26    0.197478
27    0.150955
28    0.061823
29    0.019782
30    0.300901
31    0.763052
32    0.863161
33    0.004567
34    0.582886
35    0.082065
36    0.241504
37    0.420017
38    0.922761
39    0.264630
40    0.165871
41    0.106321
42    0.879427
43    0.535920
44    0.164033
45    0.961167
46    0.304672
47    0.021476
48    0.752318
49    0.466722
dtype: float32","[5.16276733e+02 7.07855301e+01 9.60327271e+02 6.32855469e+02
 2.17745270e+02 6.05566883e+00 1.79321671e+02 2.75309113e+02
 9.11322571e+02 2.09744064e+02 6.13721085e+01 1.28287674e+02
 1.59967527e+01 4.84810442e-01 1.32239532e+02 1.44241516e+02
 4.72866058e+00 4.11741753e+01 2.46022812e+02 4.00732635e+02
 2.37742462e+02 4.53120911e+02 9.55472565e+01 0.00000000e+00
 2.36660294e+02 1.95756683e+01 6.04229317e+01 6.35694885e+01
 2.18066750e+01 9.59082985e+00 9.37456436e+01 0.00000000e+00
 1.34608105e+03 4.13843483e-01 5.46725159e+02 1.08144703e+01
 2.53202316e+02 8.05250397e+01 2.31272964e+02 2.48325165e+02
 4.80407677e+01 0.00000000e+00 1.25306653e+03 3.86979523e+02
 1.36541624e+01 6.50409393e+01 4.16303444e+01 1.94983494e+00
 1.26392876e+02 5.36197968e+01]"
8,2019-01-15,"0     0.666322
1     0.513682
2     0.917553
3     0.521960
4     0.961998
5     0.178397
6     0.980729
7     0.505753
8     0.984989
9     0.985311
10    0.759215
11    0.949198
12    0.809188
13    0.058991
14    0.340718
15    0.987320
16    0.060335
17    0.142434
18    0.650579
19    0.905551
20    0.993259
21    0.985882
22    0.579926
23    0.012047
24    0.718104
25    0.064585
26    0.512379
27    0.237424
28    0.000195
29    0.010929
30    0.409000
31    0.010630
32    0.849702
33    0.023924
34    0.407537
35    0.077097
36    0.329556
37    0.126135
38    0.958130
39    0.130680
40    0.832247
41    0.227676
42    0.006991
43    0.987817
44    0.766828
45    0.888051
46    0.378937
47    0.092102
48    0.569524
49    0.586318
dtype: float32","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
9,2019-01-16,"0     0.855130
1     0.382859
2     0.950392
3     0.592783
4     0.827775
5     0.102649
6     0.971381
7     0.171827
8     0.902059
9     0.984190
10    0.683903
11    0.584130
12    0.142448
13    0.119624
14    0.331296
15    0.965486
16    0.007976
17    0.073091
18    0.762423
19    0.879546
20    0.929043
21    0.745089
22    0.723418
23    0.031149
24    0.935216
25    0.013449
26    0.303030
27    0.510290
28    0.052569
29    0.052019
30    0.495356
31    0.106268
32    0.989977
33    0.216527
34    0.226940
35    0.082133
36    0.230943
37    0.238949
38    0.774939
39    0.150264
40    0.624198
41    0.139239
42    0.205375
43    0.756319
44    0.570728
45    0.920823
46    0.234875
47    0.079134
48    0.421616
49    0.365741
dtype: float32","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
