,date,actions,transactions
0,2019-01-03,"0    -1.0
1     1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15   -1.0
16    1.0
17   -1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41   -1.0
42    1.0
43   -1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.          101.0221405   992.89093018    0.            0.
  645.23620605  215.42066956    0.          986.99145508  219.10316467
    0.          136.66281128    0.            0.          322.70349121
    0.          187.71446228    0.            0.            0.
  239.11546326  589.10162354    0.            0.            0.
  578.99853516    0.            0.            0.            0.
  337.24310303    0.            0.            0.            0.
    0.         1056.50170898  195.07704163  256.9135437     0.
  317.30517578    0.         1510.7565918     0.           84.46516418
   69.01368713    0.           90.88677979    0.            0.        ]"
1,2019-01-04,"0    -1.0
1    -1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15   -1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.         -101.0221405   989.39367676    0.            0.
  654.9989624   212.73698425    0.          990.80529785  223.17045593
    0.          141.74705505    0.            0.          316.57992554
    0.          191.63769531  383.10653687    0.            0.
  260.52520752  577.24053955    0.            0.            0.
  551.96166992    0.            0.            0.            0.
  328.70516968    0.            0.            0.            0.
    0.         1056.50170898  191.37510681  254.23686218    0.
  310.79064941    0.         1470.45849609  739.10925293   88.64556885
   69.5187912     0.           94.15859222    0.            0.        ]"
2,2019-01-07,"0    -1.0
1    -1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15   -1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.            0.          970.55340576    0.            0.
  643.63317871  207.48265076    0.          981.29650879  223.44171143
    0.          133.19268799    0.            0.          317.08987427
    0.          190.4907074   364.68399048    0.            0.
 -243.18238831  539.24053955    0.            0.            0.
  501.83169556    0.            0.            0.            0.
  309.69338989    0.            0.            0.            0.
    0.         1042.47021484  184.44126892  250.14257812    0.
  290.93786621    0.         1435.99755859  731.00482178   88.4592514
   69.44203186    0.           93.46842957    0.            0.        ]"
3,2019-01-08,"0    -1.0
1    -1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11   -1.0
12   -1.0
13   -1.0
14    1.0
15    1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22    1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38   -1.0
39   -1.0
40    1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.            0.          973.91845703    0.            0.
  638.09692383  207.40174866    0.          968.26043701  224.80397034
    0.         -135.13221741    0.            0.          318.52612305
  154.18107605  186.4203949   353.55178833    0.            0.
  238.31880188  537.5534668   230.99809265    0.            0.
  497.90383911    0.            0.            0.            0.
  309.14004517    0.            0.            0.            0.
    0.         1048.43786621  188.47370911 -253.35697937    0.
  291.10217285    0.         1435.99755859  728.00335693   86.93671417
   68.08047485    0.           92.24275208    0.            0.        ]"
4,2019-01-09,"0    -1.0
1    -1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15    1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.            0.          975.62878418    0.            0.
  641.24761963  209.86888123    0.          971.94952393  227.57891846
    0.          134.10578918    0.            0.          337.18624878
  154.9095459   186.22805786  356.34362793    0.            0.
  243.65640259  540.37115479 -230.99809265    0.            0.
  477.33151245    0.            0.            0.            0.
  309.32363892    0.            0.            0.            0.
    0.         1056.50170898  191.44325256  256.39974976    0.
  289.95425415    0.         1443.50134277  727.00836182   84.74863434
   67.48731232    0.           93.65435791    0.            0.        ]"
5,2019-01-10,"0    -1.0
1     1.0
2     1.0
3    -1.0
4     1.0
5    -1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15   -1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22    1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[   0.          100.40422821  973.91845703    0.            0.
 -640.45910645  205.94862366    0.          964.59918213  219.45127869
    0.          130.36245728    0.            0.          333.75610352
 -156.21582031  185.33482361  355.60360718    0.            0.
  236.07064819  533.11157227  230.6943512     0.            0.
  455.92565918    0.            0.            0.            0.
  308.95666504    0.            0.            0.            0.
    0.         1044.4519043   187.7454834   252.11143494    0.
  286.72354126    0.         1424.86682129 -727.00836182   82.93964386
   67.54155731    0.           90.39009094    0.            0.        ]"
6,2019-01-11,"0     1.0
1     1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14   -1.0
15   -1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43    1.0
44    1.0
45    1.0
46    1.0
47   -1.0
48   -1.0
49   -1.0
dtype: float32","[ 545.8157959   102.19869995  977.3260498  1078.86499023  307.04797363
  646.03656006  204.7535553   458.02224731  971.94952393  222.63186646
    0.          128.64813232    0.            0.         -322.91604614
 -152.87480164  184.45011902  347.81158447    0.            0.
  243.06416321  543.21258545 -227.69810486    0.            0.
  470.70343018    0.            0.            0.            0.
  312.48828125    0.            0.            0.            0.
    0.         1052.4543457   191.03291321  252.48316956    0.
  293.59262085    0.         1435.99755859  725.0369873    84.04364014
   67.66870117  136.71549988  -91.93795776    0.            0.        ]"
7,2019-01-14,"0     1.0
1     1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14   -1.0
15    1.0
16   -1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24    1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44    1.0
45    1.0
46    1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[ 540.92651367  103.6557312   972.23303223 1068.78710938  303.97167969
  634.20385742  200.03359985  458.40438843  952.00012207  219.71261597
    0.          129.3838501     0.            0.         -323.23336792
  152.19866943 -182.33668518  355.16156006    0.            0.
  244.48921204  539.80523682   -2.99624634    0.          312.67782593
  473.3324585     0.            0.            0.            0.
  311.54977417    0.            0.            0.            0.
    0.         1048.43786621  191.71852112  250.6315918     0.
  289.6267395     0.         1424.86682129 -722.08422852   83.240242
   67.66870117  136.64001465   90.79238129    0.            0.        ]"
8,2019-01-15,"0     1.0
1    -1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14    1.0
15    1.0
16    1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48   -1.0
49   -1.0
dtype: float32","[ 540.38867188 -106.29681396  979.0291748  1080.91748047  303.43487549
  619.82446289  201.17405701 -466.97549438  953.77984619  222.36354065
    0.          133.24201965    0.            0.          324.51306152
  153.70852661  182.33668518  353.40435791    0.            0.
  251.74586487  538.11468506    0.            0.         -308.06576538
  465.95718384    0.            0.            0.            0.
  314.95071411    0.            0.            0.            0.
    0.         1056.50170898  195.57606506  254.11152649    0.
  287.84597778    0.         1428.57141113  729.00109863   86.19486237
   68.00685883 -138.22502136   91.44345093    0.            0.        ]"
9,2019-01-16,"0     1.0
1     1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7     1.0
8     1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13   -1.0
14   -1.0
15   -1.0
16   -1.0
17    1.0
18   -1.0
19   -1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25    1.0
26   -1.0
27   -1.0
28   -1.0
29   -1.0
30    1.0
31   -1.0
32   -1.0
33   -1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40    1.0
41    1.0
42    1.0
43   -1.0
44    1.0
45    1.0
46    1.0
47   -1.0
48   -1.0
49   -1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.         -323.76498413
 -147.28060913 -178.31033325    0.            0.            0.
    0.            0.            0.            0.           -4.61206055
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.         -726.02661133    0.
    0.            0.          -85.86299896    0.            0.        ]"
