,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,965105.5525367687,34853.79298522215,999959.3455219909,-4.065447800905009e-05,2019-01-04
2,940621.4810179258,61517.90423792772,1002139.3852558535,0.002139385255853554,2019-01-07
3,918499.2213197788,83815.07782137775,1002314.2991411566,0.0023142991411566616,2019-01-08
4,903405.8139543313,98784.17649697346,1002189.9904513048,0.0021899904513047463,2019-01-09
5,884175.5778334186,119742.2710485448,1003917.8488819634,0.003917848881963337,2019-01-10
6,868793.8071157836,133631.7034701829,1002425.5105859665,0.002425510585966517,2019-01-11
7,841728.2110654057,161065.32268593815,1002793.5337513438,0.002793533751343835,2019-01-14
8,809514.0464111763,192037.1081229908,1001551.1545341671,0.0015511545341670985,2019-01-15
9,790705.5634468731,216529.42251250512,1007234.9859593782,0.007234985959378104,2019-01-16
10,778317.9733359403,228605.78681862215,1006923.7601545624,0.0069237601545624194,2019-01-17
11,746712.6682048258,257613.67589487025,1004326.344099696,0.004326344099696122,2019-01-18
12,728570.474817566,280053.37067959434,1008623.8454971603,0.008623845497160332,2019-01-21
13,691196.954733755,318950.1767666486,1010147.1315004036,0.010147131500403583,2019-01-22
14,658370.2933538605,344057.5632312833,1002427.8565851438,0.002427856585143884,2019-01-23
15,627667.6755926404,372613.8896709965,1000281.5652636369,0.00028156526363698475,2019-01-24
16,588295.5482548925,421825.0382232541,1010120.5864781465,0.010120586478146398,2019-01-25
17,565438.7757010828,450222.6975051436,1015661.4732062264,0.01566147320622635,2019-01-28
18,532539.4864461719,486507.4680414615,1019046.9544876334,0.019046954487633494,2019-01-29
19,492281.64347775094,528421.636141349,1020703.2796190999,0.020703279619100012,2019-01-30
20,453535.0137299667,560825.6959353087,1014360.7096652754,0.014360709665275362,2019-01-31
21,426198.57480936404,593083.4717680095,1019282.0465773735,0.019282046577373535,2019-02-01
22,386938.35605540144,650006.8102607316,1036945.166316133,0.03694516631613309,2019-02-11
23,344656.64340600366,705582.0804364248,1050238.7238424285,0.050238723842428445,2019-02-12
24,313395.0340272383,741330.2495620006,1054725.283589239,0.05472528358923889,2019-02-13
25,284775.922672041,791017.2851288648,1075793.2078009057,0.0757932078009056,2019-02-14
26,267729.73877324286,809086.7537103203,1076816.4924835633,0.07681649248356326,2019-02-15
27,234648.33223561174,824807.221901605,1059455.5541372169,0.059455554137216815,2019-02-18
28,206318.3427890884,886827.1119003556,1093145.454689444,0.09314545468944413,2019-02-19
29,184227.40366565873,909285.3383959507,1093512.7420616094,0.09351274206160931,2019-02-20
30,154566.6184114348,944359.9282576409,1098926.5466690757,0.09892654666907563,2019-02-21
31,134091.13703425357,970656.8757548272,1104748.0127890809,0.10474801278908075,2019-02-22
32,108200.63867461744,1046885.506953198,1155086.1456278155,0.15508614562781542,2019-02-25
33,87189.6510676763,1151250.0373064377,1238439.688374114,0.238439688374114,2019-02-26
34,71817.51011526897,1168081.8498235492,1239899.359938818,0.23989935993881795,2019-02-27
