,date,actions,transactions
0,2019-01-03,"0    -0.308712
1    -0.240378
2     0.440852
3    -0.375046
4     0.222527
5     0.200000
6     0.247333
7    -0.113575
8     0.129913
9     0.015151
10    0.301965
11   -0.569793
12   -0.172145
13   -0.898608
14   -0.054387
15    0.600000
16    0.200000
17   -0.011733
18   -0.164964
19   -0.024343
20    0.600000
21   -0.104131
22   -0.545854
23   -0.245452
24    0.030822
25    0.570502
26    0.287274
27   -0.600000
28    0.408878
29    0.438287
30    0.515399
31    0.280743
32   -0.715778
33   -0.041650
34    0.207796
35   -0.685746
36    0.273385
37    0.266597
38   -0.269149
39    0.236231
40    0.478618
41    0.129555
42    0.343033
43   -0.520823
44    0.165978
45   -0.300461
46   -0.007522
47   -0.018857
48   -0.552056
49   -0.166682
dtype: float32","[  0.           0.         437.71795654   0.           0.
 129.04724121  53.28061295   0.         128.22343445   3.31963468
  71.43358612   0.           0.           0.           0.
 101.20467377  37.54289246   0.           0.           0.
 143.46928406   0.           0.           0.          11.11868095
 330.31988525  91.5585556    0.         150.67961121 213.87805176
 173.81459045   0.           0.           0.         202.28607178
   0.         288.83126831  52.00704193   0.         225.23510742
 151.86804199   0.         518.23864746   0.          14.01937866
   0.           0.           0.           0.           0.        ]"
1,2019-01-04,"0    -0.760942
1    -0.531737
2     0.086669
3    -0.834816
4     0.007544
5     0.600000
6     0.361187
7     0.200000
8    -0.162736
9    -0.035333
10    0.513254
11   -0.300509
12   -0.396000
13   -0.161205
14    0.054966
15   -0.200000
16    0.071670
17    0.191002
18    0.115417
19    0.312176
20    0.200000
21   -0.061233
22    0.200000
23   -0.105141
24   -0.002130
25    0.059259
26   -0.164274
27   -0.370835
28    0.063012
29    0.113430
30   -0.207368
31    0.161759
32   -0.624477
33   -0.044097
34    0.440586
35   -0.773272
36   -0.178268
37    0.699646
38   -0.006068
39    0.332465
40    0.723300
41    0.600000
42   -0.200000
43    0.018437
44    0.282097
45   -0.021539
46    0.200000
47    0.133363
48   -0.459174
49   -0.200000
dtype: float32","[   0.            0.           85.74954224    0.            0.
  392.99935913   76.83792877   92.37448883 -128.22343445   -3.31963468
  124.65546417    0.            0.            0.           17.40118408
  -33.36514282   13.73462963   73.17424011   44.79633331  145.63160706
   52.10504532    0.           47.17337036    0.           -0.76365328
   32.70895004  -52.59328461    0.           23.0491581    55.09514236
  -68.16297913    0.            0.            0.          420.15020752
    0.         -188.33995056  133.89485168    0.          316.99005127
  224.79493713    0.         -294.09170532   13.62710094   25.00668716
    0.           27.61797714   12.55725002    0.            0.        ]"
2,2019-01-07,"0    -0.764108
1    -0.643711
2     0.153602
3    -0.682332
4     0.632420
5     0.174398
6     0.311545
7     0.200000
8    -0.029662
9    -0.064488
10    0.122253
11    0.171022
12    0.071545
13   -0.568859
14    0.085825
15   -0.118846
16    0.493687
17    0.217384
18   -0.542937
19   -0.150979
20   -0.193564
21    0.200000
22   -0.279379
23   -0.200000
24    0.300222
25    0.477565
26    0.165305
27   -0.405761
28    0.328709
29   -0.200000
30    0.171082
31    0.000609
32   -0.594444
33   -0.387353
34    0.099296
35   -0.222672
36   -0.326112
37    0.102392
38   -0.473819
39    0.347881
40    0.646232
41    0.881414
42    0.470797
43   -0.447518
44    0.013832
45   -0.547071
46   -0.023036
47    0.200000
48   -0.390431
49   -0.420780
dtype: float32","[   0.            0.          149.07933044    0.            0.
  112.24803925   64.64012909   89.88198853    0.            0.
   28.62817192   22.77885056   13.61767006    0.           27.21428871
  -18.99383163   94.04277039   79.27658844  -44.79633331  -69.1082077
  -47.07136917  107.84810638  -47.17337036    0.          104.86142731
  239.65707397   51.81034851    0.          117.46992493  -94.33784485
   52.98307419    0.            0.            0.           90.33332062
    0.         -100.49131775   18.88529396    0.          324.16531372
  188.01322937    0.          676.06359863  -13.62710094    1.22357655
    0.           -3.13857031   18.69368553    0.            0.        ]"
3,2019-01-08,"0    -0.672441
1    -0.600000
2     0.198488
3    -0.216569
4     0.441066
5     0.051195
6    -0.094391
7    -0.001347
8    -0.545824
9     0.534595
10    0.225153
11   -0.939345
12    0.101291
13   -0.600000
14    0.255974
15    0.376282
16   -0.153209
17    0.019781
18   -0.122134
19    0.272244
20    0.375983
21    0.405292
22    0.419226
23    0.022657
24   -0.200000
25    0.485466
26    0.122840
27   -0.200000
28   -0.200000
29    0.183498
30   -0.225699
31    0.509274
32   -0.859284
33   -0.625946
34   -0.537392
35   -0.025216
36    0.006768
37    0.672141
38   -0.322409
39   -0.003183
40    0.600000
41   -0.155779
42   -0.315796
43   -0.278080
44   -0.009000
45    0.115032
46   -0.623407
47   -0.439918
48   -0.167617
49   -0.556529
dtype: float32","[   0.            0.          193.31098938    0.            0.
   32.66746521  -19.57693863   -0.60889202    0.          120.1791687
   52.77269363  -22.77885056   19.07828331    0.           81.5345459
   58.01552582  -28.56132698    6.99346209    0.          121.99369049
   89.60391998  217.86637878   96.8403244     0.          -67.99852753
  241.71514893   38.54349899    0.          -71.61476898   85.85679626
  -69.77270508    0.            0.            0.         -496.79440308
    0.            7.09556484  126.68093872    0.           -2.96095991
  174.66130066    0.         -453.48254395    0.           -0.78247118
    7.83142471  -24.47940683  -31.25093555    0.            0.        ]"
4,2019-01-09,"0    -0.659426
1    -0.906848
2    -0.015293
3    -0.625659
4     0.190028
5     0.152837
6     0.183642
7     0.037983
8    -0.095113
9    -0.063862
10   -0.007582
11   -0.161694
12    0.090839
13   -0.600000
14   -0.317592
15    0.051672
16    0.118515
17    0.432715
18   -0.039628
19   -0.002399
20    0.853022
21   -0.044654
22   -0.318890
23   -0.450402
24    0.103764
25    0.317628
26    0.088960
27   -1.000000
28    0.341450
29    0.364747
30   -0.140281
31    0.477002
32   -0.796007
33   -0.038177
34    0.106942
35   -0.776093
36    0.040941
37    0.670462
38   -0.265642
39   -0.045974
40    0.550771
41    0.575037
42   -0.407521
43   -0.109152
44    0.501433
45   -0.171529
46   -0.092832
47   -0.200000
48   -0.119192
49    0.200000
dtype: float32","[   0.            0.          -14.9198513     0.            0.
   98.00611115   38.54070282   17.4115696     0.          -14.53361034
   -1.75534964    0.           17.08577156    0.         -107.08772278
    8.00441647   22.0708828   154.19520569    0.           -1.07896256
  207.84423828  -24.12964821  -74.21702576    0.           35.14547348
  151.61367798   27.35215187    0.          121.78296661  170.66098022
  -43.39222717    0.            0.            0.          100.85819244
    0.           43.25423813  128.35545349    0.          -42.9153862
  159.69844055    0.         -446.72799683    0.           42.49576187
   -7.83142471    0.            0.            0.           22.98845291]"
5,2019-01-10,"0    -0.926746
1    -0.106601
2     0.153579
3    -0.441939
4    -0.168307
5    -0.228946
6     0.360830
7    -0.016664
8     0.141080
9     0.054311
10   -0.050350
11   -0.243440
12    0.138094
13   -0.848059
14   -0.182320
15   -0.125687
16    0.165804
17    0.443344
18   -0.316633
19    0.600000
20    0.065097
21    0.600000
22   -0.128997
23   -0.037184
24    0.187110
25    0.289983
26    0.121419
27   -0.777465
28   -0.100056
29    0.131204
30   -0.010493
31    0.388064
32   -0.510595
33   -0.464431
34   -0.397304
35   -0.269762
36   -0.023308
37    0.200000
38   -0.105341
39   -0.383844
40    0.600000
41    0.200000
42    0.490839
43   -0.600000
44   -0.600000
45   -0.001407
46   -0.374947
47   -0.247112
48    0.200000
49    0.144008
dtype: float32","[   0.            0.          149.57351685    0.            0.
 -146.63024902   74.31246948   -7.54471111  136.08532715   11.91860485
  -11.52074051    0.           24.31057549    0.          -19.06229591
  -19.63428116   30.72926521  157.65470886    0.          261.08297729
   15.36751366  319.86694336  -22.62329865    0.           61.61021805
  132.21055603   37.23149872    0.          -35.38421249   62.39452362
   -3.24202704    0.            0.            0.         -316.83338928
    0.          -24.34416008   37.54909515    0.         -358.92770386
  172.03413391    0.          699.38037109    0.          -49.76378632
    0.            0.            0.           33.38864899   16.3074379 ]"
6,2019-01-11,"0    -0.266405
1    -0.265792
2     0.179029
3    -0.194260
4     0.747081
5     0.277589
6     0.386222
7     0.392918
8    -0.383053
9    -0.401133
10   -0.277195
11   -0.200000
12    0.434246
13   -0.748247
14   -0.793387
15   -0.434474
16   -0.066419
17    0.100634
18    0.114818
19   -0.260976
20    0.732760
21    0.450483
22   -0.346218
23   -0.533022
24    0.140134
25    0.589877
26   -0.096842
27   -0.327750
28   -0.276227
29    0.305410
30    0.109966
31    0.409554
32   -0.248444
33   -1.000000
34    0.600000
35    0.128978
36    0.222384
37   -0.341529
38    0.456836
39    0.016975
40    0.600000
41    0.380374
42    0.040935
43   -0.027432
44   -0.168151
45    0.295078
46    0.406853
47   -0.297789
48    0.455334
49   -0.408257
dtype: float32","[   0.            0.          174.96977234    0.          229.38975525
  179.33255005   79.08035278  179.96530151 -136.08532715  -89.30489349
  -63.08547974    0.           76.97154236    0.            0.
  -67.39000702  -12.25096798   35.00162888   42.93593216 -114.53535461
  178.1076355   244.70811462    0.            0.           41.95352554
  277.65725708  -29.71135712    0.          -97.87732697  148.61955261
   34.36302185    0.            0.            0.          574.30554199
   17.14430046  234.04856873  -65.24325562  115.34327698   15.95649529
  176.15557861    0.           58.78241348    0.          -14.1320219
   19.96753883   55.62311172    0.           77.24806213  -39.29589081]"
7,2019-01-14,"0    -0.409311
1    -0.311860
2     0.110919
3     0.200000
4     0.605954
5     0.067706
6     0.107198
7     0.751601
8    -0.270292
9     0.183881
10    0.255869
11   -0.406959
12    0.200000
13   -0.245035
14   -0.445516
15    0.200000
16   -0.303569
17   -0.143037
18   -0.200000
19    0.157169
20    0.649474
21    0.009444
22   -0.417875
23    0.148210
24    0.365375
25    0.250439
26    0.556935
27   -0.845532
28   -0.214025
29    0.261658
30    0.199105
31    0.373054
32   -0.484515
33   -0.490095
34    0.200000
35   -0.080200
36    0.038424
37    0.344812
38   -0.142372
39    0.439955
40    0.815876
41    0.511274
42   -0.100219
43   -0.769960
44    0.200000
45    0.048799
46    0.367973
47   -0.468543
48   -0.072873
49   -0.341209
dtype: float32","[   0.            0.          107.83907318  213.75743103  184.19300842
   42.93914413   21.44318199  344.53735352    0.           40.40092087
   58.86267853    0.           35.03780746    0.            0.
   30.4397316   -55.35173798  -50.80133438  -42.93593216   69.09627533
  158.78939819    5.09788132    0.            0.          114.24462128
  118.54103088  170.40718079    0.          -75.49215698  126.85597229
   62.03108978    0.            0.            0.          187.59262085
  -10.56875229   40.28539276   66.10691071  -35.68284225  412.84777832
  236.29954529    0.         -142.79806519    0.           16.6480484
    3.30218387   50.27986908    0.          -12.24296665    0.        ]"
8,2019-01-15,"0    -0.123831
1    -0.720006
2    -0.395567
3    -0.293164
4     0.827124
5     0.251737
6     0.310620
7     0.440279
8    -0.337907
9     0.289463
10    0.397451
11   -0.066705
12    0.600000
13   -0.279985
14    0.030685
15   -0.200000
16    0.050997
17    0.050797
18   -0.067454
19   -0.101557
20    0.407659
21    0.273881
22   -0.442367
23    0.528417
24    0.020379
25    0.047368
26   -0.055457
27   -0.517800
28    0.019681
29    0.445802
30    0.538497
31    0.026728
32   -0.600000
33   -0.784013
34    0.197961
35   -0.437416
36   -0.038523
37    0.038978
38   -0.598073
39    0.138802
40    0.611963
41    0.520131
42   -0.600000
43    0.021095
44   -0.179681
45   -0.129428
46   -0.130775
47   -0.240338
48   -0.051863
49   -0.372021
dtype: float32","[   0.            0.         -387.27212524 -213.75743103  250.97816467
  156.03263855   62.4887085   205.59973145    0.           64.36599731
   94.68083954    0.          104.37069702    0.            9.95782089
  -30.74170494    9.29860973   17.95198441    0.          -45.78943253
  102.6264801   147.37963867    0.            0.            6.27818823
   22.07152748  -16.86807442    0.            7.0195117   218.56455994
  169.60011292    0.            0.            0.          188.42974854
   -6.57554817  -40.70006561    7.62313223  -79.66043472  131.17095947
  176.15119934    0.         -615.36471939   15.37816715  -15.48759174
   -8.8020153   -18.0763855     0.           -9.24546814    0.        ]"
9,2019-01-16,"0     0.004741
1     0.092151
2    -0.159860
3    -0.600000
4     0.828146
5    -0.077748
6    -0.200000
7     0.458252
8     0.089287
9     0.052900
10   -0.209001
11   -0.391652
12   -0.139478
13   -0.342313
14   -0.357950
15   -0.200000
16   -0.508734
17   -0.134952
18   -0.207615
19   -0.147363
20    0.523188
21    0.196022
22   -0.600000
23    0.600000
24    0.253428
25    0.007650
26    0.441387
27   -0.594044
28   -0.200000
29    0.180346
30   -0.056607
31    0.316595
32   -0.399939
33   -0.469450
34    0.302512
35   -0.558007
36   -0.200000
37   -0.200000
38    0.061128
39    0.107224
40    0.508225
41    0.900776
42    0.005818
43   -0.600000
44   -0.526781
45    0.600000
46    0.573263
47   -0.529398
48   -0.200000
49    0.071103
dtype: float32","[   2.54949045    9.69613171 -154.88499451    0.          242.72134399
  -47.90421677  -39.49914932  215.64009094   84.21598816   11.63672733
  -47.62917709    0.          -23.58798218    0.           -9.95782089
  -27.53938007  -90.71247864  -46.6353035     0.          -64.95254517
  132.50967407  102.59384918    0.            0.           73.79136658
    3.24076104  133.8948822     0.          -70.40815735   86.79058838
  -17.56235695    0.            0.            0.          280.67047119
    0.         -210.08843994  -37.60190201   15.30565834   99.73932648
  141.84735107    0.            8.22649574  -15.37816715  -19.2275815
   40.60122299   78.31972504    0.          -34.39522934    8.32231998]"
