,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,931174.0520742658,68735.75581776327,999909.807892029,-9.019210797089894e-05,2019-01-04
2,917581.7206818664,84942.6404580307,1002524.3611398971,0.002524361139897069,2019-01-07
3,880520.7998796649,122705.39420004668,1003226.1940797116,0.0032261940797115862,2019-01-08
4,852934.5763497044,150135.60331942973,1003070.1796691341,0.003070179669134143,2019-01-09
5,834169.4769510897,172077.67251927455,1006247.1494703642,0.006247149470364199,2019-01-10
6,770585.1931732836,233382.07630717018,1003967.2694804538,0.003967269480453783,2019-01-11
7,744698.1476526796,260177.60666199942,1004875.754314679,0.004875754314678904,2019-01-14
8,719585.7300885271,282864.9805079308,1002450.7105964578,0.002450710596457739,2019-01-15
9,696868.2932214565,314708.18596062344,1011576.4791820799,0.011576479182079824,2019-01-16
10,665805.6038137199,345148.690601218,1010954.294414938,0.010954294414937893,2019-01-17
11,651766.2475333337,356219.7285205968,1007985.9760539306,0.007985976053930477,2019-01-18
12,639466.527242138,372471.81852925505,1011938.345771393,0.011938345771393077,2019-01-21
13,597956.4554293716,416705.9820197933,1014662.4374491649,0.014662437449164845,2019-01-22
14,558328.5489822883,447687.3897770334,1006015.9387593218,0.006015938759321715,2019-01-23
15,549000.3804429703,455425.97506730206,1004426.3555102723,0.004426355510272373,2019-01-24
16,499818.7107034208,511208.85249642265,1011027.5631998435,0.011027563199843549,2019-01-25
17,486823.7982017637,528181.2066581572,1015005.0048599208,0.015005004859920845,2019-01-28
18,450273.44619352923,565077.991741199,1015351.4379347283,0.015351437934728374,2019-01-29
19,455552.5445121605,561542.2445274115,1017094.789039572,0.017094789039572067,2019-01-30
20,440959.55939127796,570800.3291360295,1011759.8885273074,0.01175988852730736,2019-01-31
21,395432.69312943687,622850.7076304827,1018283.4007599195,0.01828340075991952,2019-02-01
22,394508.2302819526,636069.2023275323,1030577.432609485,0.030577432609484978,2019-02-11
23,368938.65268868423,672216.278380543,1041154.9310692272,0.041154931069227185,2019-02-12
24,342538.43211223464,701250.4573701128,1043788.8894823474,0.04378888948234749,2019-02-13
25,336032.1478387973,729413.6437142431,1065445.7915530405,0.06544579155304042,2019-02-14
26,295807.62717622105,769076.9362498318,1064884.563426053,0.06488456342605287,2019-02-15
27,326989.1371929539,722698.7888114756,1049687.9260044296,0.04968792600442962,2019-02-18
28,301174.7628286476,774023.6149087389,1075198.3777373866,0.07519837773738658,2019-02-19
29,318178.42199726886,757502.7015807076,1075681.1235779764,0.0756811235779764,2019-02-20
30,304417.26106101467,773199.5661950324,1077616.8272560472,0.07761682725604713,2019-02-21
31,327365.21627322165,751981.1724372583,1079346.38871048,0.07934638871047994,2019-02-22
32,338383.64763518225,767640.6913823597,1106024.339017542,0.10602433901754216,2019-02-25
33,376101.5153648524,779851.1514860557,1155952.6668509082,0.15595266685090814,2019-02-26
34,363239.20686235355,787985.2498362641,1151224.4566986177,0.15122445669861762,2019-02-27
35,376553.2396869476,780858.6716346698,1157411.9113216174,0.15741191132161747,2019-02-28
36,347738.49713226856,799143.85373062,1146882.3508628886,0.1468823508628887,2019-03-01
37,327537.485723551,845906.2134771141,1173443.699200665,0.17344369920066516,2019-03-04
38,310189.06422866543,873964.0953379709,1184153.1595666362,0.18415315956663614,2019-03-05
39,287236.9513937381,910649.1262173888,1197886.077611127,0.19788607761112686,2019-03-06
40,233439.34850735147,985976.4480848159,1219415.7965921673,0.21941579659216726,2019-03-07
41,261960.4097764923,964330.2315761046,1226290.641352597,0.2262906413525969,2019-03-08
42,234282.00546477822,947971.4474674262,1182253.4529322044,0.1822534529322044,2019-03-11
43,282705.1172508744,897386.2680198711,1180091.3852707455,0.18009138527074553,2019-03-12
44,285549.14359070244,906649.0952561848,1192198.2388468874,0.19219823884688747,2019-03-13
45,279580.87828939984,901428.3339076664,1181009.2121970663,0.18100921219706634,2019-03-14
46,271379.01128038415,904867.149207243,1176246.1604876271,0.1762461604876271,2019-03-15
47,251037.35744884307,929441.8895778129,1180479.2470266558,0.18047924702665585,2019-03-18
48,246160.80885977423,953329.9208741105,1199490.7297338848,0.19949072973388482,2019-03-19
49,213604.45466134013,979878.4078931567,1193482.8625544969,0.19348286255449687,2019-03-20
50,191444.39057146935,999935.2223033824,1191379.6128748518,0.19137961287485172,2019-03-21
51,171646.6473299368,1022745.7844720763,1194392.4318020132,0.19439243180201315,2019-03-22
52,174735.73432132823,1015155.4127300195,1189891.147051348,0.1898911470513478,2019-03-25
53,147768.65144223213,1018078.8962939521,1165847.5477361842,0.16584754773618426,2019-03-26
54,148185.8344134751,1009878.2012673977,1158064.0356808729,0.1580640356808729,2019-03-27
55,105020.03638914945,1056373.4705257085,1161393.506914858,0.161393506914858,2019-03-28
56,89506.92661273904,1061598.7267556896,1151105.6533684286,0.15110565336842852,2019-03-29
57,93863.77688638982,1102468.6284445634,1196332.4053309532,0.1963324053309532,2019-04-01
58,66125.07710129,1161614.1701842898,1227739.2472855798,0.2277392472855797,2019-04-02
59,58300.666494550656,1171014.8668024074,1229315.533296958,0.22931553329695809,2019-04-03
60,40342.445842606394,1176748.4861069873,1217090.9319495938,0.21709093194959372,2019-04-04
61,57000.03963041015,1195197.9050312191,1252197.9446616294,0.25219794466162937,2019-04-08
62,65524.337120820346,1178307.5629379596,1243831.9000587799,0.24383190005877986,2019-04-09
63,57055.86022155818,1155970.9248447102,1213026.7850662684,0.21302678506626838,2019-04-10
64,43245.27372368649,1166341.1537784745,1209586.4275021611,0.20958642750216105,2019-04-11
65,75719.81407649835,1108646.4138632477,1184366.227939746,0.18436622793974622,2019-04-12
66,39702.47732694792,1145585.416578881,1185287.893905829,0.1852878939058289,2019-04-15
67,24598.88389942656,1160957.2500135703,1185556.1339129969,0.18555613391299675,2019-04-16
68,36142.36560451426,1184863.192864559,1221005.5584690731,0.2210055584690731,2019-04-17
69,4160.6478122079425,1242700.2351048372,1246860.8829170451,0.2468608829170451,2019-04-18
70,13247.042215108704,1231744.8731395188,1244991.9153546274,0.2449919153546274,2019-04-19
71,65966.5287274335,1188106.2403702617,1254072.7690976951,0.25407276909769516,2019-04-22
72,57535.40528218837,1179772.3339717002,1237307.7392538886,0.2373077392538887,2019-04-23
73,65267.092217349375,1179334.8209141567,1244601.9131315062,0.24460191313150625,2019-04-24
74,4624.64849276729,1244797.7055869668,1249422.354079734,0.249422354079734,2019-04-25
75,64267.07217298291,1166778.1875474805,1231045.2597204633,0.2310452597204633,2019-04-26
76,109229.295324981,1115629.9607779675,1224859.2561029484,0.22485925610294855,2019-04-29
77,116865.56793462351,1095394.129732529,1212259.6976671524,0.21225969766715247,2019-04-30
78,106188.6049087571,1094652.91050519,1200841.5154139472,0.20084151541394712,2019-05-06
79,88797.39505295487,1018515.2720486934,1107312.6671016482,0.10731266710164822,2019-05-07
80,109433.36649539233,1036881.7679192924,1146315.1344146847,0.1463151344146847,2019-05-08
81,89980.82148082809,1040242.3439308205,1130223.1654116486,0.13022316541164858,2019-05-09
82,91775.52426812732,1025701.1566323235,1117476.6809004508,0.11747668090045083,2019-05-10
83,73086.29091572348,1082408.9348849165,1155495.22580064,0.1554952258006399,2019-05-13
84,12396.489369097713,1121853.1225173166,1134249.6118864142,0.13424961188641427,2019-05-14
85,15159.523759734268,1111483.1086796145,1126642.6324393488,0.1266426324393488,2019-05-15
86,68060.23330782367,1078784.862199728,1146845.0955075517,0.14684509550755176,2019-05-16
87,22439.40767295565,1122764.8481146968,1145204.2557876525,0.1452042557876525,2019-05-17
88,3499.1672420511827,1116224.3786221342,1119723.5458641853,0.11972354586418521,2019-05-20
89,65261.426454999055,1054563.3639378333,1119824.7903928324,0.11982479039283245,2019-05-21
90,35805.12122856403,1094294.4881423418,1130099.609370906,0.13009960937090592,2019-05-22
91,30783.556038461677,1102010.8901922295,1132794.4462306912,0.13279444623069114,2019-05-23
92,80347.97956714506,1037379.4065586891,1117727.3861258342,0.11772738612583411,2019-05-24
93,52624.06164169459,1063834.3375721627,1116458.3992138573,0.11645839921385726,2019-05-27
94,23161.2727643759,1113102.0114584274,1136263.2842228033,0.13626328422280332,2019-05-28
95,7526.398458456328,1134538.8653907476,1142065.263849204,0.14206526384920393,2019-05-29
96,63633.803053572185,1078660.6579953383,1142294.4610489104,0.1422944610489103,2019-05-30
97,45871.995139940525,1088076.5363288394,1133948.5314687798,0.13394853146877983,2019-05-31
98,12656.935893844675,1114591.1723510143,1127248.108244859,0.12724810824485888,2019-06-03
99,70615.83475716446,1061816.4840239345,1132432.3187810988,0.13243231878109873,2019-06-04
100,41175.41369752879,1085031.6684886694,1126207.0821861983,0.12620708218619825,2019-06-05
101,45465.49361217658,1059774.45135873,1105239.9449709065,0.1052399449709065,2019-06-06
102,6702.283331048993,1106762.7336877526,1113465.0170188015,0.11346501701880163,2019-06-10
103,58759.565319311296,1056568.3097813881,1115327.8751006995,0.11532787510069942,2019-06-11
104,79881.94799628796,1064103.0904929177,1143985.0384892058,0.14398503848920585,2019-06-12
105,36689.02529501481,1096619.1444828305,1133308.1697778453,0.13330816977784532,2019-06-13
106,86538.15680188528,1050082.686585143,1136620.8433870282,0.13662084338702818,2019-06-14
107,133003.04011365116,993769.7032217246,1126772.7433353758,0.1267727433353758,2019-06-17
108,96886.68005054581,1031064.0507519735,1127950.7308025192,0.12795073080251917,2019-06-18
109,102001.29916509749,1026485.3333852097,1128486.632550307,0.12848663255030712,2019-06-19
110,124710.10077201379,1020895.0950485818,1145605.1958205956,0.1456051958205955,2019-06-20
111,101682.14563663705,1078417.4850533742,1180099.6306900112,0.18009963069001111,2019-06-21
112,71356.59486893541,1126993.0851002573,1198349.6799691927,0.19834967996919262,2019-06-24
113,84718.47823496828,1117126.0338798924,1201844.5121148608,0.20184451211486087,2019-06-25
114,123428.62382223654,1072783.2524435364,1196211.8762657729,0.19621187626577274,2019-06-26
115,129519.00988647468,1057594.7692923858,1187113.7791788604,0.1871137791788604,2019-06-27
116,115463.91103966726,1077781.469591675,1193245.3806313423,0.19324538063134233,2019-06-28
117,115024.27295550254,1071126.9319608808,1186151.2049163834,0.18615120491638337,2019-07-01
118,96396.74813248246,1116510.0975798008,1212906.8457122832,0.21290684571228313,2019-07-02
119,86210.08413638605,1118868.8569958888,1205078.941132275,0.20507894113227487,2019-07-03
120,85912.90185243262,1112198.3503109685,1198111.252163401,0.1981112521634012,2019-07-04
121,108744.25201260537,1083556.2307788425,1192300.4827914478,0.19230048279144785,2019-07-05
122,95662.85517603967,1102220.5177781368,1197883.3729541765,0.19788337295417646,2019-07-08
123,132721.23048603587,1041456.9865551424,1174178.2170411784,0.1741782170411783,2019-07-09
124,106501.10668523789,1067594.7473773756,1174095.8540626136,0.17409585406261363,2019-07-10
125,55011.557018133506,1127384.3858405573,1182395.9428586909,0.18239594285869076,2019-07-11
126,63407.33213778753,1116109.5973812756,1179516.929519063,0.17951692951906306,2019-07-12
127,73374.58220994766,1108828.5065574686,1182203.0887674163,0.1822030887674162,2019-07-15
128,89994.54112097593,1108465.6633164857,1198460.2044374617,0.1984602044374617,2019-07-16
129,110486.42684513882,1090677.7840137482,1201164.210858887,0.20116421085888714,2019-07-17
130,84073.9698953547,1112529.4126335487,1196603.3825289034,0.19660338252890353,2019-07-18
131,47887.37469573625,1139693.1869993596,1187580.5616950959,0.18758056169509585,2019-07-19
132,94420.86835994486,1102370.1709745785,1196791.0393345233,0.19679103933452335,2019-07-22
133,50308.56707590402,1139867.8002645723,1190176.3673404763,0.19017636734047616,2019-07-23
134,54142.22423524082,1147268.144292895,1201410.3685281358,0.20141036852813587,2019-07-24
135,21789.031041593807,1197403.3216900842,1219192.352731678,0.21919235273167792,2019-07-25
136,21126.56278166091,1209792.6122370234,1230919.1750186842,0.2309191750186843,2019-07-26
