,date,actions,transactions
0,2019-01-03,"0     0.507477
1     1.000000
2    -0.318548
3     0.199106
4    -1.000000
5    -0.040787
6     1.000000
7     0.243441
8    -0.724427
9    -0.095574
10   -0.365223
11    0.308540
12   -1.000000
13    0.211470
14   -0.406144
15    0.397311
16   -0.191560
17   -0.692166
18   -1.000000
19   -0.269708
20   -0.012506
21   -1.000000
22    1.000000
23   -0.435365
24    1.000000
25    1.000000
26    0.907414
27   -0.414506
28    1.000000
29    0.145376
30   -1.000000
31    1.000000
32    1.000000
33   -1.000000
34   -0.557672
35    0.022023
36    0.407280
37   -1.000000
38    1.000000
39   -0.578939
40   -0.994773
41   -0.230853
42   -0.000104
43   -0.481967
44    0.207352
45    0.597640
46   -0.094280
47    0.496399
48    0.336165
49    0.737023
dtype: float32","[ 284.41217041  101.0221405     0.          227.24351501    0.
    0.          215.42066956  114.26383209    0.            0.
    0.           42.16589355    0.            1.8122499     0.
   67.01622009    0.            0.            0.            0.
    0.            0.          233.97833252    0.          360.73995972
  578.99853516  289.20648193    0.          368.51959229   70.94142914
    0.            0.         1563.9173584     0.            0.
    2.79058838  430.29211426    0.          256.9135437     0.
    0.            0.            0.            0.           17.51398468
   41.24531937    0.           45.11608505   58.19112015   86.69837952]"
1,2019-01-04,"0     0.601691
1     0.023846
2    -1.000000
3    -0.765500
4     0.554896
5    -0.079516
6    -0.345256
7    -0.134726
8     0.646160
9    -1.000000
10    0.844096
11   -0.173555
12    1.000000
13   -0.368561
14   -1.000000
15    0.618848
16   -0.442738
17    0.486519
18   -0.242701
19    0.758240
20   -0.386763
21   -0.879735
22   -1.000000
23   -0.536387
24   -0.435033
25    1.000000
26   -0.134955
27   -1.000000
28   -0.165467
29   -0.485252
30   -1.000000
31   -0.949474
32   -0.612620
33   -1.000000
34    0.289867
35   -0.560288
36   -1.000000
37    1.000000
38    0.500724
39    0.481515
40   -0.631000
41    0.461895
42   -0.188389
43   -1.000000
44   -0.639104
45   -0.836437
46    0.286476
47   -0.970932
48   -0.475566
49   -0.284805
dtype: float32","[ 333.43566895    2.4419198     0.         -227.24351501    0.
    0.          -73.44868469  -62.22641754  640.21899414    0.
  205.00804138  -24.60091591  196.55555725   -1.8122499     0.
  103.23973846    0.          186.38841248    0.          353.72271729
    0.            0.         -233.97833252    0.         -155.94598389
  551.96166992  -43.20665741    0.          -60.52621078  -70.94142914
    0.            0.         -952.69281006    0.          276.42175293
   -2.79058838 -430.29211426  191.37510681  127.30251312  459.10202026
    0.            0.            0.            0.          -17.51398468
  -41.24531937   39.55937195  -45.11608505  -58.19112015  -33.84206009]"
2,2019-01-07,"0     0.132810
1     1.000000
2    -0.630226
3     0.671961
4    -1.000000
5    -1.000000
6    -0.827089
7    -0.983464
8    -0.193159
9    -1.000000
10    0.500771
11   -0.237242
12    1.000000
13    0.979977
14    0.142192
15   -0.137178
16    0.250655
17   -0.259939
18   -0.288656
19   -1.000000
20    1.000000
21    0.100871
22   -0.167811
23   -1.000000
24    1.000000
25    0.448044
26   -1.000000
27    1.000000
28    0.068193
29   -1.000000
30   -0.811553
31    0.834893
32   -0.663910
33   -1.000000
34   -1.000000
35   -0.450197
36   -0.737432
37    0.292115
38   -0.773640
39    0.716158
40   -0.426644
41    0.602072
42   -0.466528
43    1.000000
44    0.207812
45   -0.156293
46    0.860738
47   -1.000000
48    1.000000
49   -0.987454
dtype: float32","[  72.48994446  102.15756989    0.          753.38751221    0.
    0.         -141.97198486  -52.03741455 -189.54649353    0.
  117.26622772  -17.56497765  190.33769226    8.35603523   45.08752823
  -21.92363739   47.74736023  -94.79564667    0.         -353.72271729
  243.18238831   54.39370728    0.            0.          349.27908325
  224.84289551 -245.99982452  439.91238403   24.36984062    0.
    0.            0.         -611.22454834    0.         -276.42175293
    0.            0.           53.87799835 -193.52037048  667.33612061
    0.            0.            0.          731.00482178   18.38288689
    0.          117.27096558    0.          171.15492249  -52.85631943]"
3,2019-01-08,"0     0.431047
1    -1.000000
2    -0.931809
3     0.638089
4    -0.585714
5    -0.749484
6     0.245794
7    -1.000000
8     0.277114
9     0.049718
10    0.739280
11    1.000000
12   -0.327269
13   -0.493591
14   -1.000000
15    0.084952
16    0.953830
17    1.000000
18    0.311928
19   -0.055252
20   -1.000000
21   -0.275125
22   -1.000000
23   -0.909904
24   -0.787820
25    0.209775
26    0.069627
27    0.317354
28   -0.689859
29   -1.000000
30    1.000000
31   -1.000000
32    1.000000
33    0.041325
34   -0.903319
35    1.000000
36    1.000000
37   -0.950936
38    0.364053
39   -0.346918
40   -1.000000
41    0.179547
42    1.000000
43   -0.728080
44   -0.540669
45   -0.653683
46   -0.498010
47   -0.112002
48    1.000000
49   -1.000000
dtype: float32","[ 234.80039978 -102.23966217    0.          704.35473633    0.
    0.           50.97812653    0.          268.31832886   11.17669392
  173.27702332  135.13221741  -61.64162827   -4.18447876  -45.08752823
   13.09796906  177.81341553  353.55178833  121.33772278    0.
 -238.31880188  -54.39370728    0.            0.         -267.85287476
  104.44763184   21.84704781  138.53796387 -247.02035522    0.
  309.14004517    0.         1542.02001953    3.86206603    0.
  128.4617157  1048.43786621 -179.22648621   92.23526764 -322.70196533
    0.            0.         1435.99755859 -530.04455566  -18.38288689
    0.          -68.20816803    0.          163.73043823    0.        ]"
4,2019-01-09,"0    -1.000000
1    -1.000000
2    -1.000000
3    -0.612119
4    -0.608080
5    -0.122711
6     0.870836
7     0.837393
8    -1.000000
9     1.000000
10   -0.959734
11   -1.000000
12    1.000000
13    1.000000
14   -1.000000
15   -0.487008
16   -1.000000
17   -0.933132
18   -0.305879
19    0.769410
20    0.605081
21   -0.673875
22   -0.970596
23    0.071481
24   -1.000000
25    1.000000
26    0.391328
27    0.548338
28    0.475147
29   -0.423507
30    0.901074
31   -0.305137
32    0.206993
33   -0.998614
34    1.000000
35    0.158368
36    0.672118
37   -0.287698
38   -0.652982
39   -1.000000
40    0.798758
41    0.858183
42   -0.190658
43    0.779880
44   -0.858447
45   -1.000000
46    0.214999
47    0.095502
48    0.936445
49    0.330803
dtype: float32","[-545.8157959  -102.11667633    0.         -667.96099854    0.
    0.          182.76132202  383.86456299 -718.99082947  227.57891846
 -222.19058228 -134.10578918  188.08943176    8.48742867    0.
  -75.44223022 -186.22805786 -332.51565552 -120.42092896  345.98901367
  147.4317627     0.            0.            0.         -286.22018433
  477.33151245  120.32051086  239.57666016  169.46783447    0.
  278.72363281    0.          322.80093384   -3.86206603  943.11151123
   20.95454407  710.09362793  -55.07780838 -167.42443848 -803.73617554
  231.60325623    0.         -275.21530151  566.97961426    0.
    0.           29.72242546    8.94416142  156.80232239   38.02319336]"
5,2019-01-10,"0     0.903742
1     0.337151
2    -0.753575
3     0.913900
4     1.000000
5    -0.082302
6     1.000000
7    -0.100160
8    -0.843571
9    -0.361360
10   -0.068635
11   -0.340430
12   -0.224981
13   -0.390492
14   -0.375735
15   -0.653174
16    1.000000
17    1.000000
18   -0.102980
19   -1.000000
20   -0.009460
21   -0.472182
22    1.000000
23    1.000000
24   -0.056247
25    1.000000
26   -0.759118
27    1.000000
28    0.680114
29   -0.720520
30    1.000000
31   -0.121895
32    0.771964
33    0.934877
34   -1.000000
35    0.760202
36    1.000000
37   -1.000000
38   -1.000000
39    1.000000
40   -0.373573
41   -0.284106
42    0.606372
43    0.935343
44   -1.000000
45   -1.000000
46    0.004496
47    1.000000
48    1.000000
49   -0.879593
dtype: float32","[ 4.91794739e+02  3.38513680e+01  0.00000000e+00  9.76764587e+02
  0.00000000e+00  0.00000000e+00  2.05948624e+02 -4.53467216e+01
  0.00000000e+00 -7.93010254e+01 -1.57044191e+01 -1.02642822e+00
 -3.96064796e+01 -3.25332212e+00  0.00000000e+00 -8.59880600e+01
  1.85334824e+02  3.55603607e+02 -9.16793823e-01 -3.45989014e+02
 -2.23334360e+00  0.00000000e+00  2.30694351e+02  0.00000000e+00
  0.00000000e+00  4.55925659e+02 -1.42167559e+02  4.22854431e+02
  2.40518402e+02  0.00000000e+00  3.08956665e+02  0.00000000e+00
  1.19710339e+03  8.63729858e+01 -9.39672974e+02  9.99512863e+01
  1.04445190e+03 -1.09488106e+01 -1.15506516e+02  9.35086304e+02
 -1.07112274e+02  0.00000000e+00  8.63999084e+02  6.80002258e+02
  0.00000000e+00  0.00000000e+00  6.16239727e-01  9.03900909e+01
  1.66943237e+02 -3.80231934e+01]"
6,2019-01-11,"0    -0.970781
1     0.321870
2     1.000000
3     0.731983
4    -1.000000
5    -0.330615
6     0.448374
7    -0.672198
8    -1.000000
9     1.000000
10   -0.015743
11   -0.076040
12    1.000000
13   -0.711501
14   -1.000000
15    0.589223
16   -1.000000
17    1.000000
18   -0.837497
19    0.156093
20    1.000000
21   -0.301120
22    0.607521
23   -0.485043
24    1.000000
25   -0.819140
26   -0.015856
27    0.395198
28    0.141182
29    0.278954
30    1.000000
31    0.105446
32   -1.000000
33   -0.106497
34   -1.000000
35   -0.758741
36   -0.972593
37   -1.000000
38    0.056095
39   -0.310177
40    0.517585
41   -1.000000
42   -0.434162
43    1.000000
44    0.530052
45    0.568451
46   -0.532015
47    0.862106
48   -0.790042
49   -0.563933
dtype: float32","[ -529.86779785    32.89464951   977.3260498    789.71075439
     0.             0.            91.80619812  -307.8815918
     0.           222.63186646    -3.5828011      0.
   177.25341797    -5.90237617     0.            91.39259338
  -184.45011902   347.81158447     0.            68.50492096
   243.06416321     0.           138.33132935     0.
   299.38146973  -385.57217407     0.           168.36157227
    50.02603149   135.74542236   312.48828125     0.
 -1568.38146973    -9.74507904    -3.4385376   -100.8551712
 -1023.60998535     0.            14.16294193  -291.57452393
   151.95927429     0.          -623.45587158   725.0369873
    44.54748154    38.46632385   -72.73466492    79.26028442
  -134.0316925      0.        ]"
7,2019-01-14,"0     0.358375
1    -0.027089
2     0.294389
3    -0.340391
4    -1.000000
5     0.085346
6     0.400726
7    -1.000000
8    -1.000000
9     0.237650
10   -0.232606
11    0.642164
12    0.932880
13    0.272019
14   -0.264280
15   -0.941302
16   -0.345712
17   -0.697306
18    0.219357
19    0.941785
20   -1.000000
21    0.439189
22   -0.356479
23    0.349590
24    0.697988
25    1.000000
26   -1.000000
27    1.000000
28   -0.606198
29   -1.000000
30   -0.870832
31   -0.198463
32   -0.056109
33   -1.000000
34   -0.183663
35    0.927372
36   -1.000000
37   -0.387734
38    1.000000
39   -0.453517
40   -0.099645
41    0.584500
42    0.685039
43   -0.124275
44    1.000000
45    0.698105
46    1.000000
47    1.000000
48   -1.000000
49   -0.262048
dtype: float32","[  193.85452271    -2.80789661   286.21444702  -363.8053894
     0.            54.12665558    80.15866852   -30.63624954
     0.            52.21471024   -53.51096344    83.08560181
   163.43035889     2.19585729     0.           -91.39259338
   -40.21742249  -247.65634155    81.38699341   414.03704834
  -244.48921204   237.07662964   -79.75383759     0.
   218.24530029   473.3324585      0.           421.11645508
  -213.82209778  -135.74542236  -271.30740356     0.
   -87.50140381   -76.6279068      0.           122.20890045
 -1048.43786621     0.           250.6315918   -425.57385254
   -28.85987091     0.           976.08947754   -89.73681641
    83.240242      47.23988342   136.64001465    90.79238129
  -168.00454712     0.        ]"
8,2019-01-15,"0    -0.063313
1    -1.000000
2     1.000000
3     1.000000
4    -1.000000
5     0.070519
6     0.699424
7     0.180267
8     0.297367
9     1.000000
10    0.012792
11    0.177525
12    0.277458
13    0.199846
14   -0.922358
15    0.556618
16   -0.566609
17   -0.014258
18   -0.471454
19   -0.113012
20   -0.928317
21   -0.339489
22    0.349840
23   -0.806376
24   -0.101448
25    1.000000
26    1.000000
27   -1.000000
28   -0.462188
29    0.625514
30   -1.000000
31   -0.578770
32    0.516205
33    0.381928
34    0.711155
35   -0.651197
36   -1.000000
37    1.000000
38    0.282506
39    0.524271
40    0.230457
41   -0.454161
42   -1.000000
43    1.000000
44   -0.649107
45   -0.049824
46   -1.000000
47    0.221733
48   -0.281396
49   -0.624383
dtype: float32","[  -34.21349335   -65.20341253   979.0291748   1080.91748047
     0.            43.70949173   140.7059021     84.18021393
   283.62286377   222.36354065     3.04736328    23.65384674
    48.26417542     1.64238298     0.            85.55686951
     0.            -5.03891563   -81.38699341   -50.9540863
  -148.63695669  -182.68382263    79.34853363     0.
   -31.25261307   465.95718384   304.16586304  -423.55291748
  -164.84590149   306.6723938   -314.95071411     0.
   811.92437744    35.18114471   676.91625977   -86.44955444
  -730.93554688   195.57606506    71.78795624   495.44552612
    66.33618927     0.         -1428.57141113   729.00109863
   -55.94968414    -3.38840747  -138.22502136    20.2760582
   -50.16355515     0.        ]"
9,2019-01-16,"0     0.635351
1     1.000000
2     0.765833
3     1.000000
4    -0.475743
5    -0.898059
6    -0.981857
7    -0.681308
8     0.057268
9     0.133452
10   -1.000000
11    0.209099
12   -1.000000
13   -0.229716
14    0.341460
15   -1.000000
16   -0.655321
17   -0.556213
18   -0.313069
19    0.374142
20   -0.633466
21    0.323114
22    0.114982
23    1.000000
24    0.478655
25   -0.845937
26   -1.000000
27    0.044924
28    0.458582
29    1.000000
30    1.000000
31   -0.561175
32    0.573139
33    1.000000
34    0.906753
35    0.742468
36   -1.000000
37    1.000000
38    0.231014
39   -1.000000
40    1.000000
41    0.005203
42   -0.262994
43    1.000000
44    0.153505
45    0.631064
46    0.049013
47   -0.774322
48   -0.854206
49   -1.000000
dtype: float32","[ 341.64187622  105.21996307  741.99951172 1072.8001709     0.
  -97.83614731 -193.91259766  -84.18021393   54.0156517    29.35607147
 -203.60988975   26.81915092 -169.11602783   -1.78665626  110.55271149
  -85.55686951    0.         -192.20970154    0.          164.90867615
    0.          169.11106873   25.09478378    0.          139.37158203
 -358.36587524 -303.35018921   18.74883461  161.43972778  481.24584961
  310.24874878    0.          893.79754639   89.80352783  841.2845459
   97.03160095    0.          188.00950623   57.84296799 -713.38345337
  279.10351562    0.         -371.84936523  726.02661133   12.75673008
   42.70326996    6.69624567  -66.48561096 -146.90309143    0.        ]"
