,date,actions,transactions
0,2019-01-03,"0     1.0
1     1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[ 560.44384766  101.0221405   992.89093018 1141.31799316    0.
  645.23620605  215.42066956    0.            0.            0.
    0.            0.          190.40438843    8.5697546   322.70349121
    0.            0.          393.12194824  385.83224487  459.3772583
  239.11546326  589.10162354    0.            0.            0.
    0.            0.          441.80929565  368.51959229  487.98577881
  337.24310303    0.         1563.9173584    95.3532486     0.
    0.         1056.50170898  195.07704163  256.9135437     0.
    0.            0.         1510.7565918   744.269104     84.46516418
   69.01368713    0.           90.88677979  173.10261536  117.63321686]"
1,2019-01-04,"0     1.0
1     1.0
2     1.0
3     1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20   -1.0
21   -1.0
22   -1.0
23   -1.0
24    1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[ 554.16400146  102.40424347  989.39367676 1134.53295898    0.
  654.9989624   212.73698425    0.            0.            0.
    0.            0.          196.55555725    8.70018864  316.57992554
    0.            0.          383.10653687  388.12643433  466.50494385
 -239.11546326 -577.24053955    0.            0.          358.46920776
    0.            0.          444.87942505  365.79119873  485.71984863
  328.70516968    0.         1555.11315918   94.49687958  953.61608887
    0.         1056.50170898  191.37510681  254.23686218    0.
    0.            0.         1470.45849609  739.10925293   88.64556885
   69.5187912     0.           94.15859222  176.32516479  118.82553101]"
2,2019-01-07,"0     1.0
1     1.0
2     1.0
3     1.0
4    -1.0
5     1.0
6    -1.0
7     1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[ 545.8157959   102.15756989  970.55340576 1121.17675781    0.
  643.63317871 -207.48265076  449.40991211    0.            0.
    0.            0.          190.33769226    8.52676296  317.08987427
    0.            0.          364.68399048  384.12783813  457.73294067
  243.18238831  -11.86108398    0.            0.         -349.27908325
    0.            0.          439.91238403  357.36749268  471.68920898
  309.69338989    0.         1533.41308594   92.97741699 -909.73602295
    0.         1042.47021484  184.44126892  250.14257812  931.82751465
    0.            0.         1435.99755859  731.00482178   88.4592514
   69.44203186    0.           93.46842957  171.15492249  115.83190155]"
3,2019-01-08,"0     1.0
1     1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18   -1.0
19    1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[  544.72161865   102.23966217   973.91845703 -1103.85021973
     0.           638.09692383  -207.40174866  -449.40991211
     0.             0.             0.             0.
   188.35157776     8.47761536   318.52612305   154.18107605
     0.           353.55178833  -388.99304199   448.10494995
   238.31880188   537.5534668      0.             0.
    -9.19012451     0.             0.           436.54016113
   358.07385254   467.88879395   309.14004517     0.
  1542.02001953    93.45637512   924.45367432     0.
  1048.43786621   188.47370911   253.35697937   930.19793701
     0.             0.         -1435.99755859   728.00335693
    86.93671417    68.08047485     0.            92.24275208
   163.73043823   111.8358078 ]"
4,2019-01-09,"0     1.0
1     1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20    1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[  545.8157959    102.11667633   975.62878418 -1091.2265625
     0.           641.24761963   -13.27325439     0.
     0.             0.             0.             0.
   188.08943176     8.48742867   337.18624878   154.9095459
     0.           356.34362793   393.68838501   449.6807251
   243.65640259   540.37115479     0.             0.
     0.             0.             0.           436.91400146
   356.66390991   467.88879395   309.32363892     0.
  1559.47851562    94.29372406   943.11151123     0.
  1056.50170898   191.44325256   256.39974976   933.46276855
     0.             0.         -1443.50134277   727.00836182
    84.74863434    67.48731232     0.            93.65435791
   167.44416809   114.94226074]"
5,2019-01-10,"0     1.0
1     1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6     1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17    1.0
18    1.0
19    1.0
20    1.0
21    1.0
22   -1.0
23    1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42    1.0
43   -1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[  544.1762085    100.40422821   973.91845703 -1068.78710938
     0.           640.45910645   205.94862366     0.
     0.             0.             0.             0.
   176.0433197      8.33135033   333.75610352   156.21582031
     0.           355.60360718   372.87832642   435.13827515
   236.07064819   533.11157227     0.             0.
     0.             0.             0.           422.85443115
   353.64431763   475.55187988   308.95666504     0.
  1550.72424316    92.38967896   939.67297363     0.
  1044.4519043    187.7454834    252.11143494   935.08630371
     0.             0.          1424.86682129  -727.00836182
    82.93964386    67.54155731     0.            90.39009094
   166.9432373    113.24002075]"
6,2019-01-11,"0    -1.0
1    -1.0
2     1.0
3     1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9     1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21   -1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46    1.0
47    1.0
48    1.0
49   -1.0
dtype: float32","[-545.8157959  -102.19869995  977.3260498  1078.86499023  307.04797363
  646.03656006 -204.7535553     0.            0.          222.63186646
    0.            0.          177.25341797    8.29566956  322.91604614
 -155.10705566    0.          347.81158447  373.94641113 -438.87368774
 -243.06416321 -543.21258545    0.            0.            0.
    0.            0.          426.01776123  354.33599854  486.6227417
 -312.48828125    0.         1568.38146973   91.50587463 -957.17596436
    0.         1052.4543457   191.03291321  252.48316956  940.02630615
    0.            0.         1435.99755859  725.0369873    84.04364014
   67.66870117  136.71549988   91.93795776  169.65139771 -115.09281158]"
7,2019-01-14,"0    -1.0
1    -1.0
2     1.0
3     1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33   -1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[-540.92651367 -103.6557312     0.            0.            0.
    0.           -1.19506836    0.            0.         -219.71261597
    0.            0.            0.            0.            0.
 -152.19866943    0.            0.            0.         -439.63000488
 -244.48921204    0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.          -90.60778046    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         -136.64001465    0.            0.            0.        ]"
8,2019-01-15,"0     1.0
1    -1.0
2     1.0
3     1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21   -1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33    1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42    1.0
43    1.0
44    1.0
45    1.0
46    1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[ 540.38867188 -106.29681396  979.0291748  1080.91748047  303.43487549
  619.82446289    0.            0.            0.           -2.91925049
    0.            0.          173.95115662    8.21823788  324.51306152
 -153.70852661    0.          353.40435791  374.21508789 -450.87289429
 -251.74586487 -538.11468506    0.            0.            0.
    0.            0.          423.55291748  356.66390991  490.27297974
  314.95071411    0.         1572.87109375   92.11461639  951.85516357
    0.         1056.50170898  195.57606506  254.11152649  945.01879883
    0.            0.         1428.57141113  729.00109863   86.19486237
   68.00685883  138.22502136   91.44345093  178.26646423  120.28859711]"
9,2019-01-16,"0    -1.0
1    -1.0
2     1.0
3    -1.0
4     1.0
5     1.0
6    -1.0
7    -1.0
8    -1.0
9    -1.0
10   -1.0
11   -1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16   -1.0
17    1.0
18    1.0
19   -1.0
20   -1.0
21    1.0
22   -1.0
23   -1.0
24   -1.0
25   -1.0
26   -1.0
27    1.0
28    1.0
29    1.0
30    1.0
31    1.0
32    1.0
33   -1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44    1.0
45    1.0
46   -1.0
47    1.0
48    1.0
49    1.0
dtype: float32","[ -537.72113037  -105.21996307     0.         -1072.8001709
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.            -4.29219055
     0.             0.             0.          -440.76553345
  -221.92900085     0.             0.             0.
     0.             0.             0.             0.
     0.             0.             0.             0.
     0.           -89.80352783     0.             0.
     0.             0.             0.             0.
     0.             0.         -1413.90722656     0.
     0.             0.          -136.62098694     0.
     0.             0.        ]"
