,date,actions,transactions
0,2019-01-03,"0     0.876657
1     0.272184
2     0.276601
3    -1.000000
4     0.349521
5     0.316562
6     0.723343
7    -0.189129
8    -0.241145
9    -0.211347
10    0.146229
11   -0.281059
12   -1.000000
13    0.425429
14    1.000000
15   -0.712685
16    1.000000
17   -0.232913
18    1.000000
19   -0.827247
20   -0.941020
21   -0.695406
22   -1.000000
23   -0.538722
24    0.109754
25   -0.094317
26   -0.134322
27    0.058205
28    0.157143
29   -0.077063
30   -1.000000
31    0.364365
32   -0.313188
33    0.414715
34   -0.017418
35   -0.042442
36   -0.429413
37    0.319280
38   -1.000000
39    0.261789
40   -0.553599
41   -0.688125
42    0.374540
43   -0.010681
44    1.000000
45   -0.204289
46    0.354761
47    0.651252
48   -1.000000
49   -1.000000
dtype: float32","[491.3168335   27.49663162 274.634552     0.           0.
 204.25738525 155.82312012   0.           0.           0.
  34.59231186   0.           0.           3.64581823 322.70349121
   0.         187.71446228   0.         385.83224487   0.
   0.           0.           0.           0.          39.59277344
   0.           0.          25.71544456  57.91014099   0.
   0.           0.           0.          39.54446411   0.
   0.           0.          62.28420639   0.         249.60293579
   0.           0.         565.8394165    0.          84.46516418
   0.          48.77097321  59.19023895   0.           0.        ]"
1,2019-01-04,"0    -1.000000
1     0.016613
2     0.310427
3     1.000000
4    -0.920455
5    -0.761970
6    -1.000000
7    -1.000000
8    -1.000000
9     1.000000
10   -0.309362
11   -1.000000
12    0.148750
13    1.000000
14    1.000000
15   -0.469304
16    1.000000
17    0.168184
18   -0.332783
19    1.000000
20    0.685991
21   -0.145657
22   -0.561963
23    0.496585
24    0.938692
25    0.393395
26   -0.250987
27   -0.371856
28   -0.209450
29    1.000000
30    1.000000
31    0.884259
32    1.000000
33    0.073834
34    0.377632
35   -0.418832
36   -0.324275
37   -0.942525
38   -1.000000
39   -0.215432
40   -1.000000
41    0.110974
42   -0.515938
43    0.966160
44    0.646488
45    1.000000
46    0.958705
47   -1.000000
48   -0.945753
49    0.757359
dtype: float32","[-491.3168335     1.70125008  307.13461304 1134.53295898    0.
 -204.25738525 -155.82312012    0.            0.          223.17045593
  -34.59231186    0.           29.23756981    8.70018864  316.57992554
    0.          191.63769531   64.43253326 -129.16175842  466.50494385
  178.71783447    0.            0.            0.          336.49206543
  217.1391449     0.          -25.71544456  -57.91014099  485.71984863
  328.70516968    0.         1555.11315918    6.97703743  360.11575317
    0.            0.          -62.28420639    0.         -205.40458679
    0.            0.         -565.8394165   714.09790039   57.30825424
   69.5187912   132.38749695  -59.19023895    0.           89.99359131]"
2,2019-01-07,"0     0.093185
1     0.987779
2     0.154248
3     1.000000
4    -0.339509
5     0.106658
6    -1.000000
7    -0.932558
8    -1.000000
9     1.000000
10    0.144761
11   -1.000000
12   -0.205404
13    0.427884
14    0.896275
15    1.000000
16    0.543802
17    0.030089
18   -0.071492
19   -1.000000
20   -0.872070
21    1.000000
22    1.000000
23   -0.026718
24    1.000000
25   -1.000000
26    0.205134
27   -0.104048
28    0.328243
29    0.438118
30   -0.821230
31    1.000000
32    1.000000
33    0.210315
34   -0.042232
35   -0.937462
36   -0.845598
37   -0.101826
38    0.021893
39   -0.246898
40   -1.000000
41   -0.807327
42    0.394794
43    0.045769
44    0.181237
45    0.720726
46   -0.257646
47   -0.456337
48    1.000000
49    1.000000
dtype: float32","[  50.86171722  100.90908051  149.70632935 1121.17675781    0.
   68.64865875    0.            0.            0.          223.44171143
   33.89890671    0.          -29.23756981    3.64846826  284.19970703
  159.81895447  103.58922577   10.97302437  -27.46196556 -457.73294067
 -178.71783447  539.24053955  233.56192017    0.          349.27908325
 -217.1391449    64.29355621    0.          117.3035202   206.65574646
 -254.32939148    0.         1533.41308594   19.55457306  -38.41986465
    0.            0.            0.            5.47632217  -44.198349
    0.            0.          566.92260742   33.45748901   16.0321064
   50.04870605  -35.10287857    0.          171.15492249  115.83190155]"
3,2019-01-08,"0     1.000000
1    -0.135423
2    -0.631445
3    -0.360499
4     0.579942
5    -0.750212
6    -1.000000
7     0.047448
8    -0.680779
9    -0.015638
10    0.322715
11    0.089418
12   -1.000000
13    0.569168
14    0.620127
15   -1.000000
16    1.000000
17    1.000000
18    1.000000
19    0.878274
20    0.176717
21    0.209644
22    0.245970
23   -0.036891
24   -0.896139
25    0.159286
26    0.222723
27   -1.000000
28    0.733812
29   -1.000000
30    0.078950
31    1.000000
32    1.000000
33   -0.750904
34   -0.265620
35   -0.436854
36   -1.000000
37    0.853913
38    0.879342
39    0.120591
40   -1.000000
41   -0.825420
42    0.379557
43   -0.048407
44   -0.494761
45    1.000000
46   -1.000000
47    0.049671
48    0.742892
49    0.019193
dtype: float32","[ 544.72161865  -13.8455801  -614.9755249  -397.93667603    0.
  -68.64865875    0.           21.4465847     0.           -3.51550031
   75.64009094   12.08322525    0.            4.82519007  197.52674866
 -154.18107605  186.4203949   353.55178833  388.99304199  393.55908203
   42.11507416  112.69510651   56.8187027     0.         -304.68060303
   79.30914307   69.88406372    0.          262.75894165 -467.88879395
   24.40652657    0.         1542.02001953  -66.0760746  -245.55329895
    0.            0.          160.94020081  222.78742981  112.17377472
    0.            0.          545.04272461  -35.24040604  -43.01293564
   68.08047485 -136.96153259    4.58180714  121.63401031    2.14644933]"
4,2019-01-09,"0     1.000000
1     0.485572
2     0.191273
3     0.824453
4     1.000000
5     0.873631
6    -0.183008
7     1.000000
8    -0.098145
9    -0.143457
10    1.000000
11   -0.047384
12   -0.701203
13    0.038117
14   -0.117634
15   -0.484051
16    0.857544
17   -1.000000
18   -0.101114
19    0.822465
20   -1.000000
21    0.933809
22    0.725153
23    0.335697
24   -1.000000
25   -0.316186
26   -0.678609
27    0.322227
28   -0.547726
29   -0.491684
30   -0.756300
31    1.000000
32    0.282892
33    0.666729
34   -0.858569
35   -0.068946
36    0.924489
37   -1.000000
38    1.000000
39    0.538234
40   -0.486522
41    0.576205
42   -1.000000
43    0.485569
44   -1.000000
45    1.000000
46    0.512734
47    1.000000
48    0.616732
49    1.000000
dtype: float32","[ 5.45815796e+02  4.95850296e+01  1.86611526e+02  8.99665222e+02
  0.00000000e+00  5.60213989e+02  0.00000000e+00  4.58404388e+02
  0.00000000e+00 -3.26477127e+01  2.31512558e+02 -6.35445976e+00
  0.00000000e+00  3.23517501e-01 -3.96645508e+01 -5.63787842e+00
  1.59698715e+02 -3.56343628e+02 -3.98073997e+01  3.69846710e+02
 -4.21150742e+01  5.04603149e+02  1.68769012e+02  0.00000000e+00
 -3.38705200e+02 -7.93091431e+01 -1.34177620e+02  1.40785645e+02
 -1.95354065e+02 -2.24486801e+02 -9.87823048e+01  0.00000000e+00
  4.41164703e+02  6.28683434e+01 -7.61425896e+01  0.00000000e+00
  9.76723755e+02 -1.60940201e+02  2.56399750e+02  5.02421539e+02
  0.00000000e+00  0.00000000e+00 -1.11196533e+03  3.53012482e+02
 -8.47486343e+01  6.74873123e+01  7.08826828e+01  9.36543579e+01
  1.03268204e+02  1.14942261e+02]"
5,2019-01-10,"0     1.000000
1     1.000000
2    -0.195358
3     0.540312
4    -0.427721
5     0.289016
6     0.802399
7    -0.155470
8     1.000000
9    -0.032796
10   -1.000000
11   -0.168452
12    1.000000
13   -1.000000
14   -0.327670
15   -1.000000
16    0.229537
17    1.000000
18    0.322360
19   -0.438746
20    1.000000
21   -0.347714
22    0.815008
23   -0.545996
24   -0.607306
25   -1.000000
26   -1.000000
27    0.453758
28    0.904257
29    0.064245
30   -0.990373
31   -0.152829
32   -1.000000
33   -0.183119
34    0.220791
35   -0.376349
36    1.000000
37   -1.000000
38   -1.000000
39   -0.869717
40    1.000000
41   -1.000000
42    0.065925
43    0.238709
44    0.485434
45   -1.000000
46   -0.239404
47    0.123757
48    1.000000
49   -0.915159
dtype: float32","[  544.1762085    100.40422821  -190.26307678   577.47827148
     0.           185.10263062   165.25289917   -70.3877182
   964.59918213    -7.19713545  -228.81095886    -5.72876549
   176.0433197     -8.33135033  -109.36193085     0.
    42.54113007   355.60360718   120.2009964   -190.91534424
   236.07064819  -185.37039185   188.01765442     0.
   -81.9781189      0.             0.           191.87373352
   319.7852478     30.55165482     0.             0.
 -1550.72424316   -16.91829872   207.47177124     0.
  1044.4519043      0.          -252.11143494  -614.59531403
   286.72354126     0.            93.93383026   173.54359436
    40.26169205   -67.54155731   -32.81645203    11.18637657
   166.9432373   -103.63266754]"
6,2019-01-11,"0    -1.000000
1    -0.616302
2    -1.000000
3    -0.931455
4     1.000000
5    -0.494756
6    -0.725911
7    -0.973308
8     1.000000
9    -1.000000
10   -1.000000
11   -0.263636
12    0.375724
13   -1.000000
14    0.199974
15    1.000000
16   -1.000000
17    0.131207
18    0.890978
19    0.605548
20   -0.576538
21    0.347800
22    0.480597
23   -0.702284
24    0.113296
25    0.371902
26    0.062411
27   -1.000000
28    0.789605
29   -1.000000
30   -0.087190
31   -0.521536
32   -1.000000
33   -1.000000
34    0.657370
35    1.000000
36   -0.188076
37   -0.842439
38    0.115748
39   -0.761623
40   -1.000000
41   -0.140382
42   -1.000000
43    1.000000
44   -1.000000
45    0.333801
46    0.487094
47    1.000000
48   -0.007950
49    1.000000
dtype: float32","[-5.45815796e+02 -6.29852257e+01 -1.12848419e+02 -1.00491443e+03
  3.07047974e+02 -3.19630768e+02 -1.48632812e+02 -4.09463255e+02
  9.71949524e+02 -2.22631866e+02 -1.12240597e+02  0.00000000e+00
  6.65984039e+01 -8.29566956e+00  6.45746841e+01  1.55107056e+02
 -1.84450119e+02  4.56353645e+01  3.33178040e+02  2.65759033e+02
 -1.40135818e+02  1.88929337e+02  1.09431076e+02  0.00000000e+00
  3.39186478e+01  1.75055496e+02  1.91476784e+01 -3.32659378e+02
  2.79785583e+02 -3.05516548e+01  0.00000000e+00  0.00000000e+00
 -1.56838147e+03 -4.59500446e+01  6.29218384e+02  1.32924286e+02
 -1.97941666e+02  0.00000000e+00  2.92244644e+01  0.00000000e+00
 -2.86723541e+02  0.00000000e+00 -9.39338303e+01  7.25036987e+02
 -7.03056469e+01  2.25878811e+01  6.65933151e+01  9.19379578e+01
 -1.34879994e+00  1.15092812e+02]"
7,2019-01-14,"0     0.593698
1     0.109675
2     0.241793
3     0.855247
4    -1.000000
5     0.305725
6     0.766676
7    -0.273609
8     0.054704
9    -1.000000
10   -0.264400
11    0.394273
12    1.000000
13   -0.978188
14    0.447420
15   -0.581262
16    1.000000
17   -1.000000
18   -0.920515
19   -1.000000
20    0.237536
21   -1.000000
22    0.756941
23    0.414032
24   -0.533162
25    0.058418
26   -0.950817
27    0.329028
28   -0.528291
29   -0.663285
30    1.000000
31   -0.986432
32   -1.000000
33   -1.000000
34    0.386431
35   -0.180520
36   -0.448507
37    0.209128
38   -0.738339
39    1.000000
40   -1.000000
41    0.485627
42   -1.000000
43   -0.964753
44    0.908372
45   -0.221312
46   -0.161637
47   -0.639322
48    1.000000
49   -0.398843
dtype: float32","[  321.14691162    11.36848545   235.07896423   914.07684326
  -303.97167969   193.89178467   153.36091614     0.
    52.07849503  -180.61995244     0.            51.01258469
   175.18902588    -4.51616281   144.6210022    -88.46735382
   182.33668518  -355.16156006  -341.53375244  -439.63000488
    58.07508087  -539.80523682   169.34794617     0.
   -33.91864777    27.65100479   -19.14767838   138.55891418
  -186.34194946     0.           311.54977417     0.
 -1559.47851562     0.           362.45819092   -23.78887558
  -470.23123169    40.09370422  -185.05097961   938.38562012
     0.             0.             0.          -696.63262939
    75.61313629   -14.97592735   -22.08607101   -58.04553604
   168.00454712   -45.82152939]"
8,2019-01-15,"0     0.225651
1    -0.094903
2     0.520907
3    -0.738971
4     1.000000
5     0.250478
6    -0.817553
7     1.000000
8     1.000000
9     1.000000
10    1.000000
11    0.582541
12   -0.906292
13    1.000000
14    0.739697
15    1.000000
16    1.000000
17   -0.392834
18    0.033467
19   -0.342009
20    1.000000
21    0.269934
22    0.466773
23    0.834111
24   -1.000000
25    0.221649
26    0.142110
27    0.177329
28   -0.552257
29   -0.633226
30   -1.000000
31    0.000781
32    1.000000
33    1.000000
34   -0.884006
35   -1.000000
36   -0.901507
37   -1.000000
38   -0.959733
39   -1.000000
40    0.568086
41    1.000000
42    0.945332
43   -0.723137
44   -1.000000
45    0.143573
46   -0.360832
47   -0.761156
48    1.000000
49    0.096756
dtype: float32","[ 121.93939972  -10.0879097   509.98294067 -798.76654053  303.43487549
  155.25218201 -164.47050476  466.97549438  953.77984619  222.36354065
  238.22001648   77.618927   -157.65054321    8.21823788  240.04125977
  153.70852661  182.33668518 -118.69112968   12.52392101 -154.20266724
  251.74586487  145.25563049  105.87068939    0.            0.
  103.27877808   43.22486115   75.10832977 -196.97019958    0.
 -311.54977417    0.         1572.87109375   92.11461639 -841.44580078
 -109.13541031 -952.44342041  -40.09370422  -76.72555161 -938.38562012
  163.52134705    0.         1350.47436523 -527.16741943  -75.61313629
    9.76394844  -49.87597656  -69.60269928  178.26646423   11.63869858]"
9,2019-01-16,"0    -0.584035
1     1.000000
2     1.000000
3     0.574233
4     1.000000
5    -0.839816
6    -0.558958
7     0.356870
8     0.210534
9     1.000000
10   -0.788217
11   -0.723184
12   -0.134461
13    0.443551
14    0.288009
15    1.000000
16    0.867414
17    0.232553
18    1.000000
19    0.895506
20    1.000000
21   -0.390889
22   -1.000000
23   -0.408737
24   -0.305205
25    0.391310
26    0.419206
27    1.000000
28   -0.356133
29    0.272593
30   -0.267313
31   -0.492916
32    0.284792
33   -0.836146
34    0.502331
35   -0.925061
36    1.000000
37    0.899853
38   -1.000000
39    0.489779
40   -0.110198
41    1.000000
42    0.317323
43    0.782683
44    0.426672
45    0.761055
46   -0.869288
47   -1.000000
48   -0.905170
49    0.403118
dtype: float32","[-314.04806519  105.21996307  968.87957764  616.0378418   293.09011841
 -517.45300293   -5.51049805  167.93232727  198.57608032  219.97554016
 -179.62684631  -92.75608063  -22.73957443    3.44979405   93.24716187
  147.28060913  154.66882324   80.36303711  356.09237671  394.70828247
  253.27355957 -204.58311462 -218.25007629    0.            0.
  165.77151489  127.1661377   417.34484863 -125.37323761  131.18417358
    0.            0.          444.12719727  -75.08889771  466.06228638
    0.         1050.44226074  169.1809845     0.          455.59143066
  -30.7566185     0.          448.66506958  568.24871826   35.45784378
   51.49960327  -41.79155731  -73.71226406 -155.66770935   47.18339157]"
