,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,926580.1075396929,73645.11422816342,1000225.2217678563,0.00022522176785622072,2019-01-04
2,883756.4528133067,118766.51220844955,1002522.9650217562,0.002522965021756196,2019-01-07
3,817827.7965832163,185626.54840777098,1003454.3449909873,0.0034543449909874013,2019-01-08
4,764575.3615951793,237387.96645815606,1001963.3280533354,0.0019633280533353226,2019-01-09
5,732109.1351003145,273259.40108736913,1005368.5361876837,0.005368536187683626,2019-01-10
6,696186.3107976108,307412.82009641087,1003599.1308940216,0.0035991308940215294,2019-01-11
7,719735.9017813253,284873.52009505563,1004609.4218763809,0.004609421876381026,2019-01-14
8,668520.5519039507,333540.61624345614,1002061.1681474069,0.0020611681474069776,2019-01-15
9,647678.9881040055,361091.17382049275,1008770.1619244982,0.008770161924498199,2019-01-16
10,640785.0713636285,367781.13892922434,1008566.2102928528,0.00856621029285276,2019-01-17
11,583007.3317607254,423631.19236858905,1006638.5241293143,0.006638524129314316,2019-01-18
12,565413.3121498665,448962.7904784201,1014376.1026282866,0.01437610262828648,2019-01-21
13,539205.9470770058,481600.1279452334,1020806.0750222392,0.02080607502223919,2019-01-22
14,460609.0706155193,552290.277649386,1012899.3482649053,0.012899348264905353,2019-01-23
15,463853.58051889314,547649.3391648574,1011502.9196837505,0.01150291968375039,2019-01-24
16,475766.8183888426,539239.3622332235,1015006.1806220661,0.015006180622066045,2019-01-25
17,433283.4134406155,587034.4466344926,1020317.8600751081,0.020317860075108163,2019-01-28
18,409280.2966527056,610049.3220721909,1019329.6187248966,0.01932961872489658,2019-01-29
19,406524.394047463,614330.0216332377,1020854.4156807007,0.020854415680700678,2019-01-30
20,404612.18578061706,611708.9304022337,1016321.1161828508,0.016321116182850703,2019-01-31
21,391496.44551813486,629574.5699949355,1021071.0155130704,0.021071015513070446,2019-02-01
22,358020.7200337424,674808.8909479977,1032829.61098174,0.03282961098174009,2019-02-11
23,335608.46462162695,709342.5305878387,1044950.9952094657,0.04495099520946577,2019-02-12
24,284156.1437329918,766949.7940045274,1051105.9377375192,0.05110593773751915,2019-02-13
25,255670.30835526995,814078.9201172728,1069749.2284725427,0.06974922847254272,2019-02-14
26,243762.31839573174,826876.0543752337,1070638.3727709656,0.07063837277096563,2019-02-15
27,223714.7285144977,830301.9918292313,1054016.720343729,0.05401672034372895,2019-02-18
28,210767.52273856866,870868.7706320768,1081636.2933706455,0.0816362933706456,2019-02-19
29,206839.53261272857,878092.5535060314,1084932.08611876,0.08493208611876013,2019-02-20
30,201705.9698821386,886231.3719562778,1087937.3418384164,0.0879373418384164,2019-02-21
31,175081.56348187476,911558.3669230503,1086639.930404925,0.08663993040492501,2019-02-22
32,168444.4869412904,945499.3247081746,1113943.811649465,0.1139438116494651,2019-02-25
33,189768.06281219443,984446.0827714753,1174214.1455836697,0.17421414558366966,2019-02-26
34,211032.2059388669,949066.059334248,1160098.265273115,0.16009826527311488,2019-02-27
35,203277.6771695659,951635.2383264279,1154912.9154959938,0.15491291549599384,2019-02-28
36,215440.6751528577,935204.8492410361,1150645.5243938938,0.15064552439389378,2019-03-01
37,198724.78867503966,976096.7678108234,1174821.556485863,0.17482155648586284,2019-03-04
38,184889.33464676992,998337.3543924881,1183226.689039258,0.18322668903925798,2019-03-05
39,126192.89364060135,1068052.5539196401,1194245.4475602414,0.19424544756024154,2019-03-06
40,143282.00013248302,1060656.0650291776,1203938.0651616605,0.20393806516166046,2019-03-07
41,155971.97326308314,1045697.0648178603,1201669.0380809433,0.20166903808094339,2019-03-08
42,163645.9220245167,1005818.1107084663,1169464.032732983,0.16946403273298283,2019-03-11
43,165108.70093443472,1017258.051671137,1182366.7526055716,0.18236675260557167,2019-03-12
44,182133.89824662963,1009554.9966840526,1191688.8949306821,0.19168889493068209,2019-03-13
45,152862.70505127124,1012021.6308906376,1164884.3359419089,0.164884335941909,2019-03-14
46,126483.4587879525,1024492.6328546898,1150976.0916426424,0.15097609164264236,2019-03-15
47,113354.16033528557,1050986.0863294068,1164340.2466646924,0.16434024666469238,2019-03-18
48,101205.71184331208,1096358.224857102,1197563.936700414,0.19756393670041383,2019-03-19
49,67113.85825811612,1125088.6667360375,1192202.5249941535,0.19220252499415347,2019-03-20
50,98543.53090779477,1086037.1050226756,1184580.6359304704,0.18458063593047047,2019-03-21
51,91425.1935033185,1098125.2358792978,1189550.4293826164,0.18955042938261646,2019-03-22
52,83395.26356233514,1106712.419950002,1190107.6835123373,0.1901076835123372,2019-03-25
53,57442.0153291619,1103203.5869732264,1160645.6023023883,0.16064560230238834,2019-03-26
54,67282.0370525887,1081596.6808235734,1148878.7178761621,0.14887871787616214,2019-03-27
55,48038.38084656596,1115854.75394827,1163893.1347948362,0.16389313479483625,2019-03-28
56,30263.917754438713,1123558.8244459007,1153822.7422003394,0.15382274220033954,2019-03-29
57,10634.613186476725,1187482.5402097853,1198117.153396262,0.198117153396262,2019-04-01
58,64406.31499729525,1165936.9516541117,1230343.266651407,0.23034326665140692,2019-04-02
59,47756.40687413803,1182972.987533864,1230729.394408002,0.230729394408002,2019-04-03
60,51811.35540304502,1190021.2174401311,1241832.572843176,0.24183257284317605,2019-04-04
61,12389.368311457984,1242075.0309898967,1254464.3993013548,0.25446439930135467,2019-04-08
62,16449.043814956967,1231662.621494543,1248111.6653095,0.2481116653094999,2019-04-09
63,51692.333965552156,1189206.9993524717,1240899.333318024,0.24089933331802404,2019-04-10
64,61711.4692416286,1174567.0447684985,1236278.5140101272,0.23627851401012712,2019-04-11
65,84969.29455218544,1123912.843067726,1208882.1376199112,0.20888213761991126,2019-04-12
66,105217.0049549333,1102050.5411092092,1207267.5460641426,0.20726754606414266,2019-04-15
67,85112.69607017798,1119769.2375672245,1204881.9336374025,0.2048819336374026,2019-04-16
68,74915.74016763634,1167673.3754495182,1242589.1156171546,0.24258911561715468,2019-04-17
69,97439.88375996203,1152379.9224944694,1249819.8062544314,0.24981980625443145,2019-04-18
70,79019.08278849185,1172342.234011959,1251361.316800451,0.25136131680045093,2019-04-19
71,95593.19802118506,1162277.0915551346,1257870.2895763197,0.25787028957631986,2019-04-22
72,93735.03880264008,1144256.790368621,1237991.829171261,0.23799182917126105,2019-04-23
73,86116.9281404214,1154868.7809696214,1240985.7091100428,0.2409857091100427,2019-04-24
74,24796.128102684575,1218426.7733457093,1243222.901448394,0.24322290144839398,2019-04-25
75,45382.794174833514,1176722.5911155902,1222105.3852904236,0.22210538529042356,2019-04-26
76,29388.615042936795,1183457.6558771783,1212846.270920115,0.2128462709201151,2019-04-29
77,2430.4815941995807,1211778.3078473464,1214208.789441546,0.21420878944154587,2019-04-30
78,53277.6864291361,1158439.0815427636,1211716.7679718998,0.21171676797189987,2019-05-06
79,51451.553344896536,1029550.428704807,1081001.9820497036,0.08100198204970366,2019-05-07
80,32656.926756753073,1121163.8739270053,1153820.8006837585,0.15382080068375847,2019-05-08
81,5307.840237140519,1133460.6306773892,1138768.4709145296,0.1387684709145296,2019-05-09
82,42247.77128974092,1077159.4319115095,1119407.2032012504,0.11940720320125031,2019-05-10
83,64634.14017977798,1100820.936776217,1165455.076955995,0.16545507695599504,2019-05-13
84,39337.34896455849,1100129.5149214582,1139466.8638860167,0.1394668638860166,2019-05-14
85,4278.217944539872,1128728.3991970883,1133006.6171416282,0.1330066171416282,2019-05-15
86,50522.58141717027,1097529.5635075886,1148052.144924759,0.14805214492475893,2019-05-16
87,31296.455408739967,1117804.1973289438,1149100.6527376836,0.1491006527376837,2019-05-17
88,38726.06293189632,1080309.5773785682,1119035.6403104647,0.11903564031046465,2019-05-20
89,54926.4246310706,1045070.7890632715,1099997.2136943422,0.09999721369434211,2019-05-21
90,56585.88245937356,1057559.3551922108,1114145.2376515842,0.11414523765158413,2019-05-22
91,71143.33339452103,1044949.9561626238,1116093.289557145,0.11609328955714493,2019-05-23
92,78656.98966951374,1016650.3498589306,1095307.3395284442,0.09530733952844428,2019-05-24
93,37863.59845477665,1051192.3564984188,1089055.9549531955,0.08905595495319552,2019-05-27
94,21180.578956249028,1088580.172141796,1109760.751098045,0.10976075109804495,2019-05-28
95,8953.686841443823,1109338.27303505,1118291.9598764938,0.11829195987649377,2019-05-29
96,11530.081592911476,1112556.6029053717,1124086.684498283,0.12408668449828308,2019-05-30
97,69363.39692564902,1045634.4197510314,1114997.8166766805,0.11499781667668052,2019-05-31
98,44614.9866340036,1064389.7809460692,1109004.7675800729,0.10900476758007294,2019-06-03
